@English@|@Oirat@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old maral@|@sardak@
@a box for storing nuts@|@seri@
@a cow that has not calved yet@|@torboch@
@a k. of bird@|@chibilchik@
@a k. of fish@|@tüly@
@a k. of gad-fly@|@dapšyq, japšyq@
@a k. of grass@|@dëken, jeken, jekken, qomuraj, sys qomurhaj@
@a k. of plant or tree@|@borsuq@
@a k. of reed@|@qoho@
@a k. of salmon@|@bel@
@a k. of textile@|@qaris@
@a little@|@as@
@a man's wife's younger sister@|@passy@
@a small rodent@|@syhyrhan@
@a young calf@|@torboq@
@abandon@|@qoj-@
@acacia@|@qarahan@
@accusation@|@jong@
@add to@|@taq-@
@adze@|@kerki@
@afraid@|@ijmen-@
@after@|@song@
@afterbirth@|@chöp@
@age@|@dylqy@
@alder@|@jürük@
@alive@|@tirü@
@also@|@byla@
@although@|@daa@
@amble@|@eš-@
@an ending of the 2d person@|@-ng@
@ancient@|@eski@
@angelica@|@taral@
@anger@|@öch, ökpö@
@announcement@|@dar@
@ant@|@chubaly, chumaly, qomursqa@
@aquila fulva@|@bürküt, mürküt@
@archness@|@tögün@
@area covered with stones@|@saj@
@arm@|@qary, qol@
@armour@|@qujaq@
@arrow@|@dä, oq@
@arrow head@|@sohon, sön@
@as well@|@baza@
@ashes@|@kül, qoq, qybyr@
@at peace@|@enchü@
@aunt@|@aba-ene, abune@
@autumn@|@küs@
@awl@|@mis@
@axe@|@malta@
@back@|@arqa, art, bel, syrt, ucha@
@back of the neck@|@engze@
@bad weather@|@dut, jut@
@badger@|@choraxa, morsyq@
@bag@|@danchyq, janchyq@
@bald@|@tas@
@ball of wool@|@jumhaq@
@barb of the fish-fork hook@|@atqaq@
@bark@|@qabyq@
@barley@|@arba@
@barren cow@|@qyzyr@
@bat@|@dar-hanat, hanat@
@bay@|@sep@
@be aware@|@saqy-@
@be dimly visible@|@eleste-@
@be lazy@|@dažyq, jažy-@
@bear@|@aba, apšyjaq@
@beard@|@sahanaq@
@beard of grain@|@qylha, qylhan@
@become insufficient@|@myng-da-@
@become pale@|@ong-@
@bee@|@arü, chymyn@
@beetle@|@qomys, qongus, qongys@
@before@|@burun@
@being below@|@altyhy@
@bell@|@qongrü@
@bellows@|@körük@
@belly@|@qaryn@
@belt@|@qur@
@bend@|@qajyr-@
@berry@|@dilek@
@big needle@|@tebene, temene@
@big vessel@|@chapchaq@
@bind feet@|@kül-@
@birch bark@|@tos@
@birch tree@|@qajyng@
@bird@|@quš@
@bird-cherry@|@dymyryt, jymyrt@
