@English@|@Ojibwe@
@Author name@|@Weshki-ayaad, Charlie Lippert & Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@%  https://www.freelang.net/dictionary/docs/ojibwe_readme.pdf@|@% Freelang Ojibwe Readme@
@% Dictionary@|@% Dictionary@
@((geo) in Alberta)@|@(AB)@
@((geo) in Arkansas)@|@(AR)@
@((geo) in British Columbia)@|@(BC)@
@((geo) in Connecticut)@|@(CT)@
@((geo) in Delaware)@|@(DE)@
@((geo) in Illinois)@|@(IL)@
@((geo) in Indiana)@|@(IN)@
@((geo) in Iowa)@|@(IA)@
@((geo) in Kansas)@|@(KS)@
@((geo) in Kentucky)@|@(KY)@
@((geo) in Maine)@|@(ME)@
@((geo) in Manitoba)@|@(MB)@
@((geo) in Maryland)@|@(MD)@
@((geo) in Massachusetts)@|@(MA)@
@((geo) in Michigan)@|@(MI)@
@((geo) in Minnesota)@|@(MN)@
@((geo) in Missouri)@|@(MO)@
@((geo) in Montana)@|@(MT)@
@((geo) in New Brunswick)@|@(NB)@
@((geo) in New Hampshire)@|@(NH)@
@((geo) in New Jersey)@|@(NJ)@
@((geo) in New York)@|@(NY)@
@((geo) in Newfoundland and Labrador)@|@(NL)@
@((geo) in North Carolina)@|@(NC)@
@((geo) in North Dakota)@|@(ND)@
@((geo) in Nova Scotia)@|@(NS)@
@((geo) in Ohio)@|@(OH)@
@((geo) in Oklahoma)@|@(OK)@
@((geo) in Ontario)@|@(ON)@
@((geo) in Pennsylvania)@|@(PA)@
@((geo) in Prince Edward Island)@|@(PE)@
@((geo) in Québec)@|@(QC)@
@((geo) in Rhode Island)@|@(RI)@
@((geo) in Saskatchewan)@|@(SK)@
@((geo) in South Dakota)@|@(SD)@
@((geo) in St.Pierre & Miquelon)@|@(SM)@
@((geo) in the District of Columbia)@|@(DC)@
@((geo) in Vermont)@|@(VT)@
@((geo) in Virginia)@|@(VA)@
@((geo) in West Virginia)@|@(WV)@
@((geo) in Wisconsin)@|@(WI)@
@((ni) of geographical place name)@|@(geo)@
@((vai) of =i/=ø > =i= theme)@|@(vai)+i@
@((vai) of =m > =m=/=n= theme)@|@(vai)+m@
@((vai) of =n > =n= theme)@|@(vai)+n@
@((vai) of =o/=ø > =o= theme)@|@(vai)+o@
@((vai) of =VV > =VV= theme)@|@(vai)VV+@
@((vai) of =Vwag > =V= theme)@|@(vaip)@
@((vai) of inherent plural subject)@|@(vaip)@
@((vai) with object)@|@(vai+o)@
@((vai2)of =am > =am=/=aa=/=an= theme)@|@(vai)+am@
@((verb:transitive: (na) obj.)@|@(vta)@
@((verb:transitive: (ni) obj.)@|@(vti)@
@((vii) of =d > =d=/=ø= theme)@|@(vii)+d@
@((vii) of =n > =n= theme)@|@(vii)n+@
@((vii) of =Vn > =V= theme)@|@(vii)+n@
