@English@|@Old English@
@Author name@|@Robert Bassford@
@Font@|@Arial\12\Arial\12@
@@|@æt, arhwæt, awindan, befealdan, bismer, deop, forbredan, hæðen, healic, hwæðer, leof, mandrinc, scieldan, scyldig, sibb, siþþan, stefn, swegle, þæs, þancol, timber, tobregdan, todælednes, tun, wraþ, yfel@
@(a & g) justify@|@clænsian@
@(acc) before@|@beforan@
@(around?)@|@ymb@
@(at after)@|@æfter@
@(at that place)@|@þær@
@(battle-light)@|@beaduleoma@
@(bone-house)@|@bansele@
@(dat) before@|@beforan@
@(dat) cry to@|@clipian@
@(dat) entrust@|@betæcan@
@(dat) gratify@|@cweman@
@(dat) promise@|@behatan@
@(dat) put upon@|@stælan@
@(dat) save@|@beorgan@
@(dative) pray@|@gebiddan@
@(dative) pull@|@bregdan@
@(from above)@|@ufan@
@(from behind)@|@hindan@
@(gen) remind@|@gemyndgian@
@(gen) require@|@behofian@
@(gen) rest from@|@gerestan@
@(gen) wait for@|@bidan, onbidan@
@(gen): come to pass@|@togan@
@(good) fortune@|@gesælignes@
@(good) manners@|@þeaw@
@(in dp speed@|@sped@
@(in pl): letters@|@stæf@
@(indicate)@|@gebicnian@
@(land-)slip@|@byrst@
@(man's) tunic@|@cyrtel@
@(metal) plate@|@þel@
@(ooze)@|@wase@
@(pl) attendants@|@þenung@
@(pl) bowels@|@bæcþearm@
@(pl) conversation@|@gegncwide@
@(pl) fates@|@burgrun@
@(pl) Gentiles@|@þeod@
@(pl) Gods@|@miht@
@(pl) grating@|@grindel@
@(pl) green things@|@grennes@
@(pl) hairs of plants@|@pil@
@(pl) nuptials@|@gift@
@(pl) pajamas@|@beddclaþ@
@(pl) pincers?@|@clawu@
@(pl) sensuous appetite@|@lust@
@(pl) tackle@|@streng@
@(pl) the rest@|@oðer@
@(pl) trappings@|@gebæte@
@(pl) virtues@|@þeaw@
@(religious service about 9 AM)@|@undernsang@
@(salve) to be applied@|@onlecgende@
@(sea-road)@|@brimrad@
@(sea-wood)@|@brimwudu@
@(she-)wolf of the sea or lake@|@brimwylf@
@(ship) with an ornamented prow@|@bundenstefna@
@(South Humbrians)@|@Suþhymbre@
@(to east)@|@east@
@(to far)@|@feorr@
@(to south)@|@suþ@
@(to this place)@|@hider, hidere@
@(to west)@|@west@
@(tran) make happy@|@blissian@
@(warlock)@|@wærloga@
@(weaver's) slay@|@slege@
@(whale's-road)@|@hranrad@
@(without victory@|@sigeleas@
@(woman's) gown@|@cyrtel@
@???@|@lendenban@
@~120 acres@|@hid@
@12 PM@|@middæg@
@3 PM@|@non, nontid@
@6 AM@|@prim@
@6 PM@|@æfensang@
@60-oared ship@|@sixtigære@
@9 PM@|@nihtsang@
@a@|@an, ever@
@a being one with@|@samodwist@
@a bird@|@omer@
@a bit@|@bannuc@
@a blow@|@hrysc@
@a board@|@cecin@
@a certain measure of bulk@|@sester@
@a certain one@|@sum@
@a child@|@gebyrðen@
@a Christian@|@cristenmann@
@a covering@|@bewrigennes, wrigennes@
@a Danish coin@|@ora@
@a day's fast@|@dægfæsten@
@a decoction@|@syde@
@a defined tract of pasture or woodland@|@snæþfeld@
@a disease@|@wansceafta@
@a disease of the kidneys@|@lendenwyrc@
@a division of the night@|@repsung@
@a driving away@|@onwegadrifennes@
@a dry measure@|@sceppe@
@a generation@|@cynresu@
@a going@|@gang@
@a great many@|@ealfela@
@a great part@|@micel@
@a heap at a time@|@byrðenmælum@
@a holding of land@|@sæta@
@a hollow@|@hylu@
@a kind of bean@|@beancynn@
@a kind of horse@|@stot@
@a kind of music?@|@gliwcynn?@
@a large place@|@sidhealf@
@a laying on of hands@|@onasetednes@
@a lie@|@leasung@
@a liquid measure@|@gropa, oma?@
@a little@|@æthwega, hwæthwugu, hwene, hwon, medmicel, tohwega@
@a little white@|@hwon@
@a man's legal value@|@wer@
@a measure@|@mitta@
@a measure of land@|@geoc@
@a medicine@|@caulic@
@a metrical unit@|@tima@
@a month in Spring@|@lenctenmonaþ@
@a numerous assembly@|@gelomlæcnes, gelomlicnes@
@a pasture@|@bær@
@a plant@|@æferðe, bulentse, eorþrima, selfæta, sigsonte, stæþwyrt, worðigcærse@
@a plant?@|@stieme@
@a purple garment@|@purpure@
@a riding on@|@onset@
@a rrange@|@geradian@
@a sinking@|@sag@
@a sitting on@|@onset@
@a steep place@|@stæþhlype@
@a third part@|@þrimen@
@a thought@|@þoht@
@a thousand@|@þusendmæle?@
@a thousand each@|@þusendmæle?@
@a turning@|@gehweorf@
@a venomous plant@|@spilæg@
@a vessel@|@but@
@a wandering from the way?@|@æflast@
@a week in Lent@|@lenctenwuce@
@a weight@|@lifer@
@a while@|@prica@
@a wood of oaks@|@æcen@
@a wooden halter or collar for beasts@|@sol@
@abandon@|@alecgan, anforlætan, anforlætan, aswican, forgieman, forlætan, forlætan, forleosan, ofgiefan@
@abase@|@biegan, forbigan, forbigan, hienan, niðerian@
@abasement@|@niðerung@
@abashed@|@æwiscmod, geþylmed@
@abate@|@settan, stillan, sweðrian@
@abbacy@|@abbodrice, abbodrice@
@abbatial jurisdiction@|@abboddom@
@abbatial rank@|@abbodhad@
@abbess@|@abbodesse, abbudisse@
@abbey@|@abbodrice@
@abbot@|@abbod, mynsterfæder, regolweard@
@abbotless@|@abbodleast@
@abdomen@|@rysel@
@abduct@|@forwegan, nydniman@
@abduction@|@nydnimung, wiþlædnes@
@aberration@|@aweggewitenes@
@aberration (of mind)@|@weggewit@
@abhor@|@scunian@
