@English@|@Old Norse@
@Author name@|@Jens Nielsen@
@Font@|@Arial\12\Arial\12@
@ability@|@kunnusta, máttr, megin@
@abode@|@hamr, sjǫt@
@above@|@yfir@
@abroad@|@útanlands@
@abundance@|@gnótt@
@abundant@|@nógr@
@accompany (v)@|@fylgja@
@accomplish (v)@|@fremja, inna, vinna@
@accomplished@|@mannaðr@
@accomplishment@|@íþrótt, mennt@
@accomplishments@|@kunnandi@
@account@|@sǫgn, tala@
@accuse (v)@|@kæra@
@accustom (v)@|@vandi, venja@
@accustomed@|@vanr@
@acorn@|@akarn@
@acquaintance@|@kunningi@
@across@|@yfir@
@act (v)@|@breyta@
@action@|@sǫk@
@add (v)@|@auka@
@adhere (v)@|@tolla@
@adorn (v)@|@setja@
@adultery@|@hórdómr@
@advance@|@framganga@
@advance (v)@|@sœkja, stefna@
@advantage@|@bati, gagn@
@adversary@|@andskoti@
@advisable@|@ráðligr@
@advise (v)@|@ráða@
@affairs@|@hagr@
@affection@|@ást, ástir, elska, geð@
@affinity@|@sifjar@
@affirm (v)@|@sanna@
@affliction@|@beygja, hrelling@
@afraid@|@hræddr@
@aft@|@aptr@
@afterwards@|@síðan@
@again@|@endr, optar@
@age@|@ævi, aldr@
@Agree to (v)@|@játa@
@agreeable@|@geðjaðr, skapfeldr@
@ahead@|@framar@
@aid@|@afli, forsjá, fullting, lið@
@ale@|@mungát@
@ale_cask@|@ǫlker@
@alive@|@kvikr, kykr, lífs@
@all@|@allr@
@allot (v)@|@skafa@
@allow (v)@|@lofa, unna@
@almost@|@náliga@
@aloft@|@lopt@
@alone@|@einn@
@along@|@eptir@
@aloud@|@hátt@
@although@|@þar@
@always@|@æ, ávalt, jafnan@
@ambitious@|@metnaðargjarn, stórráðr@
@among@|@miðli@
@Amount to (v)@|@skipta@
@amuse (v)@|@skemta@
@amusement@|@skemtun@
@amusing@|@skemtiligr@
@anchor@|@akkeri@
@ancient@|@forn@
@and@|@eða@
@anger@|@reiði@
@angry@|@reiðr@
@animal@|@dýr, gripr@
@animals@|@kykvendi@
@annoyance@|@mótgørð, skapraun@
@another@|@annarr@
@answer@|@svar@
@answer (v)@|@svara@
@ant@|@maurr@
@anvil@|@steði@
@anxiety@|@áhyggja@
@anxious@|@annt@
@any@|@einnhverr@
@appearance@|@yfirbragð@
@applause@|@rómr@
@appoint (v)@|@skapa@
@approach (v)@|@nálgask@
@arbitration@|@gørð@
@arch@|@kengr@
@ardor@|@kapp@
@argue (v)@|@þræta@
@arm@|@handleggr@
@arm (v)@|@vápna@
@armor@|@herklæði@
@army@|@herlið, herr@
@arrange (v)@|@haga, hátta, stilla@
@arrangement@|@tilskipan@
@array (v)@|@búa@
@arrival@|@kváma@
@arrive (v)@|@koma@
@arrow@|@ǫr@
@art@|@list, mennt@
@artifice@|@vél@
@artificer@|@smiðr@
@artist@|@fægir@
@ascertained@|@vitaðr@
@ash@|@askr@
@ashes@|@aska@
@ask (v)@|@beiða, biðja, fregna, frétta, krefja@
@aspect@|@álit@
@assault@|@atganga, barsmið@
@assembly@|@þing@
@assembly_district@|@þinghá@
@assembly_field@|@þingvǫllr@
@assist (v)@|@beina@
@assistance@|@styrkr, umsysla@
@astray@|@villtr@
@asunder@|@sundr@
@at@|@yfir@
@athwart@|@þverr@
@Atone for (v)@|@rétta@
@atonement@|@bót@
@attack@|@atlaga, atsókn, hríð, sókn@
@attack (v)@|@sœkja@
@attention@|@gaumr@
@authority@|@mannaforráð, ráð, ríki@
@autumn@|@haust@
@avail (v)@|@nyta, tjá@
@avenge (v)@|@hefna, reka@
@await (v)@|@biða@
@aware@|@varr@
@away@|@brott@
@axe@|@øx@
@back@|@aptr, hryggr@
@backwards@|@ǫfugr@
@bacon@|@flesk@
@bad@|@illr, vándr@
@badly@|@illa@
@bag@|@baggi, belgr, fat, kyll@
@bailiff@|@bryti@
@bake (v)@|@baka@
@bald@|@kollóttr@
@ball@|@knǫttr@
@band@|@fetill, lið@
@bank@|@bakki@
@banner@|@merki, vé@
@banquet@|@veizla@
@baptism@|@skírn@
@baptize (v)@|@skíra@
@bar@|@spǫlr@
@bare@|@berr@
@bargain@|@kaup@
@barley_barn@|@bygghlaða@
@barn@|@hlaða@
@barren@|@gœðalauss, ófrær@
@bath@|@laug@
@bathe (v)@|@lauga@
@battle@|@bardagi, dolg, dólg, eggþrima, eggtog, járnleikr, malmhríð, orrosta, víg@
@battlefield@|@vættfang@
@bay@|@vágr@
@Be able to (v)@|@mega@
@Be astonished at (v)@|@undrask@
@Be awake (v)@|@vaka@
@Be diminished (v)@|@minka@
@Be fond of (v)@|@elska@
@Be gald (v)@|@fagna@
@Be lacking  (v)@|@vanta@
@Be lacking (v)@|@skorta@
@Be moved  (v)@|@bifask@
@Be obliged to (v)@|@hljóta@
@Be opened (v)@|@opnask@
@Be pacified (v)@|@sefask@
@Be silent (v)@|@þegja@
@Be slain (v)@|@falla@
@Be softened (v)@|@mykjask@
@Be willing (v)@|@vilja@
@beach@|@fjara, strǫnd@
@beak@|@grǫn@
@beam@|@áss, tré, viðr@
@bear@|@bjǫrn, bjarndýr@
@bear (v)@|@bera@
@beard@|@grǫn, skegg@
@bearded@|@skeggjaðr@
@beast@|@dýr@
@beautiful@|@fagr, vænn@
@beautifully@|@fagrliga@
@because@|@síðan@
@become (v)@|@gera, gøra, sóma, verða@
@Become cowardly (v)@|@ergjask@
@Become loose (v)@|@losna@
@Become night (v)@|@nátta@
@Become spring (v)@|@vára@
@Become white (v)@|@hvítna@
@becoming@|@sœmiligr@
@bed@|@beðr, hvíla, rekkja, sæng@
@bed_closet@|@lokrekkja@
@bee@|@bý@
@beer@|@ǫl, bjórr@
@beer_goblet@|@bjórker@
@befall (v)@|@hœfa@
@befit (v)@|@sama@
@beget (v)@|@aflæ@
@beggar@|@stafkarl@
@beginning@|@fyrsta, upphaf@
@behavior@|@atferð@
@belief@|@átrunaðr@
@believe (v)@|@trúa@
@bell@|@bjalla@
@bellow (v)@|@gjalla@
@belly@|@kviðr@
@beloved@|@sváss@
@bench@|@bekkr@
@bend@|@kengr@
@bend (v)@|@beygja, lúta, sveigja@
@benefactor@|@styrktarmaðr@
@benefit@|@beini, gott@
@berserk@|@berserkr@
@beseem (v)@|@sóma@
@beside@|@hjá, við@
@besom@|@lími@
@betray (v)@|@svíkja@
@better@|@betri@
@between@|@meðal, miðli@
@bewildered@|@villhyggjandi@
@beyond@|@útan@
@big@|@mikill@
@bigger@|@meiri@
@billow@|@bylgja@
@bind (v)@|@binda@
@birch@|@bjarkan@
@bird@|@fugl@
@birth@|@burðr@
@bishop@|@biskup@
@bitch@|@bikkja@
@bite (v)@|@bita@
@biting@|@bitr@
@bits@|@moli@
@bitter@|@herfiligr@
@black@|@blakkr, blár, svartr@
@blade@|@brandr@
@blame@|@ámæli@
@blame (v)@|@lasta@
@blasphemy@|@goðgá@
@blaze (v)@|@loga@
@blind@|@blindr@
@blood@|@blóð, dreyri@
@blood_stained@|@dreyrugr@
@bloody@|@blóðugr@
@blow@|@hǫgg, skellr, svipan@
@blow (v)@|@blása@
@blue@|@blár@
@board@|@borð@
@boasting@|@kǫpuryrði@
@boat@|@bátr, skip@
@body@|@líkami@
@bog@|@fen, myrr@
@boil@|@kaun, kveisa@
@boil (v)@|@sjóða, vella@
@boldly@|@djarfliga@
@bond@|@band@
@bondwoman@|@ambátt, ambótt@
@bone@|@bein@
@book@|@bók@
@booth@|@búð@
@booty@|@herfang@
@border@|@skaut@
@both@|@báðir, hvárr@
@bottom@|@grunnr@
@boundary@|@merki@
@bow@|@almr, bogi@
@bow (v)@|@lúta@
@bow_string@|@bogastrengr, hǫrr@
@box@|@kista, skokkr@
@boy@|@sveinbarn, sveinn, sveinstauli@
@brain@|@heili@
@branch@|@kvistr, lími@
@brand@|@brandr@
@brass@|@mersing@
@brave@|@bitr, frœkn, góðr, hraustr, snjallr, vaskr@
@bravely@|@frœknliga, hraustliga@
@bread@|@brauð@
@bread_making@|@brauðgǫrð@
@break (v)@|@bresta, brotna, lemja, slíta, slitna@
@Break into (v)@|@brjóta@
@breast@|@brjóst, munstrǫnd@
@breath@|@ǫnd, ørindi@
@bride@|@brúðr@
@bridge@|@brú@
@bridle@|@beizl, taumr@
@bright@|@bjartr, heiðr, ljóss@
@Bring to an end (v)@|@enda@
@broad@|@breiðr@
@bronze@|@eir@
@brook@|@lœkr@
@brother@|@bróðir@
@brother_in_law@|@mágr@
@buck@|@bokki@
@bucket@|@bytta@
@build (v)@|@smíða@
@building@|@gørð, smíð@
@built@|@gǫrr@
@bull@|@griðungr@
@bunch@|@kǫngull@
@burn (v)@|@brenna, svíða@
@burning@|@brenna@
@burst (v)@|@bresta@
@bury (v)@|@heygja@
@business@|@sysla@
@but@|@eða@
@button (v)@|@kneppa@
@buy (v)@|@kaupa@
@cairn@|@varða, varði@
@calf@|@kálfr@
@call (v)@|@heita, kalla@
@Call up (v)@|@kveðja@
@calm@|@logn@
@calumny@|@illmæli@
@canoe@|@keipr@
@canopy@|@tjald@
@capable@|@gørviligr@
@capture (v)@|@handtaka, taka@
@care@|@áhyggja, forsjá, umsjá@
@care (v)@|@hirða@
