@English@|@Ordos@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@nada@
@3 to 5-year-old stallion@|@üre@
@a cyclic sign@|@mechi(n)@
@a k. of antelope@|@oronggo@
@a k. of arrow@|@Godoli@
@a k. of grass@|@budurGana, budurGanaq, xamxaq, xamxüli@
@a k. of horse's illness@|@saxü@
@a k. of wild leek@|@gogot@
@a small vessel@|@xundaGa@
@a thick end of smth@|@bolchogor@
@abandon@|@debchi-@
@ability@|@chine@
@above@|@dë-@
@abrasion@|@däri@
@abundant@|@delger@
@accord@|@nä, när@
@accustomed@|@ežil, ižil@
@adze@|@öli@
@afternoon@|@üde@
@age@|@üje@
@agreeable@|@tatä@
@agreement@|@gere, gerechi@
@air@|@kï@
@ak. of plant@|@žergenek, žergünek@
@albino@|@chilbang@
@albugo@|@chagä@
@all@|@dajan, gübchin@
@all together@|@dalim, nï, nïgün, nïgüng, nïte@
@alone@|@gagcha, gancha@
@alternate@|@xala-@
@an extra tooth@|@arangGa@
@ancestor@|@xulumchi, xulungchi@
@ancestor spirit@|@ongGon, ungGun@
@anger@|@ür@
@angle@|@önchök@
@animals@|@žulžaGa@
@ankle@|@bugüi@
@anklebone@|@šä@
@anniversary@|@oön@
@ant@|@šorGolži, šurGulži, šurGülži@
@antelope@|@görös@
@anus@|@Goši, GošxinoG@
@anxious@|@Gunid-@
@appeal@|@tungGak@
@appearance@|@dösö@
@arm@|@Gar@
@armour@|@xujaG@
@armpit@|@sü@
@army@|@chirik chür@
@around@|@orchin, orö-@
@arrogance@|@gegsï-, owor@
@arrow@|@sumu(n)@
@Artemisia@|@šawaG@
@ashes@|@ünes, ünisü@
@ash-grey@|@säral@
@ask@|@guj-@
@aspen@|@uläsu@
@ass@|@xulan@
@atmosphere@|@aGäri@
@attack@|@nocho-@
@attempt@|@sori-@
@awl@|@šöwögö@
@axe@|@mese, süxe@
@back@|@aru@
@back of head@|@šile(n), šili(n)@
@backwards@|@gedergen@
@bad@|@burü, mü@
@bad omen@|@joro@
@bad quality silk@|@keb@
@badger@|@dorGo@
@bald@|@malžan@
@band tied to animals@|@seter@
@bare@|@nüchügün@
@barley@|@arwä@
@be afraid of@|@žochi-@
@be broken@|@butara-@
@be cold@|@bere-@
@be curly@|@bužï-@
@be disgusted@|@žigši-@
@be flat@|@Gabtä-@
@be friends@|@nära-@
@be heated@|@e-@
@be inserted@|@šiged-@
@be located@|@bä-@
@be mixed up@|@üjme-@
@be stretched@|@tenere-, tenï-@
@be wet@|@nor-@
