@English@|@Oriya@
@Author name@|@Renato B. Figueiredo / Sujit Patnaik@
@Font@|@Arial\12\Arial\12@
@a@|@goeta@
@a.m.(ante meridien)@|@madhyaanna purbaru@
@abandon@|@parityaga@
@abandoned@|@pareetyakya@
@abash@|@apadasta@
@abate@|@hraasa@
@abbattoir@|@kanseikhana@
@abdicate@|@pareehaara@
@abdomen@|@talipeta@
@abduct@|@apaharana@
@aberrant@|@bipathagaami@
@abeyance@|@mulatabee@
@abhorent@|@ghrunya@
@abhorrence@|@ghrunaa@
@abide@|@paalana karibaa@
@ability@|@sambala, sambala / saamarthya@
@able@|@samartha/sakhyama@
@ablution@|@nityakarma@
@abnormal@|@aswaabhaabika /asaadhaarana@
@abode@|@basagruha@
@abolish@|@bilopana@
@abominable@|@bibhatsajanaka / ghrunya@
@abortion@|@garbhapaata@
@abound@|@prachura bhabe upalabdha@
@above@|@uparakta@
@abrasion@|@aanchudaa@
@abroad@|@bidesh@
@abrogate@|@pratyahaara@
@abrupt@|@aakasmika / atarkita@
@abscond@|@feraar@
@absconder@|@palataka@
@absence@|@anupastithee@
@absent mind@|@anyamanaska@
@absolute@|@charama@
@absolute majority@|@sampurna sankhyagarishtataa@
@absolutely@|@sampurna bhabe@
@absolve@|@dosha mukta@
@absorb@|@aubososhana@
@absorbent@|@aubososaka@
@absorption@|@aubososana@
@abstain@|@nibruta@
@abstract@|@bhautika sangyaaheena@
@absurd@|@ajauktika@
@accept@|@grahana@
@acceptable@|@grahaneeya@
@access@|@saanidhyalaabha@
@accession@|@adhisthita hebaa@
@accident@|@durghatana, durghatana / aakasmika@
@accidental@|@aupratyaashit / daibaat@
@acclaim@|@abhinandana / prashansaa@
@accolade@|@prashansaa@
@accomodating@|@saujanya pradarshana@
@accomodation@|@aabaasa sthaana@
@according@|@anujayee@
@account@|@hisaab@
@accountable@|@kayeefeeyatjogya@
@accountancy@|@hisaab bidyaa@
@accountant@|@hisaabrakhyaka@
@accumen@|@shukhshyamadarshitaa@
@accumulate@|@sangraha / aaharana kareebaa@
@accurate@|@satheek@
@accursed@|@abhisapta@
@accuse@|@doshaarop@
@accused@|@abhijukta@
@accustomed@|@abhyasta@
@acerbic@|@katu@
@ache@|@byathaa@
@achieve@|@haasala kareebaa@
@achievement@|@lakhyasiddhee@
@achromatic@|@barnaheena@
@acknowledge@|@sweekaar / sweekrutee@
@acme@|@charama utkarsha@
@acquaint@|@abagata@
@acquaintance@|@parichita@
@acquire@|@dakhala@
@acquisition@|@sangruhita / arjita / praaptee@
@acquisitive@|@aaharanapreeya@
@acquit@|@nirdosh ghosita@
@acting@|@abhinaya@
@action@|@kreeyaa@
@activity@|@kaarjyakalaap@
@actor@|@abheenetaa@
@actual@|@prakruta / baastaba@
@actually@|@prakrutare / prakruta pakhyare@
@acute@|@prakhara / prabala@
@adage@|@prabaada / prabachana@
@adapt@|@khapa khuaaibaa, khara khuaaeebaa@
@add@|@sanjukta / sanjog@
@addict@|@nisa pratee aasakti@
@additional@|@atirikta@
@address@|@thikanaa / sambodhana@
