@English@|@Oromo@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@all@|@därä@
@ankle@|@mani'i@
@answer@|@deeb-isa@
@ant@|@gondaa@
@antelope@|@guguf-to@
@antelope oryx@|@abiyó@
@anus@|@futee@
@arm@|@gana, gana, harkka@
@armpit@|@boba@
@arrive@|@gaya@
@arrow@|@fia, fue@
@ask@|@qorqoro@
@ass@|@dongorra@
@aunt (sister of father)@|@adada@
@axe@|@kalta@
@baby@|@daa-ima@
@back of house@|@boroo@
@bag@|@qalqalloo@
@basket@|@suumfa@
@bat@|@qura'a@
@be@|@gir-@
@be bad@|@magu@
@be broken@|@fulla'a@
@be destroyed@|@huduma@
@be devasted@|@ona@
@be drunk@|@machaw@
@be exhausted@|@gaggaba@
@be forbidden@|@laga@
@be hurt badly@|@dayya'a@
@be lost@|@bad-@
@be torn@|@tarsa'sa@
@be under impression@|@se'a@
@be worse@|@mannaa@
@bean@|@adunguri, daangulle@
@beat@|@tuma@
@become dark@|@dhi'a@
@become evening@|@dhi'a@
@become faint@|@diqqa@
@become ill@|@busaaa@
@bedbug@|@tukaani@
@behind@|@duboo@
@believe@|@amana@
@belly@|@gara@
@big@|@guddaa@
@big stomach of ruminants@|@gäräba@
@bird@|@shimbira, simbira@
@bite@|@aboota@
@black@|@boora@
@black ant@|@mithii@
@block@|@qoroo@
@blood@|@dhiga@
@boar@|@gol'aa@
@bone@|@lafe@
@bowl@|@caabii@
@braid@|@cifra@
@brain@|@ngoo@
@bread@|@areeda@
@break off@|@folloqa@
@break through@|@full-a'a@
@brick@|@thuubii@
@bright@|@collee@
@brother@|@obboleessa@
@brothers and sisters@|@obbolaa@
@bull@|@oor-oo@
@burn@|@gub-@
@butterfly@|@bil-acca, bïli@
@buttocks@|@duboo, teeri, teeri@
@calf@|@cibaa, waatii, waatii, wellega dibi-cca@
@calf of leg@|@sarbaa@
@call@|@waama@
@camel@|@gaala@
@cattle@|@loon@
@chase@|@ari'a@
@chest@|@lap'p'ee@
@chick@|@cucoo@
@chickpea@|@shumbur-ä@
@child@|@baabuu, daa-ima@
@chip@|@fottoqa@
@clever@|@hilluu@
@climb@|@riqa@
@cloth@|@dhaw-@
@cloudy weather@|@harooressa@
@cold@|@qabbanä'ä@
@community@|@daadoo@
@companion@|@lammii@
@cook@|@affeela@
@corn@|@ees, hayd-, shiroo, shuroo@
@count@|@lakkaa'a@
@cow@|@ammeisa, sa'aa, waatii@
@cows@|@looni@
@cripple@|@naafa@
@crossroads of forest paths@|@lookoo, luukoo@
