@English@|@Ottoman Turkish@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@2-year-old colt@|@sypa@
@a bird of prey@|@kekük@
@a castrated camel@|@atan@
@a curved knife@|@egdü@
@a fabulous animal@|@qat@
@a k. of biting insect@|@ti-ler@
@a k. of cloak@|@çapan@
@a k. of grass@|@bijan, bujan, jekän, jigän, jigen@
@a k. of hawthorn@|@imiti, ymyt@
@a k. of lark@|@tarahaj@
@a k. of lynx@|@andyq@
@a k. of musical instrument@|@qobuz, qopuz@
@a k. of plant@|@sahry@
@a k. of rat@|@alangharat@
@a k. of sheepskin@|@qaqma@
@a k. of short coat@|@jeläk@
@a k. of small bird@|@jälvä@
@a k. of small hawk@|@jahlabaj@
@a k. of tax@|@basyh@
@a k. of tent@|@tuhur@
@a k. of upper clothes@|@çekmen, qars@
@a little@|@az@
@a mass of hair@|@japaq@
@a measure of capacity@|@küri@
@a medicinal shrub@|@anduz@
@a military title@|@tonga@
@a pinch@|@çimdik@
@a relation by marriage@|@böšük@
@a relative by marriage@|@tüngür@
@a rodent ulcer@|@kezek@
@a step@|@mang@
@a stubby man@|@bazuq@
@a turn to do something@|@sab@
@a verse metre@|@tujuq@
@a wedding song@|@öleñ@
@a young calf@|@torbaq@
@abhor@|@jigren-@
@above@|@joqaru, joquš, juqar, ör@
@acacia@|@qaraqan, qaraqana@
@acid@|@açy, açyh@
@Adam's apple@|@bohardaq, boqurdaq@
@add to@|@taq-@
@additionally@|@dahy, daxy, taqy@
@advice@|@kengeš, kengeš-@
@adze@|@kerki@
@affair@|@iš küdük@
@after@|@song@
@again@|@jana@
@age@|@jylqy, ylqy@
@alive@|@tiri, tirig, tirik@
@all@|@barça, qop@
@allotment@|@teg-ir@
@also@|@bile, bilen@
@an ending of the 2d person@|@-h, -ng@
@an object of hope@|@um-unç, umuh@
@ancestor@|@eçü@
@ancient@|@eski@
@anger@|@öç, öfke, öpke, öž, qaqy-h@
@angle@|@bužaq, müngüš@
@ankle-bone@|@topuq, topyq@
@announcement@|@jar, jar-lyh@
@ant@|@qarynça, qarynçha, qumursha, qumursuha, qumursxa@
@ant (1)@|@çümeli@
@appointed time@|@tydyn@
@area covered with stones@|@saj@
@arm@|@qar, qary, qol@
@armour@|@jaryq, qujaq@
@arrange@|@jap-@
@arrow@|@oq@
@arrow head@|@sahan@
@arrow shaft@|@kez@
@Artemisia abrotonon@|@jez, jiz@
@artery@|@tamar, tamur, tamyr@
@Ash@|@kül@
@ashes@|@kül, qoh@
@astonished@|@anhy@
@at peace@|@enç@
