@English@|@Parakan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a future mother@|@ihyroma@
@a kind of fish@|@akara, awaxiary'ym, ipiraxiga, pirapokoa@
@a kind of water worm@|@apera@
@a lot@|@he'yxoho, he'yxoho, he'yxowe, heta@
@a lot of@|@heta@
@a village@|@apyterew@
@accelerating@|@moxemamahaw@
@accountant@|@mome'onar@
@Adam's apple@|@ama'ykyg@
@afraid@|@ehaite@
@after tomorrow@|@kwexareke@
@agouti@|@akoxi@
@ahead@|@enone@
@Akoxirawa made cigarette@|@Omoxam petyma Akoxirawa@
@Akykya is mother of him@|@Akykya hyke@
@all sleep sad@|@Aoxeoho ikeri nahorywihiete@
@all together@|@aoxeoho@
@almost@|@werehe@
@Altamira@|@Altamira@
@an yellow fruit@|@aka'awi@
@anambé-of-caudabranca (bird)@|@monameron@
@anambé-purple (bird sp)@|@monamepytog@
@another@|@amote@
@ant@|@kapia'i@
@ant eater@|@kwanowyra@
@ants@|@akoximopy@
@anus@|@ewikwar, ewiri, kwar@
@any bone@|@ma'ekyg@
@Anywa is descending of Iatora@|@Anywa oexawe'ynia Iatora@
@aprovation@|@einon@
@araçari (kind of bird)@|@aratokon@
@arapaçu (kind of bird)@|@ara'yka@
@armadillo@|@tatoa@
@arrested@|@akwapetymyr@
@arrow@|@moropoxi@
@arrow for bird@|@naxowyw@
@ash@|@ata'ow, atapyiwer@
@asphalted street@|@ita'yw@
@Assurini has catarrh@|@heta iama'ypewa Axorigia@
@at dawn@|@ko’emawy’ymamo@
@at the 4 hours of the morning@|@koemarowao@
@atobá@|@haka@
@aunt@|@enyrarow@
@Awaka'yma is old@|@Awaka'yma  koxaymyn@
@awaking@|@paka@
@Awakwena is cousin of Ta'oe@|@Awakwena Ta'oe renyra@
@Awanami (proper name)@|@Awanami@
@Awia is grandfather of Tapawa@|@Awia Tapawa hyarope@
@axe@|@xy'a@
@Axia is corn farmer@|@Axia awaxia tymara@
@Axowya has many grandchildren@|@Axowya remominoetoa hetaete@
@Axowya is grandpa of Xirirei@|@Axowya Xirirei ramonia@
@bachelor@|@awayahomyn@
@back@|@ape, ewir@
@bad@|@katoi'ywa'e@
@bad thing@|@ma'eagaw, ma'exiroagaw@
@badly odor@|@kaxirem@
@bald@|@nai'awi@
@banana@|@xata@
@banana is still green@|@xata iakyrete wee@
@bank@|@apykaw@
@bank (to seat)@|@tanaw@
@basket@|@arawax, yro@
@bat@|@anyra@
@bats left his house at nigth@|@O'em anyra tawa hi ypytonimo@
@be bad@|@awaipaw@
