@English@|@Pashto@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@above@|@uchat@
@Afghan national dance@|@atan@
@after reading@|@rasedo na pas@
@air@|@hawä@
@airplane@|@taghara@
@Airport@|@hawaa dagar@
@all@|@tol@
@all right@|@dera xä da@
@am@|@yäm@
@am reading@|@wayyäm@
@an interrogative particle@|@sä@
@and@|@o@
@angel@|@parishtâ@
@animal@|@žüy; hayvan@
@ant@|@mege, mezhäy@
@Anybody can learn Pashto@|@poxto har sare zda kawule si@
@apparent@|@xkara@
@apple@|@manâ@
@are@|@ye@
@are reading@|@way@
@arm@|@mät@
@Army@|@pauz@
@arrow@|@gašäy@
@ash@|@ira@
@ash(es)@|@irâ@
@Asylum@|@panaah@
@axe@|@tabar, tabargäy@
@bad@|@xarab@
@bald@|@suddar@
@banana@|@kela@
@barley@|@orbuše, warbashi@
@bear@|@ezhâ, yezhâ@
@beard@|@zhirâ@
@becomes@|@kigi@
@bed@|@bistarâ@
@bee@|@machäy; bazgalâ@
@beer@|@bir@
@belly@|@xeta@
@below@|@lande@
@big@|@ghat, loe@
@bird@|@murgâ@
@black@|@tor@
@black berry@|@manga@
@blind@|@rund@
@blood@|@wina, winâ@
@blue@|@asmayi@
@boat@|@warâ biräy@
@body@|@badan@
@bone@|@aduke, hadükäy@
@book@|@kitab@
@boot@|@moza@
@Border@|@pdlay@
@boy@|@halak@
@bread@|@dodäy@
@breast@|@sina@
@bridge@|@pul@
@bring it@|@rawra@
@broken@|@mat@
@broom@|@jaru@
@brother@|@wror@
@brown@|@taswari@
@brush@|@burs@
@buffalo@|@mexa@
@bull@|@gwaya@
@burn@|@ta largi@
@butterfly@|@patang, taro@
@buy it@|@waxla@
@cabbage@|@ban gobi@
@calf@|@skhaey@
@camel@|@üsh@
@camera@|@kamera@
@Camp@|@dd kaamp@
@candle@|@šam'â@
@cat@|@pisho, pisó, pišo@
@catch that bird@|@haga margay unisa@
@cauliflower@|@gobi@
@cheek@|@gamnori, ghamnorï@
@cheese@|@panir@
@cherry@|@gilas@
@chicken@|@charga@
@child@|@kuchäni, mashum, mašum@
@Children@|@muchouman@
@chili@|@marchake@
@chin@|@zanâ@
@cloth@|@kapra@
@Clothing@|@jama@
@cloud@|@sahab, waryaz@
@coal@|@dadanro skarâ@
@coffee@|@kawâ@
@cold@|@yax@
@comb@|@zmanjd@
@coming back@|@ratlo@
@Cooking pot@|@chainaq@
@Cooperation@|@hamkari@
@copper@|@mis@
@corn@|@jwar@
@cotton@|@panbâ@
@country@|@mulk@
