@English@|@Persian@
@Author name@|@Luca Carrozzi@
@Font@|@Arial\12\Arial\12@
@(baked) brick@|@âjor@
@(cooked) beetroot@|@labu@
@(husband's) father-in-law@|@pedarzan@
@(monetary) reserve@|@andukhte@
@(parliamentary) bill@|@lâyehe@
@(public) order@|@entezâmât@
@(to read) at sight@|@az ru@
@10th day of Moharram@|@âshurâ@
@10th month Persian solar year@|@dei@
@11th month of the lunar year@|@zol-qa'de@
@11th month Persian solar year@|@bahman@
@12th month of the lunar year@|@zol-hejje@
@12th month Persian solar year@|@esfând@
@18th of Zo'l-Hejje@|@ide ghadir@
@1st letter of Arabic alphabet@|@alef@
@1st month Persian solar year@|@farvardin@
@1st Shavval@|@ide fetr@
@20 days after celeye bozorg@|@celeye kucek@
@27th Rajab@|@ide mab'as@
@2nd month Persian solar year@|@ordi behesht@
@3rd month Persian solar year@|@khordâd@
@4th month Persian solar year@|@tir@
@5th month Persian solar year@|@mordâd@
@6th month Persian solar year@|@shahrivar@
@7th month Persian solar year@|@mehr@
@8th month of the lunar year@|@sha'ban@
@8th month Persian solar year@|@âbân@
@9th month Persian solar year@|@âzar@
@a certain@|@folân@
@a certain one@|@yaki, yeki@
@a certain person@|@shakhsi@
@a few@|@barkhi@
@a fold@|@tâ@
@a great man@|@bozorgmanesh@
@a little@|@andaki@
@a little [adv]@|@qalilan@
@a little while@|@candi, yak candi, yek candi@
@a man@|@rajol@
@a minor@|@khordsâl@
@a society@|@jamâ'at@
@a suit of clothes@|@yak dast lebâs@
@a third@|@mosallas@
@abandon [to]@|@dast kashidan (âz), dast shostan@
@abandoning (a project; adj)@|@monsaref@
@abandoning [subs]@|@tark@
@abatement@|@takhfif@
@abbreviated@|@mokhtasar, moqtasar@
@aberration@|@gomrâhi@
@abhorrence@|@goriz@
@ability@|@este'dâd, kefâyat@
@ability to do without sthg.@|@qanâ'at@
@abjectness@|@zellat@
@able@|@mosta'edd, qâbel@
@able seaman@|@sarnâvi@
@able to be counted on fingers@|@angoshtshomâr@
@ablution@|@vozu'@
@abolished@|@matruk, molghâ@
@abolishing@|@raf'@
@abolishing the veil [subs]@|@raf'e hejâb@
@abominable@|@qabih@
@abominable act@|@qabâhat@
@about@|@dar bâb(e), dar bâre(ye), dar hodud(e), taqriban@
@above@|@bâlâ, farâ, farâz, fouq, mâ fouq, zabar@
@above-mentioned@|@fouq oz-zekr, mazbur@
@abridged@|@mokhtasar, moqtasar@
@abroad@|@khâreje@
@abrogated@|@molghâ@
@abrogation@|@elghâ, naskh@
@absence@|@adam, duri, gheibat@
@absent@|@gha'eb, ghâyeb@
@absolute@|@motlaq@
@absolute (of government; etc)@|@estebdâdi@
@absolute authority@|@estebdâd@
@absolved@|@mo'âf, mobarrâ@
@abstain [to]@|@sarfe nazar kardan@
@abstain from [to]@|@parhikhtan@
@abstaining@|@emtenâ'@
@abstinence@|@parhiz, parhzigâri@
@abstruse@|@daqiq, ghâmez@
@abundance@|@besyâri, farâvâni, vofur@
@abundant@|@farâvân@
@abuse@|@doshnâm, fahhâshi, fohsh@
@abuse [to]@|@doshnâm dâdan@
@abusive@|@fahhâsh@
@academy@|@farhangestân@
@accent@|@lahje@
@accept [to]@|@paziroftan@
@accepting@|@qabul, qâel, qâyel@
@access@|@dastrasi@
@accession to the throne@|@jolus@
@accidence@|@sarf@
@accomplice@|@sharik@
@accomplish [to]@|@anjâm dâdan, bar âvardan, be jâ âvardan@
@accomplishment@|@anjâm@
@accordance@|@vefq@
@according@|@az ru(ye)@
@according (to)@|@motâbeq(e), tebq(e)@
