@English@|@Phoenician@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@'@|@'ayin@
@A war@|@Wage@
@abundance@|@cabax quot, paqta quot, quot@
@accountant@|@mhecib quot@
@achievement@|@Xišmat@
@Adam@|@Edam@
@adjacent@|@ašl@
@aid@|@xazar, xezrat@
@all@|@Kil@
@alone@|@'hd@
@altar@|@Mazbah@
@ancestor@|@ab@
@and@|@ww@
@anoint@|@macah@
@antimony@|@khl, khl@
@architect@|@baxel heric@
@arm@|@yad@
@army@|@Mhannat, šaba, sb'@
@arrowhead@|@hoš@
@artisan@|@emmen@
@Arwad Island@|@aynook@
@ask@|@arac@
@associate@|@habr@
@avenge@|@naqam@
@b@|@beet@
@back@|@šohr@
@barber@|@jilleb@
@battle@|@Malhamit@
@be@|@bšy, ken@
@be lost@|@y'bd@
@be small@|@s'r@
@bear (children)@|@yolod@
@beard@|@zaqn, zkn@
@Beirut@|@Bi'rut@
@belly@|@bat'n, kirc@
@bless@|@berak@
@blessing@|@barkit@
@blood@|@damm, dume@
@bone@|@sm@
@border@|@gbl@
@bowl@|@ibsit, Ijjen, jolon@
@box@|@arn, urnit@
@brother@|@ah, ah', hay@
@build@|@bini@
@Build@|@našab@
@builder@|@binne@
@building@|@bena, mabnat, maqarr@
@bury@|@qabar@
@butcher@|@t'abah'@
@Byblos@|@Jbeil@
@calf@|@xijil@
@calf'@|@gl@
@calling birds@|@syprm 'rrm@
@carpenter@|@nujjar@
@cart@|@xajlit@
@cast@|@nasak@
@caster@|@nissek@
@cattle@|@baqar, bkr@
@child@|@yalad@
@citizen@|@ec@
@clan@|@dar@
@cloth@|@kisy@
@coal@|@phm@
@coffin@|@h'allit, urn, urnit@
@colleague@|@h'abr@
@collect@|@asop@
@color of lapis lazuli@|@'kn'@
@column@|@xamud@
@come@|@b'e, hlk@
@coming@|@yerid@
@confiscate@|@jazal@
@consecrate@|@qaddac@
@consume@|@akal@
@corn@|@dgn@
@cost@|@taman@
@countrymen@|@bin xam@
@cover@|@kisi@
@craftsman@|@emmen, heric@
@cumin@|@kammum@
@cup@|@nebel@
@cure@|@isi@
@custodian@|@xurrab@
@custody@|@h'rz, mexrab@
@d@|@daalet@
@daughter@|@bitt@
@day@|@yawm@
@death@|@mot@
@defeat@|@Nasah'@
@deliver@|@callam@
@depart@|@berah'@
@descend@|@yarad@
@destroy@|@abed@
@devastate@|@abed@
@died@|@met@
@dirt@|@xapar@
@disturb@|@xakkar@
@disturbance@|@xakrate@
@dog@|@kalb@
@dogs and whelps@|@klbm wgrm@
