@English@|@Prussian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@A carter drives here@|@Kellewesze perioth@
@abandon@|@PAWÊRPT, powiêrpt@
@about@|@EZE@
@abstains@|@ETLÂIKÂ SI@
@abundant@|@laimiskan@
@abundantly@|@laimintiskai, LÂIMÎNTISKÂI@
@abuse@|@EBKEKAN, EBKEKTWEÎ, epkieckan, epkieckan@
@accuse@|@niwinûton, WINÛTWEÎ@
@accused@|@ebwinûts, EBWINÛTS, niebwinûts@
@accustom to@|@iaukint, JÂUKÎNT@
@ache@|@Gulsennin, GULTWEÎ@
@acorn@|@GILÊ@
@acquires@|@ÊNGAÛNÂ@
@acre@|@MÂRGS, Moargis@
@activities@|@SEGÊSNÂ, segisna@
@Adam@|@ADAMAS@
@addresses@|@ÊNWAÎTJÂI, WÂRTINÂ, wartinna sin@
@adieu@|@Sanday, SÂNDÊI@
@admonish@|@PASKÂLÊTUN, paskulîton@
@adze@|@WEDIGÂ, Wedigo@
@affair@|@ASTIS@
@after@|@PÂ, PÂ, PAS, po, po, poskails@
@aftermath@|@ATÂLS, Attolis@
@again@|@ETKÛMPS@
@against@|@ÊMPRÎKI, preiken, preiken, preiken, PREÎKIN, PREÎKIN, PREÎKIN, PRÎKI, PRÎKI, prîkin@
@aged@|@Urs, WÂRAS, WÂRS@
@alder-tree@|@ALISKÂNS, ALISKNAS@
@alienate@|@aupaickêmai, ÂUPÂIKÊIMAÎ@
@allots@|@PALÎKIJ, polijcki@
@almighty@|@WISAMÂKJAS, WISAMÂZÎNGIS, Wissemusîngis, wyssen mukis@
@already@|@iau, JÂU@
@altar@|@ALTARÊS, Altari@
@although@|@IKÂI@
@alumina@|@LÂISÂ, Layso@
@always@|@Ainat, AÎNAT, KADAN, WISADAN@
@amber@|@glaesum, GLÊSÎS@
@ambler@|@Wilenikis, WINENÎKS@
@amiably@|@mijlan, MÎLAN, Mîls@
@amulet@|@GÎNTÂRS@
@and@|@BE@
@angel@|@ÊNGÊLS@
@animals@|@swîrins, ZWÊRINS@
@ankle-bone@|@Kulnis, KÛLNIS@
@another@|@KITAN, kittan@
@answer@|@ETRÂTWEÎ@
@ant@|@Saugis, ZÂNGÎS@
@anvil@|@PRÊIKALAS, PRÊIKÂLS@
@anybody@|@AÎNUNTS@
@apple@|@ÂBLÊ@
@apple-tree@|@abâlnê wobalne@
@Aral asp@|@Rapis@
@ark@|@Arcan, ÂRKAN@
@arm@|@IRMÂ, Irmo@
@arm-chair@|@Creslan, KRÊSLAN@
