@English@|@Pumpokol@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of fish@|@len@
@alder@|@šujgin@
@alive@|@atie, ätie, átodu, etgeg@
@arm@|@qínang@
@armour@|@jexat@
@army@|@kel@
@arrow@|@damóng tim, timym@
@ashes@|@finang, finnang, phinang@
@autumn@|@kute@
@back@|@akop, qop@
@backwards@|@ogoš, tuk@
@badly@|@sel, selem, selem@
@bat@|@dágo-úte@
@be without hearing@|@atpifunãkng@
@bear@|@kibä, kip, qip, xánki@
@beard@|@koólep, korürub, xlépuk@
@beaver@|@kurpäs@
@belly@|@phorga@
@below@|@xamartu@
@berry@|@šulpä@
@big@|@berga-, bergar-, xääse, xaese, xäese, xeem@
@birch@|@uta@
@bird@|@išila-@
@birdcherry@|@pa@
@bitch@|@pin-bilšaba, pinbilšaba@
@blackly@|@túma, tüma@
@bladder@|@leo-xóxar@
@blood@|@sur@
@blue@|@bis, itima@
@boat@|@taj, tyg@
@boots@|@qísyng@
@bow-string@|@kej-tu@
@boy@|@bi-kal, falla, phálla@
@branch@|@kéding jaxi@
@breast@|@apijen, phiáng, tike@
@brother@|@amagel, bamagál@
@bubble@|@leo-xóxar, ólau@
@burning coal@|@kuburúng@
@calf@|@tugal@
@cedar@|@im-phaj, py@
@cheek@|@pindalin@
@cheeks@|@by-qolong, byqolung@
@chicken@|@išila-kelä@
@child@|@alpolát, kalqóna, kalqóna, ol-polat, xilúngla@
@chin@|@pinét, pinzhal@
@circle@|@fylym@
@clay@|@tu, tubúrun, tuburung, tülpenem@
@clothes@|@kaj, kal, qaj@
@cloud@|@esperang@
@coal@|@búchkete@
@cold@|@sólonga@
@coldly@|@šilt, šiltü@
@comb@|@ten@
@cow@|@tügal, tüja@
@crane@|@kem@
@crookedly@|@kamaringa@
@cross-bow@|@kaj, koi, qoj@
@crucian@|@sãt@
@cunnus@|@ken, lat@
@darkly@|@bonosot-xomšümä, kónchidin@
@daughter@|@akelä, bikala@
@daughter-in-law@|@bonä@
@day@|@ha, xang?gachedin@
@deer@|@sálat, sin, xáju@
@depth@|@fozbag@
@devil@|@lycy, lycy@
@dew@|@kurlo@
@directly@|@tedenga@
@dirt@|@tyk@
@dog@|@ílchap, ilchep@
@door@|@ejt'ol, ejt'ol, ejtol, ejtol, éjtol, éjtöl, éjtöl, elxan, élxan, itel@
@dry@|@ich-kój-nga, qoija@
@duck@|@ban, pona, ponä, punä@
@ear@|@átkin, uskuj, utqönong@
@ears@|@utkenóng@
@earth@|@bing, pem, peng, pieng@
