@English@|@Q'anjob'al@
@Author name@|@J D Young@
@Font@|@Arial\20\Arial\20@
@2nd person singular of a noun that begins with a consonant@|@ha-@
@a@|@jun@
@a charge@|@yab'en@
@a child or object that is very small@|@b'itanyeji@
@a child that is capable of joining in something (The little girl is capable of joining in on the conversation)@|@aj'et@
@a classifier used with everything of metal or rock (ch'en ch'en the rock ch'en xij the metal pan)@|@ch'en@
@a day of the ritual Mayan calendar (On Ab'ak they ask for food)@|@ab'ak@
@a delicious candied treat that is made of corn and is part of the patronal feasts and the holy week@|@yen@
@a hundred@|@hok'al@
@a large rodent with a short hairless tail@|@alaw@
@a little yellow@|@q'antaq@
@a long cane@|@jun jab'an wale@
@a lot@|@miman, xiwil@
@a mission@|@yab'en@
@a net made of agave fibers that is used when harvesting or preparing corn for storage@|@ab'ejal@
@a piece of clothing@|@pichilej@
@a poorly dressed person (The person was poorly dressed because of poverty)@|@wesan yeji@
@a preposition that indicates to whom the action is directed or for whom the action was carried out (b'ay txutx 'to his or her mother' or 'for his or her mother')@|@b'ay@
@a preposition that indicates to whom the action is directed or for whom the action was carried out (tet hintxutx 'for my mother' - tet xutx 'to his mother')@|@tet@
@a request or petition that a person makes to another person to perform a certain task or to take care of someone or something@|@ab'en@
@a simple hand turned grain mill@|@sq'ab' ka'@
@a stone used as a pestle to grind paint or drugs by hand@|@sq'ab' ka'@
@a type of palm-tree@|@ch'ib'@
@a versive suffix added to adjectives to form an intransitive verb that becomes or takes on the quality of the adjective (saq 'white' - xsaqb'aneni 'whitened it')@|@-b'@
@a very tall object@|@waran yeji@
@a week ago@|@uqub'ixi@
@a white deposit formed in a pot by the evaporation of water containing lime@|@xaq@
@a year ago@|@junab'i@
@about@|@yib'an@
@above@|@axka, yib'an@
@above over or on top of you all@|@heyib'an@
@accompanied him or her or it@|@max yetb'ene'@
@according to what you say (He will go to the party if you say so)@|@atak'ala'@
@achiote (or annatto a tropical American evergreen shrub or small tree that has showy flowers the seed is used as coloring and a flavoring)@|@hox, ox@
@acid stomach@|@yaqju@
@acidic@|@paj@
@acts as a pluralizer in certain cases and indicates abundance or a place where there is a lot of the thing it modifies (ch'enlaq - a lot of rocks)@|@-laq@
@add condiments to food (He put salt on the potatoes)@|@aytoq@
@add salt@|@ak yatz'amil@
@adhesive@|@lak' taq@
@adobe@|@xan@
@adverb that means always@|@k'al@
@affix that changes the meaning of a word (ow means anger - max owb'i means he got angry)@|@-b'i@
@affix that changes the meaning of a word (watx' means good - swatx'il means its goodness)@|@-il@
@affix that functions as a pluralizer when it is attached to miman (miman means big - mimeq na means big houses)@|@-eq@
@affix that intensifies the word to which it is attached (yax means green - yax mayinaq means very green)@|@-inaq@
@affix that is added to a root or transitive base to indicate that the action is done several times on the same recipient (ten means to push or to move - max stenob'tanej means pushed it or moved it several times)@|@-tane@
@after@|@lajwi tu@
@again@|@junel xa@
@agape@|@jaqan sti'@
@agave (or ropes made with agave fiber)@|@chi'@
@agave fiber or rope made from the agave@|@tx'etx@
@age@|@yab'ilal@
@agreed@|@inye@
@Agreed!@|@hinye@
@air@|@ka'e', kaq'e', kaq'eq'@
@akin@|@lajan yoki@
@all@|@masanil, puro, smasanil@
@almost (Ijan max kin telk'oji I almost fell)@|@ijan@
@alone@|@kusiltaq@
@alone (Asan ch'an naq Xhunik max toj mulnajil - Only John went to work)@|@asan@
@alongside@|@sk'atan@
@Alonzo@|@aluxh@
@aloud@|@ipejal@
@already known@|@ojtaqb'il@
@also (naq Xhwan k'apax ix unin John also the little girl)@|@k'apax@
@altar (place where prayer is recited)@|@tx'ajb'al@
@although@|@kaxk'al@
@always@|@k'al@
@among@|@xolaq@
@ample@|@miman sat@
@an expert in wrongdoing@|@aj'et@
@an infrequently used suffix that marks a verb as passive (it is a combination of -chaj and -om the 'j' is added to keep from having two vowels appear together)@|@-chajom@
