@English@|@Rajasthani@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@8th day after the Holi party@|@basy@
@A@|@Ek@
@a bag made of cloth@|@bijoliyo@
@a bank@|@pa, paja@
@A bankrupt@|@divaladasyo@
@A barber@|@khuvasa@
@a big cloth like blanket@|@Mandaso@
@A big deep basket@|@kharolo@
@A big iron cooking@|@avo@
@A bird@|@kavala@
@a bit of dry grass@|@Fusako@
@a blister@|@papolo@
@A blister of lime plaster@|@leva@
@a blot@|@dasato@
@a blow@|@ghumum, pheta@
@a box@|@thumso@
@a bracket@|@todo@
@a branch@|@loda@
@a brass lamp@|@pilasota@
@a bride@|@bani@
@a broom stick@|@bhuari@
@A burrow for rabbits@|@dura@
@A burst of laughter@|@khilakhilata@
@A call to join certain ceremon@|@koko@
@A caste of huntsmen@|@bagari@
@a caste of muslims converted@|@Qyamkhani@
@A caste whose occupation@|@o@
@a cat@|@biliya@
@A cave@|@andara@
@A chafing-dish@|@siga@
@A child's rattle@|@ghugaro@
@A chisel@|@tankalo@
@A clasp-knife@|@banki@
@A cloak@|@atamasuka@
@a coil@|@anto@
@A coil@|@ghero@
@a coil of rope@|@junna@
@a compacted mass of gur@|@bheli@
@a concubine@|@pasavana@
@A contemptuons term@|@chintari@
@A contemptuous term@|@laingado@
@A contraction of@|@Gora@
@a cotton blanket@|@Kheslo@
@A couplet@|@duvo@
@a cowkeeper@|@Guwal@
@A crocodile@|@bhagadanta@
@A cudgel@|@geda@
@a curse@|@phatakaro@
@A cut@|@ghagha@
@A day@|@danyam@
@a deep pucca tank@|@Kund@
@a demoness@|@Dakan@
@A desert@|@abegana@
@a desert cerial crop@|@bajro@
@a dip into water@|@Dubki@
@a disease of eye@|@Fulo@
@A dish made of pulse@|@kararo@
@a disorder of rectum@|@Kanch@
@a dive in water@|@Goto@
@a dog@|@totyo@
@A double chádar@|@khola@
@A downright lie@|@ghasaka@
@A drinking vessel@|@badanu@
@a drug@|@pakavaja@
@a dunce@|@rundamunda@
@A family of Khandelwál@|@aka@
@a fatal weapon@|@bajraq@
@A father@|@jami@
@a feast@|@he, nikata@
@a field with flat land@|@Dairi@
@A fire in the open@|@kau@
@A fire-fly@|@agyo@
@A foot path@|@digari@
@A forehammer@|@bhkumaro@
@a fox@|@Lunkadi@
@A furrow@|@ummaro@
@a game@|@Rasdi@
@a garland worn on the head@|@Sevara@
@A general name for a feast@|@aronukato, avokavo@
@a ghost of a child who dies@|@Kacho kaluvo@
@A gift of flowers to Brahman@|@asaka@
@A girdle made of gold@|@kanangati@
