@English@|@Rarotongan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@above@|@runga@
@all@|@katoa@
@ancient times@|@ta'ito@
@and@|@maa@
@And you?@|@E koe?@
@Are you Rarotongan?@|@E Rarotonga koe?@
@ash@|@rèu@
@at@|@i, tei@
@back@|@mokotua@
@bad@|@kino@
@beach@|@ta'atai@
@beauty@|@ine, purotu@
@belly@|@kona, koopuu, manava@
@below@|@raro@
@big@|@'akamatü, äma'atama'ata, katakata, ma'ata, ngao@
@big (1)@|@äkä@
@bird@|@manu, manu rere, marurere@
@black@|@ìva, kere, uri@
@blood@|@toto@
@bone@|@ivi@
@branch@|@raaraa@
@breast@|@uu@
@causative@|@aka-@
@chief@|@ariki@
@child@|@tama, tamaiti, tamariki@
@clan@|@ngati@
@cloud@|@tiao, tumurangi, türangi@
@cold@|@anu, anu toketoke@
@come@|@mai@
@correct@|@true tika@
@dance@|@'ura@
@daughter@|@tamáine@
@day@|@ao, ra@
@dirty@|@àvaàva, repo@
@dog@|@kurii@
@Don't touch me there! (1)@|@to'ou mata ku'a kite ko'e!@
@dry@|@maroo@
@dull@|@mania@
@dust@|@puèu@
@ear@|@taringa@
@earth@|@kere/maroo@
@egg@|@ua@
@eight@|@varu@
@eternal@|@manea@
@European@|@papa'a@
@evening@|@po@
@eye@|@kanoì, mata@
@fall@|@ìnga, makuru, marere, topa@
@far@|@mamao@
@fat@|@ngako@
@father@|@pä, papa, päpä@
@feast@|@umukai@
@feather@|@'uru, 'uru'uru@
@fifty@|@rima ngauru@
@fire@|@aì@
@fish@|@ika@
@five@|@rima@
@flower@|@pua@
@fog@|@ko'u, maa'uu@
@foot@|@vae@
@four@|@a, àa@
@fruit@|@'ua@
@garland@|@ei@
@go@|@haere, he'e@
@God@|@Atua@
@good@|@maitaki, reka@
@goodbye@|@no'o@
@goodbye (to s.o leaving)@|@aere ra@
@goodbye (to s.o staying)@|@no'o ra@
@grass@|@matie(e), mauku@
@grease@|@ìnu@
@green@|@'akamatie, matie, tämatie@
@hair@|@`uru, rauru@
@hand@|@kapu, rima@
@happy@|@mataora@
@have you heard the news@|@kua rongo körua i te nüti!@
@he@|@aia, ia@
@he/she is not here@|@Käre 'aia i konei@
@head@|@upoko@
@heavy@|@tai/maà/, tei/maà/, teimaà@
@hello@|@kiaorana@
@Hello!@|@Kiaorana koe!@
@Here come our friends@|@Ko tö täua taeake tërä ake, To täua taeake tërä ake@
@Hey there!@|@E va'ine!@
@house@|@'are, àre@
@how many?@|@'e 'ia?@
