@English@|@Romani@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a book@|@lil@
@a drake@|@retchko@
@a duck@|@retchka@
@a fight@|@chíngary, kora@
@a hatchet@|@chinner@
@a little@|@kushi, kusi@
@a pound note@|@bar@
@a prophecy@|@drúkkerébema@
@a small country lane@|@boreen@
@a summons@|@bister@
@a swindle translated as 'switch the bag'@|@budjo@
@a television set@|@dínilo's dikkaméngro@
@a thing@|@chat, chet, chete, kovva@
@a whistle@|@móoikósht@
@about@|@trushul@
@above@|@upral@
@abstention from animal products on Friday@|@postiu@
@Acid corrodes its own container@|@O zalzaro khal peski piri@
@acrobats@|@Djambas@
@across@|@pardál, paurdál@
@Adam's apple@|@gusha@
@affix@|@-mai@
@affix er@|@mai-@
@afraid@|@trashd@
@after@|@palal@
@agreement@|@vai'datha@
@agrrement@|@vai' datha@
@all@|@sor@
@all right@|@misto@
@also@|@da, vi@
@ancient@|@póorano@
@and@|@a, em, i, pa, ta@
@ants@|@emets@
@apple@|@pobble, pobo, povel@
@apron@|@jarriger, katrinsa@
@are@|@is'i, se@
@Are you fed up@|@Chindilan?@
@are you hungry?@|@si tut bocklo?@
@Arise!@|@Opre!@
@Armenian dialect of Romani@|@lomavren@
@around@|@okolo, trujal@
@as god wills@|@ma-sha-llah@
@As soon as it got dark@|@Emen so rakilo sine@
@ashes@|@char@
@Asiatic dialect of Romani@|@domari@
@at@|@ke to, te to@
@aunt@|@beebi@
@away@|@avree@
@axe@|@tovar@
@baby@|@tikni, tikno, titno@
@bacon@|@balovas@
@bad@|@g'ami, nes, wafeti, wafti@
@bad omen@|@prikaza@
@baked flour bread@|@bogacha@
@baked potato@|@táttitátti@
@band of families@|@kumpania@
@barter@|@trampa@
@basket@|@kepsi, kipsi, skip, tushni@
@Basketmakers@|@Kirpachi@
@be drunk@|@mak!ol-matilo@
@be interested@|@interesirinel pe@
@be paid@|@bog@
@be said@|@vakerel pe@
@be scared@|@daral@
@bean@|@boba@
@bean soup@|@fusui@
@beans@|@rattlers@
@bear@|@meska@
@Bear trainers@|@Ursari@
@beard@|@xôres@
@beast of burden@|@grast@
@beautiful@|@odjus@
@Beauty cannot be eaten with a spoon@|@Shuk tski khalpe la royasa@
@because@|@sebepi, sebepi kaj, soske, sostar@
@bed@|@woodrus@
@bee@|@pishom@
@beef stew@|@xabe@
@beehive@|@góodlokénner@
@beer@|@gadda, gatta, lévinor, lívena, livna, lovi'na, lovina@
@before@|@angla, angle@
@Before I even have my next meal@|@May sigo sar te may khav@
