@English@|@Romanian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a@|@o, un@
@a certain@|@anumit@
@a certain extent@|@oarecum@
@a dress@|@rochie@
@a fine@|@amendă@
@a little@|@puţin@
@abandon@|@abandona, părăsi@
@abberation@|@aberaţie@
@abolish@|@aboli, desfiinţa@
@about@|@despre, pe la@
@above@|@deasupra@
@abroad@|@în străinătate@
@absence@|@absenţă@
@absent-minded@|@zăpăcit@
@absorb@|@absorbi@
@abundance@|@belşug@
@abundant@|@abundent@
@accelerate@|@accelera@
@accent@|@accent@
@accept@|@accepta@
@accident@|@accident@
@accomplish@|@împlini@
@account@|@cont@
@accountant@|@contabil@
@accusative@|@acuzativ@
@accuse@|@acuza, învinui@
@acquire@|@dobîndi@
@act@|@act, acţiona@
@activity@|@activitate@
@actor@|@actor@
@adapt@|@adapta@
@add@|@adăuga@
@added@|@adăugat@
@address@|@adresă@
@address oneself to@|@se adresa@
@adjective@|@adjectiv@
@administration@|@administraţie@
@admiration@|@admiraţie@
@admire@|@admira@
@admit@|@admite@
@admitted@|@admis@
@adorn@|@impodobi@
@advanced@|@înaintat@
@adverb@|@adverb@
@advertisement@|@reclamă@
@advise@|@sfătui@
@affectionate@|@scump@
@Africa@|@Africa@
@after@|@după, după ce@
@afternoon@|@după amiază@
@afterwards@|@după aceea@
@again@|@din nou, iarăşi@
@against@|@contra, impotniva@
@age@|@vîrstă@
@agency@|@agenţie@
@agent@|@agent@
@agile@|@sprinten@
@agitate@|@agita@
@agreement@|@acord@
@agricultural@|@agricol@
@aim@|@ţel@
@air@|@aer@
@airport@|@aeroport@
@alarm clock@|@deşteptător@
@Albania@|@Albania@
@album@|@album@
@alcohol@|@alcool@
@alight@|@coborî@
@alive@|@viu@
@all@|@toată, toate, toţi@
@allied@|@aliat@
@allow@|@da voie, permite@
@almond@|@migdală@
@along@|@de-a lungul@
@alpine@|@alpin@
@Alps@|@Alpi@
@already@|@deja@
@also@|@tot@
@altar@|@altar@
@although@|@deşi@
@altogether@|@în total@
@always@|@întotdeauna@
@am@|@sânt@
@ambitious@|@ambiţios@
@America@|@America@
@American@|@american@
@amiable@|@amabil@
@among@|@printre@
@amphitheatre@|@amfiteatru@
@an hour ago@|@acum o oră@
@ancestor@|@străbun@
@ancient@|@antic@
@and@|@iar, şi@
@anecdote@|@anecdotă@
@angel@|@înger@
@anger@|@ciudă, mînie@
@animal@|@animal@
@anniversary@|@aniversare@
@announce@|@anunţa@
@annoy@|@supăra@
@another@|@alt@
@ant@|@furnică@
@any@|@oricare, orice@
@anyone@|@oricine@
@anytime@|@oricînd@
@appear@|@apărea, se ivi@
@appeared@|@apărut, părut@
@appetite@|@poftă@
@apple@|@măr@
@appreciate@|@aprecia@
@apprentice@|@ucenic@
@approach@|@se apropria@
@apricot@|@caisă@
@April@|@aprilie@
@architecture@|@arhitectură@
@Argentina@|@Argentina@
@arithmetic@|@aritmetică@
@arm@|@braţ@
@armchair@|@fotoliu@
@army@|@armată@
@around@|@împrejurul, în jur, în jurul@
@arrange@|@aranja@
@arrangement@|@aranjament@
@arrive@|@sosi@
@arrive at@|@ajunge@
@arrived@|@ajuns@
@art@|@artă@
@article@|@articol@
@artist@|@artist@
@as@|@ca/ca de@
@as a matter of fact@|@de altfel@
@as far as@|@pînă Ia, pînă le@
@as well as@|@pe lîngă@
@ashes@|@cenuşă@
@Asia@|@Asia@
@aside@|@deoparte@
@ask@|@întreba@
@ask (to do)@|@ruga@
@ask for@|@cere@
@aspect@|@aspect@
@aspirin@|@aspirină@
@ass@|@măgar@
@assembly@|@adunare@
@assert@|@afirma@
@association@|@asociaţie@
@assume responsibility@|@şi lua răspunderea@
@assure@|@asigura@
@astonish@|@minuna@
@astonishment@|@mirare@
@at@|@la@
@at home@|@acasă@
@at that time@|@atunci@
@at the same time@|@totodată@
@athlete@|@atlet@
@atlas@|@atlas@
@atom@|@atom@
@atomic@|@atomic@
@atone for@|@ispăşi@
@atrocious@|@atroce@
@attack@|@ataca, năvăli@
@attempt@|@atentat, încercare@
@attention@|@atenţie@
@attentive@|@atent@
@attenuate@|@atenua@
@attitude@|@atitudine@
@attract@|@atrage@
@attracted@|@atras@
@attraction@|@atracţie@
@attractive@|@atrăgător@
@audience@|@auditoriu@
@auditory@|@auditiv@
@August@|@august@
@aunt@|@mătuşă@
@austerity@|@austeritate@
@Australia@|@Australia@
@Austria@|@Austria@
@authentic@|@autentic@
@author@|@autor@
@authority@|@autoritate@
@autumn@|@toamnă@
@avoid@|@evita, feri@
@babble@|@gînguri@
@bachelor@|@celiatar@
@back@|@dos, spate, spinare@
@background@|@fond@
@backwards@|@înapoi@
@bad@|@rău@
@bait@|@nadă@
@bakery@|@brutărie@
@balcony@|@balcon@
@ball@|@minge@
@ballast@|@lest@
@ballpoint pen@|@pix@
@banana@|@banană@
@Banat@|@Banatul@
@bang@|@bufni@
@bank@|@mal@
@banknote@|@bancnotă@
@baptise@|@boteza@
@bar@|@bar, gratie@
@barber@|@bărbier, frizer@
@barefoot@|@desculţ@
@bark@|@lătra@
@barking@|@lătrat@
@barley@|@orz@
@barn@|@hambar@
@base@|@baza, bază@
@basis@|@temei@
@basket@|@coş@
@bath@|@se scălda@
@bathe@|@scălda@
@bathroom@|@baie@
@be@|@fi@
@be able@|@putea@
@be astonished@|@se minuna@
@be available@|@se găsi@
@be bordered by@|@se învecina cu@
@be born@|@se naşte@
@be done for@|@fi frînt de oboseală@
@be fed up of@|@fi sătul pînă îin gît de@
@be glad@|@se bucura@
@be late@|@întîrzia@
@be lucky@|@avea noroc@
@be missing@|@lipsi@
@be named@|@se numi@
@be of use@|@fi de folos@
@be quiet@|@tăcea@
@be ready to start@|@fi pe ducă@
@be related to@|@înrudi@
@be right@|@avea dreptate@
@be situated@|@se afla@
@be terrified@|@se îngrozi@
@be wrong@|@nu avea dreptate@
@beach@|@plajă@
@beak@|@cioc@
@beam@|@grindă@
@beans@|@fasole@
@bear@|@urs@
@beard@|@barbă@
@beast@|@bestie@
@beating@|@bătaie@
@beautiful@|@frumos@
@beauty@|@frumuseţe@
@because@|@căci, deoarece, fiindcă, pentru că@
@become@|@deveni@
@become dark@|@se întuneca@
@become engaged@|@se logodi@
@become more expensive@|@se scumpi@
@become stiff@|@înţepeni@
@bed@|@pat@
@bedroom@|@dormitor@
@bedspread@|@aşternut@
@bee@|@albină@
@beech tree@|@fag@
@beer@|@bere@
@beetle@|@gîndac@
@beetroot@|@sfeclă@
@before@|@dinaintea, înainte de@
@beforehand@|@înainte@
@beg@|@cerşi@
@beggar@|@cerşetoare, cerşetor@
@begin@|@începe@
@begun@|@început@
@behaviour@|@comportare, purtare@
@behind@|@dinapoi, dinapoia@
@beige@|@bej@
@Belgium@|@Belgia@
@belief@|@credinţă@
@believed@|@crezut@
@bell@|@clopot@
@belly@|@burtă@
@belong to@|@aparţine@
@belt@|@centură, curea@
@bench@|@bancă@
@bend down@|@se apleca@
@berry@|@boabă@
@beside@|@alături, lîngă@
@best@|@optim@
@best of all@|@cel mai bine@
@between@|@dintre, între@
@beyond@|@dincolo de@
@bible@|@biblie@
@bicycle@|@bicicletă@
@big@|@mare@
@bird@|@pasăre@
@birth@|@naştere@
@birthday@|@zi de naştere@
@birthrate@|@natalitate@
@bishop@|@episcop@
@bite@|@muşca@
@bitten@|@amar@
@bitterness@|@obidă@
@black@|@negru@
@blackbird@|@mierlă@
@blade@|@lamă@
@blame@|@vină@
@blessing@|@binecuvîntare@
@blind@|@orb@
@blizzard@|@viscol@
@block of flats@|@bloc@
@blockhead@|@dobitoc@
@blood@|@sînge@
