@English@|@Rutul@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@j, w@
@1-year-old sheep@|@urg@
@2d class marker@|@'j, r@
@3d sing. class marker@|@b, w@
@a branch-shelter@|@larzij@
@a deictic emphatic stem@|@ha, he-mi@
@a diminutive suffix@|@-g@
@a k. of plant@|@maghI@
@a k. of weed@|@lys@
@a prohibitive particle@|@m-@
@a small thing@|@kelket@
@a sort of small nuts@|@ak-ax@
@above@|@l-@
@above (adv.)@|@la-'@
@ache@|@=ädda-@
@adessive@|@-dä@
@adjectival and part. suffix@|@-d, -dy@
@an intoxicating liquor@|@xIan@
@anger@|@qIal@
@angry face expression@|@ghIynyghI@
@ankle@|@turqI@
@ant@|@cacy-xa, jyj-yxI@
@aorist@|@-j, -r-i@
@apple@|@äch@
@armpit@|@xyli@
@arrow@|@häl@
@ashes@|@cuqI, ryqI@
@ass@|@jimäl@
@at the side of@|@bej-dy@
@autumn@|@xumu-x-ud@
@awn@|@gam@
@axe@|@jok@
@back@|@jyqI@
@back of head@|@daqI, qum@
@badger@|@mešuxwar@
@bag@|@xwab@
@barberry@|@syn@
@bark@|@zhugal@
@barley@|@xyt@
@basin@|@gyr@
@basket for berries@|@tak@
@basket for hay@|@kid@
@be high@|@ha-xa-s@
@be overcooked@|@s-u=che-@
@bead(s)@|@xad-by@
@bear@|@hu=xwa-, si@
@beard@|@mychri@
@become@|@=yky-@
@bed@|@mäs@
@bed-bug@|@šit@
@behind@|@qu'@
@bellows@|@zhad@
@belly@|@uxun@
@belt@|@chyn@
@besom@|@mugul, xyrys@
@big@|@qwaxdy@
@billet@|@kä'@
@bind@|@s-i=t?a-@
@birch@|@hIuxI@
@bird@|@šuruk@
@bird similar to a pigeon@|@q:uq:aj@
@bitch@|@kuch@
@black@|@lyxIdy@
@blind@|@byrqIy-d@
@blood@|@ä-bir, äbir@
@board@|@qul@
@bone@|@qyryb@
@bottom@|@qan, sa-'@
@box@|@laq@
@boy@|@xynyx@
@brain@|@jüt@
@branch@|@dal@
@bread@|@chad, xyw@
@breast@|@myxyr@
@bride@|@sus@
@bridge@|@ghIa@
@bridle@|@nixrä-b@
@brother@|@šu@
@brother-in-law@|@qIu-zhäm@
@bumble-bee@|@zübez@
@burdock@|@paq:Iul, paqIwal@
@burn@|@l-ikwa-s@
@butter@|@cham, dad-ghIwar, juxlad-xIarad, xIara-d@
@butterfly@|@täbäbäl@
@cabin@|@pazh@
@cake@|@gugalaj, gyrc@
@calf@|@qyq@
@cane@|@nac@
