@English@|@Salar@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a relative@|@qaryn-taš@
@acid@|@aažy@
@additionally@|@tähy, taxi@
@after@|@son@
@also@|@bile@
@an ending of the 2d person@|@-ng@
@anger@|@öhhen@
@animal's hair@|@jüx, tüx@
@ant@|@qomusqän, qumusqa@
@arm@|@qol@
@ashes@|@kül@
@back@|@ardi, arGa, arxa@
@bad@|@jaman@
@badger@|@porsux@
@bag@|@jenžux@
@bald@|@taz@
@ball of wool@|@jumax@
@barley@|@arfa@
@bat@|@jeresen@
@become satiated@|@toj-@
@bell@|@qonguraw@
@bird@|@Guš@
@black@|@Gara@
@blanket@|@jorhan@
@blood@|@Ga'n@
@blue@|@Gux@
@blunt@|@tombyx@
@boat@|@kimö@
@bone@|@senix@
@branch@|@putax, pütax@
@brave man@|@ixit, jihit@
@calf@|@puzo, püzy@
@camel@|@töje, töüvä, tüvi@
@cat@|@mišix@
@cheek@|@jangax@
@claw@|@jyrna'x@
@clay@|@palçyx@
@cloud@|@bu'lyt@
@cold@|@sox@
@collide@|@toola-@
@community@|@töj@
@courage@|@jyrüx@
@cow@|@kölex@
@daughter-in-law@|@kein, kiin@
@dew@|@çyx-çu@
@distant@|@jyrax@
@dog@|@išt@
@dream@|@tel@
@dry@|@Guru, Gury@
@dung@|@tesex, tözex@
@dye@|@bojax@
@ear@|@Gulax@
@ear-ring@|@syrha@
@earth-worm@|@suhulžun@
@edge@|@jaxa@
@egg@|@jymüdda, jymürdda@
@elder brother's wife@|@janggu, jengGo, jengko@
@empty@|@boš@
@eye@|@gö'z@
@face@|@jiz, jüz@
@far@|@uzyx@
@fat@|@jah, semüs@
@father@|@aba, apa@
@fathom@|@qulaš@
@female breast@|@göfrix@
@fire@|@oht@
@fish@|@balux@
@fit into@|@syx-@
@flower@|@çiçex@
@foal@|@tory@
@foot@|@aja'x@
@forest@|@ormän@
@forty@|@qyrx, qyryx@
@fountain@|@jul@
@fowl@|@tox@
@fox@|@t'iligu, tüligu@
@frog@|@paha@
@front@|@aldy-@
@full@|@doli', t'oly, töl-@
@gall@|@öt@
@garlic@|@samsax@
@gate@|@qaavu@
@gather@|@teere-@
@get to know@|@tany-, täny-@
@girl@|@qyz@
@go away@|@baar-, paar-, var-@
@god@|@tanru@
@good@|@jaxšy@
@grass@|@çöp@
@green@|@jäšil@
@gruel@|@koža@
@hair of head@|@sach@
@hair on back of head@|@sachyx@
@halter@|@julur@
@hand@|@el@
@handful@|@už@
@hare@|@töšen@
@head@|@baš@
