@English@|@Sanskrit@
@Author name@|@Public domain@
@Font@|@Arial\12\Arial\12@
@( 6 pp) to join@|@milati@
@( used to put emphasis )@|@eva@
@( when you have) reached/obtained@|@saMpraapte@
@(1 ap) to be ashamed@|@lajjyate@
@(1 ap) to bear@|@sahate@
@(1 ap) to beg@|@yaachate@
@(1 ap) to begin@|@rabhate@
@(1 ap) to exist@|@vartate@
@(1 ap) to get@|@labhate@
@(1 ap) to grow@|@edhate, vardhate@
@(1 ap) to hurry@|@tvarate@
@(1 ap) to learn@|@shikshate@
@(1 ap) to like@|@rochate@
@(1 ap) to obstruct@|@baadhate@
@(1 ap) to plunge@|@gaahate@
@(1 ap) to praise@|@shlaaghate@
@(1 ap) to salute@|@vandate@
@(1 ap) to see@|@iikshate@
@(1 ap) to serve@|@sevate@
@(1 ap) to shake@|@kampate@
@(1 ap) to shine@|@kaashate@
@(1 ap) to smile@|@smayate@
@(1 ap) to speak@|@bhaashate@
@(1 ap) to taste@|@svaadate@
@(1 ap) to throb@|@spandate@
@(1 ap) to try@|@cheshhTate@
@(1 app) to attempt@|@yatate@
@(1 pp@|@paaThayati@
@(1 pp) to abandon@|@tyajati@
@(1 pp) to bite@|@dashati@
@(1 pp) to blame@|@nindati@
@(1 pp) to burn@|@dahati, oshhati@
@(1 pp) to carry@|@vahati@
@(1 pp) to cook@|@pachati@
@(1 pp) to cross@|@tarati@
@(1 pp) to cry@|@kroshati@
@(1 pp) to curse@|@shapati@
@(1 pp) to decay@|@kshayati@
@(1 pp) to deserve@|@arhati@
@(1 pp) to divide@|@bhajati@
@(1 pp) to draw@|@karshhati@
@(1 pp) to drink@|@pibati@
@(1 pp) to eat@|@khaadati@
@(1 pp) to fade@|@glaayati@
@(1 pp) to fall@|@patati@
@(1 pp) to flow@|@stravati@
@(1 pp) to follow@|@anukaroti@
@(1 pp) to glow@|@jvalati@
@(1 pp) to go@|@sarati@
@(1 pp) to grieve@|@shochati@
@(1 pp) to grow@|@rohati@
@(1 pp) to heat up@|@tapati@
@(1 pp) to melt@|@dravati@
@(1 pp) to move@|@charati@
@(1 pp) to mutter@|@japati@
@(1 pp) to play@|@kR^iDati@
@(1 pp) to praise@|@sha.Nsati@
@(1 pp) to protect@|@avati, rakshati@
@(1 pp) to reach@|@shrayati@
@(1 pp) to remember@|@smarati@
@(1 pp) to roam@|@aTati, bhramati@
@(1 pp) to sacrifice@|@yajati@
@(1 pp) to say@|@gadati@
@(1 pp) to sing@|@gaayati@
@(1 pp) to sit@|@siidati@
@(1 pp) to smell@|@jighrati@
@(1 pp) to sow@|@vapati@
@(1 pp) to speak@|@vadati@
@(1 pp) to stand@|@tishhThati@
@(1 pp) to stay@|@vasati@
@(1 pp) to swallow@|@grasate@
@(1 pp) to vomit@|@vamati@
@(1 pp) to worship@|@archati@
@(1 up) to dig@|@khanati@
@(10 ap) to consult@|@mantrayate@
@(10 pp) to control@|@niyantrayati@
@(10 pp) to request@|@arthayate@
@(10 pp) to wash@|@kshaalayati@
@(10 pp) to worship@|@pujayati@
@(10 up) to arrange@|@rachayati@
@(10 up) to beat@|@taaDayati@
@(10 up) to console@|@saantvayati@
@(10 up) to count@|@gaNayati@
@(10 up) to eat@|@bhakshayati@
@(10 up) to narrate@|@kathayate, kathayati@
@(10 up) to oppress@|@piiDayati@
@(10 up) to proclaim@|@ghoshhayati@
@(10 up) to protect@|@paalayati@
@(10 up) to punish@|@danDayati@
@(10 up) to steal@|@chorayati@
@(10 up) to think@|@chintayati@
@(10 up) to weigh@|@tolayati@
@(1ap) to rejoice@|@modate@
@(1pp) to laugh@|@hasati@
@(1pp) to take (away)@|@harati@
@(1pp) to walk@|@chalati@
@(2)bachelors@|@brahmachaariNau@
@(2)penance-doers@|@taapasau@
@(2pp) to sleep@|@svapati@
@(4 ap) to be born@|@jaayate@
@(4 ap) to fight@|@yudhyate@
@(4 ap) to think@|@manyate@
@(4 pp) to be angry@|@kupyati@
@(4 pp) to be glad@|@maadyati@
@(4 pp) to be hungry@|@kshudhyati@
@(4 pp) to be pleased@|@tushhyati@
@(4 pp) to be tired@|@shraamyati@
@(4 pp) to bind@|@nahyati@
@(4 pp) to covet@|@lubhyati@
@(4 pp) to dry@|@shushhyati@
@(4 pp) to embrace@|@kusyati@
@(4 pp) to faint@|@muhyati@
@(4 pp) to nourish@|@pushhyati@
@(4 pp) to perish@|@nashyati@
@(4 pp) to pierce@|@vishyati@
@(4 pp) to reach@|@sidhyati@
@(4 pp) to stop@|@shaamyati@
@(4 pp) to tame@|@daamyati@
@(4 pp) to throw@|@asyati@
@(4 pp) to tremble@|@kshubhyati@
@(5 pp) to be able@|@shaknoti@
@(5 pp) to hear@|@shruNoti@
@(5 pp) to listen@|@shR^iNoti@
@(6 ap) to die@|@mR^iyate@
@(6 pp) to anoint@|@limpati@
@(6 pp) to ask@|@pR^ichhati@
@(6 pp) to break@|@lumpati@
@(6 pp) to create@|@sR^ijati@
