@English@|@Scottish Gaelic@
@Author name@|@Reji Martin@
@Font@|@Arial\12\Arial\12@
@(+ dat & len) of  / off@|@de  (prep) dhe / dh' / dhe dh'@
@(indicates the opposite) 'in-' or 'un-'@|@mì- (pref. neg)@
@(will) come@|@thig   (irreg v)@
@... has a quandry (mainland Gaelic)@|@Trioblaid aig am/an ... (phr)@
@... per cent@|@... sa cheud@
@{faigh} Shall get.@|@gheibh (fut aff of irr v)@
@{of faigh} we would get@|@gheibheamaid (1st/pl/pst sub)@
@£ / quid / note (written)@|@not(a)  (m)  -ichean@
@a little while ago@|@o chionn ghoirid (phr)@
@a person@|@fear (m) fir  (fem = té-)@
@abbr of 'de' / also found as "a dh'"@|@a (prep)@
@Aberdeen@|@Obar Dheathain@
@Abernethy@|@Obar Neithich@
@abet / cheer / incite / kindle / rouse /stir /urge@|@brosnaich (v) -achadh@
@abide / live /remain /stay / reside@|@fuirich (v) -each -eachd@
@able to work / executive / powerful / mighty@|@gnìomh-chomasach (adj) -aiche@
@abode / accommodation / accomodation / quarters@|@aite-fuirich (m)@
@abominable / disgusting /horrid / loathsome /nasty@|@sgreataidh (adj) -e@
@aborigines@|@luchd-gnè-àite (m)@
@abounding in ale@|@leannach (adj) -adh@
@abounding with hairy caterpillars@|@bratagach (adj) -aiche@
@about@|@an cuairt (adv), gu timcheallach (adv)@
@about / around@|@mun cuairt (prep)@
@about / used where Eng. uses (pers pron)@|@deidhinn / mu dheidhinn (prep+@
@above@|@os cionn (prep + g)@
@abroad@|@thall thairis (phr)@
@abroad / overseas@|@thall thairis (adv)@
@absolutely@|@mòr-chuid (f)@
@absorb / lap / suck@|@sùgh (v) -adh@
@accept / have / receive / take@|@gabh  (v)  -ail@
@acceptable@|@furasta gabhail ris (adv phr)@
@access / path / walk / way@|@rathad (m) -aid -aidean@
@accord / assent / will / purpose@|@deòin (f) -e@
@according to@|@a-réir (prep), an rèir (prep)@
@according to  / in proportion to / proportion@|@réir (prep+gen) a / do rèir@
@accuracy / exactness / nicety / punctuality@|@pongalachd (f)@
@accurate / punctual / exact / concise / pointed@|@pongail (adj) -e@
@across / beyond / over@|@thar  (prep + gen) -is@
@act of arranging / setting in order@|@eagarachadh (m) - aidh@
@act of feeling / perceiving / attending@|@mothachadh (m) -aidh@
@act of seasoning with pepper or spices /irritating@|@peabrachadh (m) -aidh@
@act of settling / appointing / planning /arranging@|@suidheachadh (m) -aidh -an@
@act of teaching / instruction@|@teagaisg (gen sing of teagasg)@
@active / dexterous / nimble / swift@|@cliste (adj)@
@active / nimble / prompt / eager@|@èasgaidh (adj)@
@actress@|@bana-chleasaiche (f)@
@actually / indeed / genuine / serious / truly@|@da-rìribh (adv) da-rìreadh@
@acute accent@|@stràc gheur (f)@
@acute angle@|@geur-oisinn (f)@
@adage / phrase / proverb / by-word  / saw@|@gnàth-fhacal@
@adaptable / suitable / adequate / applicable / fit@|@freagarrach (adj) -aiche@
@address (postal)@|@seòladh (m) -aidhean@
@addressing person / thing / etc@|@a (part) beore nouns - voc@
@adjacent / near / close / exclusive@|@dlùth (adj + do/ri/air) dlùthe@
@adjective / epithet@|@buadhair (m) -ean@
@administration / management@|@rianachd (f)@
@administrator@|@rianaire (m) -ean@
@advance / attack / charge / inroad / onset / shock@|@ionnsaigh (f) -e -ean@
@adversity / danger / difficulty / emergency / hard@|@cruaidh-chàs (m)@
@advice@|@comhairle (f)@
@advice / council / caution@|@chomhairle (f)@
@affair / errand / job / thing / transaction@|@gnothach (m)@
@affectation / liking / regard / esteem / fondness@|@spèis (f)@
@affirm / assure /  confict / prove@|@dearbh (v) -adh@
@after / behind / wishing for / fond of@|@an déidh (prep) às déidh@
@after / on@|@an dèidh  (prep+gen)  às dèidh@
@after / on (an dèidh / as a dhèidh)@|@déidh (prep)@
@after all (adv phr)@|@an dèidh a h-uile rud (adv)@
@after all / at long last / eventually / finally@|@mu dheireadh thall (adv)@
@again / anew / afresh / 2nd time@|@a-rithist (adv)@
@against / in opposition@|@aghaidh (prep) (an aghaidh)@
@against / in opposition /@|@an aghaidh (prep)@
@age@|@aois (f) -e -ean@
@age / oldness / eldest@|@sìne (f)@
@age / time / duration / period@|@ùine (f) / ùineachan@
@aged / old / elderly / stale / former@|@sean[n] (adj) sine@
@aggrievance / crime / damage / injustice / wrong@|@eucoir (f)@
@aggrieve@|@eucoirich (v)@
@ago / back / fro@|@ais (adv)@
@agree / concede / concur / unite / consent@|@aontaich (v) -achadh@
@agree with / please / suit / on good terms with@|@còrd (v) -adh@
@agreement / agreeing / congruence@|@còrdadh (m) -aidh@
@ahead / first@|@air thoiseach (adv)@
@aid /resource / facility / apparatus / convenience@|@goireas (m) eis -an@
@ailing / sick / ill / exhausted@|@tinn (adj)@
@aim / destination / gaol / objective / terminus@|@ceann-uidhe (m)@
@airplane / aeroplane@|@itealan (m)@
@alcohol@|@deoch làidir (f)@
@ale / beer@|@leann (m) -a -tan@
@alertness / care / caution / discretion / watchful@|@faiccall   (f)  -ill@
@alien / foreigner / stranger@|@coigreach (m) -ich@
@alive / active / alert / lively / fervent /zealous@|@beòthail (adj) -e@
@alive / quick / living / sprightly@|@beò (adj)@
@all / every / whole / entire / total@|@uile (adj)@
@all day@|@fad an là (phr)@
@all over / length / during / throughout@|@feadh (m)@
@allow / grant / permit / license / let@|@ceadaich (v) -achadh (+do)@
@almost@|@ach beag, cha mhór nach (phr), ionns (adv), is beag nach (adv)@
@along with / in company with / as well as@|@còmhla ri (prep)@
@along with / with / as well as@|@cuide ri (prep)@
@alphabet@|@aibidil (f) -ean@
@already@|@mu tràth (adv)@
@alright / comfortable / well-off@|@dòigheil (adj) -e@
@also@|@cuideachd (adv)@
@also / likewise / too@|@mar an ceudna (adv.phr)@
@altogether@|@còmhla ri chèile (adv phr)@
@altogether / completely@|@gu léir (adv)@
@always / at every time@|@'s gach àm@
@always / continual / habitually / incessant@|@daonnan (adv)@
@amazed@|@fo iongnadh@
