@English@|@Selkup@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of aquatic bird@|@pagé, pake, pakke, pakké@
@a k. of arrow@|@makka@
@a k. of bird@|@kaasera, qäsera@
@a k. of fir-tree@|@njulg, njulga, njulge, njülgê, nölg@
@a k. of fish@|@tüt, tutä, tüti, tutto@
@a k. of grass@|@njudš, njúds, njúdš, njuudš@
@a k. of insect@|@unddsa, unddse, undš, úndš, undsa, undse, undšê@
@a k. of lily@|@togil@
@a k. of marten@|@puch, puche, putco, puttso, puüc@
@a k. of metal@|@keezä, kezi, kwez, kwezi@
@a k. of salmon@|@muendš, wanch, wanche, wuendš@
@a k. of small fish@|@kâasa, kaha@
@a k. of trout@|@kaamià, kaámia, káamia, kaawia, kaawìa@
@a k. of wild duck@|@kueche, kuetj, kuettjä, pür, pur-kuldšá, püria@
@a k. of wild duck (1)@|@kodje, kuech@
@a k. of willow@|@pê, pêê@
@a loft on a pole@|@nïlo@
@a small bird@|@chïchi, chichik, chichika, šyndjáka, syndjeka, šynšéka@
@a small fish@|@koor, kór, kuor@
@an elder relative@|@qotia@
@animal's stomach@|@pärki, pärq, pärqe@
@annual ring on a tree@|@ty@
@ant@|@ketcá, kïcha, qëcha, qïta@
@armpit@|@qaali, qälän@
@arrow@|@qaasä-nï@
@asp@|@pï, pii, piikko@
@axe@|@pedš, pïchi, pitje, pittje@
@back@|@mog, mok, mokal, päran-, qott, qottä@
@back part@|@pün, püt, puun, püun, puut@
@bark@|@kóp, kópe, koppa, qop@
@basket@|@kormdše, korndše, korndšè, koromdšä@
@bast@|@kaas, qaas, qas, qase@
@bay@|@kêl, köl, kuel@
@be attached@|@tjokuatpa, tokal-, tokkal-, tokkalti-, tokuatpa@
@be burnt@|@kuura-, kuurra-@
@beam@|@chöch, chuodše, coods tötä, coodsa, coodse, toote@
@behind@|@tâ, tä, taa-, tag, tagan, tak, takkan, takt, tân@
@behind (1)@|@taa, tae, taekti, täkti@
@belt@|@tüu@
@bend@|@sit@
@berry@|@palgok, pälgók, palgong, pälgong, palkoq, palqoq@
@big@|@innê, inno@
@birch@|@kä, käa, koä, köe, kwäa@
@birch bark@|@tjye, tö, too, twé, tye@
@birdcherry@|@cheem, tew, tjeuwa@
@blink@|@kâ.nja-, kaaja-, kaanja-, qaaj-@
@blood@|@ker@
@blueberry@|@köd, kötta, kótte@
@body@|@maga-@
@boil@|@piri-@
@bone@|@le, lë, lî, lï@
@bow@|@ê.nddä, ê.ndde, ênd, ênddä, ênddo, indo, îndo@
