@English@|@Serbian@
@Author name@|@Marko Cvejic@
@Font@|@Arial\12\Arial\12@
@a@|@jedan, neki@
@a priori@|@aprioran@
@a.d.@|@anno domini@
@aback@|@natrag, nazad@
@abandon@|@napustiti, odreći se, okanuti se, ostaviti, raskalašnost, razuzdanost@
@abandoned@|@napušten, ostavljen, ozloglašen, raskalašan, raspušten@
@abandonment@|@napuštanje, napuštenost, neusiljenost, odustajanje od@
@abase@|@poniziti, uniziti@
@abash@|@zbuniti@
@abate@|@jenjavati, opadati (voda), otupiti oštricu, smanjiti, sniziti, ukinuti, utišati@
@abatement@|@sniženje, ublaženje, ukidanje, umanjenje@
@abattoir@|@klanica@
@abbacy@|@opatstvo@
@abbey@|@manastir, opatija@
@abbot@|@opat@
@abbreviate@|@skratiti@
@abbreviation@|@abrevijatura, skraćenje@
@abc@|@abeceda, azbuka, osnova, temelji@
@abc-book@|@bukvar@
@abdicate@|@abdicirati, dati ostavku, odreći se@
@abdication@|@abdikacija@
@abdomen@|@trbušna duplja, zadak u kukaca@
@abdominal@|@trbušni@
@abduct@|@odvoditi, oteti, otimati silom@
@abduction@|@otmica@
@abductor@|@otimač@
@abeam@|@popreko (naut.)@
@abecedarian@|@početnik, rudimentarni@
@aberrance@|@nenormalnost, odstupanje@
@aberration@|@skretanje, zastranjivanje@
@abet@|@nagovoriti, podstaći@
@abetment@|@nagovaranje, podsticanje@
@abettor@|@podstrekač, saučesnik@
@abeyance@|@privatno ukinuće, privremena neaktivnost@
@abhor@|@gaditi se, mrzeti@
@abhorrence@|@gađenje@
@abide@|@boraviti, čekati, ostati veran, prebivati, pridržavati se, trpeti, živeti@
@ability@|@darovitost, moć, platežna sposbnost, pravna sposobnost@
@abject@|@kukavan, očajan, ponizan, ponižen, prezren@
@abjure@|@odreći se, odustati@
@ablative@|@gram. ablativ@
@ablaze@|@u plamenu, u vatri, uzbuđen@
@able@|@obdaren, sposoban, vešt@
@able-bodied@|@snažan@
@ablution@|@ispiranje, pranje ritualno@
@ably@|@spretno, vešto@
@abnormal@|@nenormalan, nepravilan, patološki@
@aboard@|@celom dužinom, na brodu, na palubi, na palubu, uzduž@
@aboardal@|@ukrcan@
@abode@|@prebivalište, stan@
@abolish@|@ukinuti@
@abolition@|@obustava, poništenje, ukidanje@
@a-bomb@|@atomska bomba@
@abominable@|@gnusan, odbijajući@
@abomination@|@odvratnost@
@aboriginal@|@iskonski, prastari, prvobitni, prvobitni, starosedelac, urođenički@
@abort@|@abortirati, pobaciti@
@abortion@|@pobačaj, prekid trudnoće@
@abortive@|@neuspeo, prevremen, zaostao@
@abound@|@obilovati, vrveti@
@about@|@blizu, nedaleko, negde na, negde u, o, oko, okolo, okolo, pri sebi, približno, sa sobom, što se tiče, u blizini, u krugu, u okolini, u pogledu@
@above@|@iznad, nad, ne dalje nego, preko, više, više od@
@above-all@|@glavno, više svega@
@abrasion@|@abrazija, izoštrenost, trenje, trošenje stena, zguljivanje@
@abrasive@|@koji se brusi@
@abreast@|@na istom nivou, u istoj liniji, u istom redu, uporedo@
@abridge@|@lišiti, ograničiti, skratiti, zbiti@
@abridgement@|@izvod, ograničenje, skraćeni pregled, skraćenje@
@abroad@|@iza granice, na sve strane, napolje, široko, spolja, u tuđini, u zabludi, van kuće, za granicom@
@abrogate@|@ukinuti (zakon)@
