@English@|@Sesotho@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1 000 000@|@milione@
@3D effects@|@diphello tsa 3D@
@3D shading@|@mothalo wa 3D@
@3d view@|@pono ya 3d@
@4.000@|@dikete tse nne@
@A doctor is taught medicine@|@Ngaka e rutwa wa dihlare@
@a little@|@hanyenyane@
@A lot@|@haholo@
@A road for travellers@|@Tsela sa baeti@
@A saw in a black forest?@|@Saga morung o motsho?@
@a Sesotho speaking person@|@mosotho@
@A tall white man?@|@Monna e molelele e mosweu?@
@A tree is known by its fruit@|@Sefate se tsejwa ka ditholwana@
@aardwolf@|@dithikgwi, thikgwi@
@aasvoëlberg@|@matlakeng@
@Aasvoëlberg mountain@|@Matlakeng@
@abacus@|@mmadibolwana@
@abandon@|@lahla, ngala, nyahlatsa, tlohela, tlohela@
@abate@|@kokobela@
@abattoir@|@dilagapala, selagapala@
@abdomen@|@dimpa, mpa@
@abduct@|@kwetela@
@ability@|@bokgoni@
@able@|@kgona@
@abnormal@|@sa tlwaelehang@
@abode@|@bodulo, madulo@
@abolish@|@fedisa@
@aboriginal@|@motala@
@abort@|@nyopisa@
@abortion@|@dinyopiso, ho ntsha mpa, nyopiso@
@abortive@|@nyopileng@
@about@|@mabapi@
@above@|@hodimo@
@abroad@|@mose@
@absence@|@bosiyo@
@absent minded@|@bua ka pelo@
@absolute pronoun@|@leemediqho, maemediqho@
@absolutely@|@ho hang@
@absorb@|@monya@
@abstract@|@kakaretso, sa bonweng@
@absurd@|@hloka kelello@
@abundance@|@nala@
@abuse@|@ditlatlapo, tlatlapa, tlatlapo, tshebediso e fosahetseng@
@acacia@|@leoka, maoka@
@academy@|@akhademi, diakhademi@
@accelarate@|@phakisa@
@accelerate@|@akofisa@
@accelerator@|@seakofisi@
@accelerator pedal@|@senyolla lebelo@
@accent@|@ditokodiso, tokodiso@
@accept@|@amohela@
@acceptable@|@amoheleha@
@acceptance@|@dikamohelo, kamohelo@
@accepted@|@amohetse@
@access rights@|@ditokelo tsa ho kena@
@accident@|@dikotsi, kotsi@
@accidental@|@ka tshohanyetso@
@accidents@|@dikotsi@
@acclaim@|@ditlatse@
@acclimatise@|@tlwaetsa@
@accompany@|@felahetsa@
@accomplice@|@batlatsi, motlatsi@
@accomplish@|@phetha@
@accordion@|@dikoriana, koriana@
@account@|@akhaonte, diakhaonte@
@accountant@|@akhaontente, diakhaontente@
@accounting@|@thutatshupatlotlo@
@accuracy@|@nepo@
@accurate@|@nepahetseng@
@accusation@|@diqoso, qoso@
@accuse@|@qosa@
