@English@|@Shimaore@
@Author name@|@Renato B. Figueiredo / Didier Cornice@
@Font@|@Arial\12\Arial\12@
@1st month of the calendar@|@mouharram ashura@
@1st prayer@|@alfadjiri@
@3rd prayer@|@alasiri@
@5th prayer@|@Alesha@
@a car@|@gari@
@a child@|@mwana@
@a corner@|@kotso@
@a cyclone@|@daruba@
@a few@|@mwana pavi@
@a hair@|@dzivuzi, mavuzi@
@a hand@|@muhono@
@a kind of fish@|@kawa@
@a long time ago@|@ina hauls@
@A such@|@Fulani@
@a work@|@hazi@
@ablutions@|@udhu@
@about@|@harimwa, mikabala, Mkabala@
@About@|@Kadira@
@above@|@uju@
@Abrupt love@|@Ãshiki@
@accident@|@adjali@
@account@|@hisabu@
@ace@|@re@
@achards@|@tshari@
@Adept@|@Muridi@
@adolescence@|@ushab'ab'i@
@adultery@|@uzina@
@advanced flirtation@|@gurua@
@advantages@|@manufa@
@advice@|@nyasiya, waswiya@
@Advice@|@Shuwara@
@african@|@wamrima@
@African@|@mmrima@
@after@|@isa, nyuma@
@After@|@Baãda@
@afternoon@|@mitsana, mutsana@
@after-shave@|@marashi ya ndrevu@
@again@|@razes, tsena, tsena@
@age@|@umri@
@age group@|@bea, hirimu@
@Age Groups@|@Mabea@
@aged@|@muhuu@
@Agitation@|@Dahasha@
@aids@|@sida@
@air@|@hawa@
@alcohol@|@ushi@
@all@|@piya@
@All goes well?@|@Trongo za ndjema?@
@Alms@|@Fidia, Zaka@
@already@|@madza@
@also@|@wajau@
@although@|@walakini@
@always@|@Daima@
@among@|@mengoni@
@Amulet@|@Hirizi@
@and I came@|@tsiloja@
@and I made@|@tsilofanya@
@and I went@|@tsiloendra@
@and she made@|@alofanya@
@And the bad herbs pushed@|@Na ikwehe yahedza@
@And the brilliant sun@|@Na lijua larema@
@And the cultures took place@|@Na drima yangia@
@And then the budding rice@|@Basi mingles yavahara@
@and they made@|@walofanya@
@and they went@|@waloendra@
@and we came@|@riloja@
@and we made@|@rilofanya@
@and we went@|@riloendra@
@and you came@|@muloja, uloja@
@and you made@|@mulofanya, ulofanya@
@and you went@|@muloendra, uloendra@
@angel@|@malaika@
@anger@|@hasira@
@Anger@|@Hasera@
@animal@|@shinyama, zinyama@
@animals@|@zinyama@
@anjouanais (language)@|@shindzuani@
@ankle@|@dzitso la pwedza@
@answer@|@-djibu, djawabu@
@ant@|@tsutsuhu@
@any@|@Kadha@
@anybody home?@|@hodi?@
@ape@|@madjakwe@
@apple@|@pomu@
@Appropriate thing@|@Mwafaka, Mwafaka@
@April@|@Avrili@
@apron of game made of wood@|@bao@
@Arab@|@Arabu@
@Arabia@|@Arab'u@
@arabic@|@sharabu, warabu@
@Arabic@|@mwarabu@
@Arabic (language)@|@sharab'u@
@archipelago@|@masiwa@
@are you healthy?@|@Navuzaho?@
@Are you well?@|@Wa fetre?@
@areca@|@mimuvovoo, muvovoo@
@Argument@|@Hudya@
@armchair@|@foteyi@
@armed@|@djeshi, madjeshi@
@armpit@|@kapwa, makapwa@
@arrived to maturity@|@Vanu yaja yaiva@
@arrowroot@|@jimbi, majimbi@
@artful@|@Mudjandja, nahila@
@as@|@wajau@
@as the whites@|@shizungu@
@as usual@|@ha kawaida@
@ask@|@-dzisa@
@assists@|@nukta@
@association@|@shama, zama@
@asthma@|@mpofu, pofu@
@Astonishing thing@|@Adjabu@
@at home@|@dagoni, dzahe, dzaho, dzangu, dzanyu, dzatru, dzawo, hahe, haho, hangu, hangu, hangu, hanyu, hanyu, hawo@
@at the present time@|@wakati ukao@
@atmosphere@|@hawa@
@Attention@|@djitihadi@
@attention!@|@fahamu !@
@aubergine@|@bengani, mabengani@
@aubergine in coconut@|@bilingani ya nadzi@
@Audacious person@|@Ãfiriti@
@August@|@Utu@
@aunt@|@mamabole, mamatiti, mamatiti, mangivavi, mazena, ngivavi, wamamabole, wamamatiti, zena@
@aunt (1)@|@mazena@
@availability@|@Nafasi@
@avocado@|@zavuka@
@avocado tree@|@misavuka, mzavuka@
@axe@|@-rema soha, soha@
@baby@|@mwana zaza, wana zaza@
@Baby's clothes@|@Nguo za mwana zaza@
@baby's feeding bottle@|@bibiro@
@bachelor@|@mtsumba, mutsumba, wamtsumba, watsumba@
@back@|@mengo@
@backbone@|@mba wa mengo@
@bad@|@- ovu, bi, bovu, mbi, mbovu, nai, nai@
@Badly@|@Nayi@
@baffle@|@bafu@
@bag@|@mikoba, mukoba (mi-), saki@
@bag of jute@|@guni, maguni@
@baggage@|@midzo, mudzo@
@bake cakes@|@ufanya mihare@
@Balance@|@Mizani@
@bamboo tree@|@mbambu, mivambu@
@banana tree@|@marindri, trindri@
@band aid@|@bandi@
@bangle@|@bangili@
@banquet@|@karamu@
@baobab@|@mbuyu, mivuyu@
@baobab fruit@|@buyu@
@barbecue@|@vule@
@barge@|@barji@
@barracuda@|@mhudana@
@barrette@|@bareti@
@barrier reef@|@mwambani@
@basil@|@m'kadi, mikadi@
@basin@|@kuveti, makuveti@
@basket made of coconut@|@shirumba, zirumba@
@bat@|@dremela, ndrema@
@bath@|@-hoa, uhoa@
@bath tub@|@benwari@
@be elegant@|@ustawi@
@be hungry@|@uona ndza@
@be late@|@-homa@
@be punished@|@-fungwa@
@be the lead singer@|@uhedza deba@
@be thirsty@|@uona nyora@
@beach@|@mitsanga, mutsanga, mutsangani@
@Beacon@|@Munara@
@beans@|@kundre@
@beard@|@ndrevu@
@beat the drum@|@ubiha ngoma@
@beauty@|@ustawi, uzuri@
@Beauty@|@Ustawi@
@beauty mask@|@komba, mahomba@
@because@|@mana@
@because of@|@ha sibabu ya, ha swabu ya, maana ya@
@bed@|@shitrandra, zitrandra@
@bed flee@|@umba@
@bed sheet@|@dara@
@bedsheet@|@dara@
@bee@|@nyoshi@
@beef curry@|@mtsuzi wa nyombe@
@beef tripe@|@marumbo@
@before@|@kabla@
@Before@|@Kabula@
@behavior@|@tabia@
@below@|@utsini@
@belt@|@mkandra (mi-)@
@belt for women@|@mkandra wa mutru-mama@
@better@|@bora, bora, borwa@
@Better@|@Hairi@
@between@|@Baina@
@Between@|@Karibu@
@bib@|@bavwari@
@big@|@bole@
@big earth@|@nyambodole@
@big sister@|@mazuki, zuki@
@billy goat@|@bewe, mabewe@
@biology@|@musomo wa maesha na dunia@
@bird@|@nyunyi@
@birds@|@nyuny@
@black@|@du, ndzidu, ndzilu@
@blessing@|@baraka@
@Blessing@|@Radhi@
@blind@|@mufumatso, wamufumatso@
@blood@|@damu@
@blows@|@ndzi@
@blue@|@bile@
@blue whale@|@ndruju bile@
@board@|@bao, mabao, upashia@
@boaster@|@mudjisifu, wadjisifu@
@boastfulness@|@upwari@
@boat@|@markabu@
@body@|@mili, mwili@
@boil@|@shiwi, urohora, ziwi@
@boiled plantain@|@batabata@
@bone@|@mibwa, mubwa@
@bonite@|@pwere@
@book@|@buku, mabuku, shio, zio, zishio@
@book of account@|@Daftari@
@Book reading@|@Kurasa@
@boot@|@magoshi ya mutru-mama@
@border@|@mipaka, mupaka@
@bottle@|@bibiro@
@bottle thermos@|@tirmosi@
@bottom@|@ndzu@
@Boutique@|@Dukani@
@boutre@|@djahazi@
@bowels@|@marumbo@
@bowl@|@bakuli, mabakuli@
@boxer shorts@|@boksera, kaliso@
@boy@|@mwana mtru-baba, mwana mtru-mme@
@boys' room@|@fuko la mtru-baba@
@bra@|@kantshiri@
@Bracing drink for the women@|@Fuka@
@brain@|@maongo, wongo@
@bread@|@dipe@
@bread fruit@|@frampe@
@bread fruit fries@|@frampe la viswa@
@bread-fruit tree@|@mimuframpe, muframpe@
@break@|@-menya@
@breast@|@bele, mabele, mbele@
@breath@|@pumu@
@breathing@|@mpumu@
@breeze block@|@parape@
@bride@|@bibi arusi, musharusi@
@bridegroom@|@bwana arusi, marusi@
@bridge@|@daradja@
@bring@|@-vinga@
@broom@|@maveo, peo@
@brother@|@mwanananya mtru-baba, mwananya, wananya, zuki@
@brother (1)@|@mwananya mutru-ba?a, wananya watru-baba@
@brother cadet of the father@|@abatiti (wa -)@
@brother-in-law@|@bamuhe, valahi, wbamuhe@
@brown@|@nye, shokola, trotro@
@brown powder@|@tamtamu@
@bruise@|@bile@
@brush@|@brosi@
@bug@|@bibi, mabibi@
@building@|@jumba, majumba@
@bull@|@kondzo, mahondzo@
@bullock's heart@|@konokono roho ya nyombe@
@Bump of the prayer@|@Wadjih@
@business@|@shitru@
@Business@|@Shuguli@
@but@|@be, lakini@
@but lets!@|@lisha saa!@
@butter@|@ghee, samuli@
@butterfly@|@pelapelaka@
@butters@|@samuli@
@buttock@|@mivumo, muvumo@
@buttocks@|@mivumo, muvumo@
@buy@|@-nunua@
@buy instruments@|@ununua zombo@
@by luck@|@hab ahati ndjema@
@by means of@|@ha@
@by misfortune@|@hab ahati mbovu@
@cabbage@|@lushu@
@cadaver@|@maiti@
@cake@|@gato, magato@
