@English@|@Shor@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of bird@|@kergen, pajoq@
@a k. of musical@|@qobus@
@a k. of plant@|@ozyj, yzy@
@a little@|@as@
@a man's wife's younger sister@|@pasty@
@a pinch@|@šimchik@
@acacia@|@qarahan@
@after@|@sö, sön@
@age@|@chylhy@
@alive@|@tirig@
@an ending of the 2d person@|@-ng@
@anger@|@ökpe@
@ant@|@qumystaš, qymyrtaš@
@archness@|@tögün@
@area covered with stones@|@saj@
@arm@|@qary, qol@
@arrow@|@oq@
@arrow head@|@sohan@
@as well@|@paza@
@ashes@|@kül@
@at once@|@am-oq@
@aunt@|@aba-eche, abiche@
@autumn@|@küs@
@awl@|@pis@
@axe@|@malta@
@back@|@arha@
@bad weather@|@chut@
@badger@|@porsuq@
@bald@|@tas@
@barren cow@|@qyzyr@
@bear@|@apšaq@
@bell@|@qongrä@
@belly@|@qarny@
@big vessel@|@šapchaq@
@birch bark@|@tos@
@birch tree@|@qazyng@
@bird-cherry@|@nybyrt@
@black@|@qara@
@black-cock@|@kürtük@
@bladder@|@qöq@
@blood@|@qan@
@blue@|@kök@
@boat@|@kebe@
@body@|@syn@
@bone@|@sök@
@bosom@|@qojyn@
@boundary@|@adys@
@bow@|@nan@
@bow string@|@kiriš@
@brain@|@mï-s@
@branch@|@šymyq@
@brave@|@alyp@
@brave man@|@chinget@
@bread@|@itpäk@
@breast@|@kögüs, töš@
@bull@|@puha@
@bundle@|@šu@
@burbot@|@qortu@
@bush@|@šet@
@butterfly@|@xopax@
@calf@|@puza@
@calf of leg@|@paltyr@
@camping-site@|@churt@
@cap@|@pörük@
@caress@|@sïba-, syba-@
@carry on back@|@arta-@
@cartilage@|@kechirtke@
@castoreum@|@qajyr@
@cedar@|@jürgek@
@cedar cone@|@torum@
@cheek@|@näq@
@child@|@pala@
@chipmunk@|@sahyl@
@claw@|@tyrhaq@
@cloud@|@pulut@
@club-footed@|@majryq@
@cockered@|@erke@
@cold@|@söq@
@come out@|@šyq-@
@community@|@toj@
@complete@|@tujuq@
@copper@|@ches@
@courage@|@chürek@
@cover@|@qabaq@
@cow@|@inek, näk@
@craftsman@|@us@
@cranberry@|@torbas chestegi@
@cross-roads@|@peltir@
@crow@|@qarha@
@cruel@|@qazyr@
@crush@|@soq-@
@cry@|@qyšyr-, ylha-@
@cunning@|@chöj@
@daughter-in-law@|@kelin@
@deep@|@tereng@
@deep snow@|@kürt@
@deer@|@sýn@
@demon@|@chek@
@destroy@|@puza-@
@disappear@|@yšqyn-@
