@English@|@Slovenian@
@Author name@|@Stan Sraka@
@Font@|@Arial\12\Arial\12@
@(eg. 5 ur hoje - 5 hours of walking)@|@hoja@
@(high voltage)@|@napetost (visoka napetost)@
@(infinitive)@|@-či, -ti@
@(to..) pardon (to..)@|@oprostiti@
@(to..) question (to..)@|@vprašati@
@(to...) disconnect (to...)@|@izklopiti@
@.. not service station)@|@garaža@
@0@|@nič@
@10@|@deset@
@100@|@sto@
@1000@|@tisoč@
@1000000@|@milijon@
@11@|@enajst@
@12@|@dvanajst@
@13@|@trinajst@
@14@|@štirinajst@
@15@|@petnajst@
@16@|@šestnajst@
@17@|@sedemnajst@
@18@|@osemnajst@
@19@|@devetnajst@
@2@|@dva@
@20@|@dvajset@
@21@|@enaindvajset@
@3@|@tri@
@3 prong connector@|@3 polni konektor@
@3 speed automatic@|@tristopenjski avtomatik@
@30@|@trideset@
@4@|@štiri@
@4 cylinder inline@|@4 valji v vrsti@
@40@|@štirideset@
@5@|@pet@
@5 speed transmission@|@petstopenjski menjalnik@
@50@|@petdeset@
@6@|@šest@
@60@|@šestdeset@
@7@|@sedem@
@70@|@sedemdeset@
@8@|@osem@
@9@|@devet@
@90@|@devetdeset@
@a bargain@|@ugoden@
@a great distance@|@daleč@
@a little@|@malo@
@a lot@|@mnogo, precej, veliko@
@a man's..@|@moški@
@a take@|@povzetek@
@abdomin@|@trebuh@
@aboard@|@na krovu@
@abominable@|@ogaben@
@abonnement@|@abonma@
@about@|@o, okoli, približno@
@above@|@zgoraj@
@above all (things)@|@predvsem@
@abroad@|@tujina@
@abrubt@|@strm@
@ac current@|@izmenični tok@
@acceleration@|@pospešek@
@accent@|@naglas, poudarek@
@accept (to..)@|@sprejeti@
@accessibility@|@dostop@
@accessible@|@dostopen@
@accessories@|@pripomočki@
@accessory@|@pripomoček@
@accident@|@nesreča@
@accomodation@|@prenočišče@
@accomodation (s)@|@nastanitev@
@accompaniment (music)@|@spremljava@
@accord@|@dogovor@
@accordance@|@soglasje@
@accordance ...in ..with@|@skladen@
@accordion@|@harmonika@
@accountant@|@knjigovodja@
@accountant (f)@|@računovodkinja, računovodkinja@
@accountant (m)@|@računovodja@
@accuracy@|@natančnost@
@accusative@|@tožilnik@
@achievement@|@dosežek@
@acquirement@|@pridobitev@
@across from@|@nasproti@
@act@|@dejanje@
@act (to...)@|@igrati@
@active matrix@|@aktivna matrika@
@activity@|@aktivnost, dejanje, dejavnost@
@actor@|@igralec@
@actrice@|@igralka@
@adapt (v)@|@prilagoditi, prilagoditi se@
@adaptable@|@prilagodljiv@
@add@|@dodati@
@add up to (v)@|@znašati@
@addition@|@dodatek@
@additional@|@dodaten@
@address@|@naslov@
@address book@|@imenik@
@address book (pc)@|@adresar@
@address in the familiar form (to..)@|@tikati@
@addressing using the polite form of 'you'@|@vikati@
@adequately@|@primerno@
@adjust (v)@|@prilagoditi, uravnavati@
@adjustable dash lighting@|@nastav. osvet armaturne plošče@
@administration@|@administracija, uprava@
@admit@|@priznati@
@adopt (v)@|@privzeti@
@adult@|@odrasel@
@advance party (army)@|@predhodnica@
@advanced@|@napreden@
@advancement@|@napredek@
@advent@|@nastanek@
@advertisement@|@oglas, razpis, reklama@
@advice@|@nasvet@
@advise (to..)@|@svetovati@
@advocate@|@advokat, odvetnik@
@after@|@po, za@
@after (colloq-lju)@|@pol@
@afternoon@|@popoldan@
@again@|@še, spet, spet, znova, zopet@
@against@|@proti, zoper@
@agency@|@agencija, organ@
@agile@|@okreten@
@agreable@|@prijeten@
@agree with (to..)@|@prijati, strinjati se@
@agreement@|@dogovor, sporazum@
@agression@|@agresija@
@ahead@|@naprej@
@aid@|@pomoč@
@air@|@napev, zrak@
@air brake@|@pnevmatična zavora@
@air filter@|@zračni filter@
@aircraft@|@letalo@
@aire@|@vzduh@
@airplane@|@letalo@
@airport@|@aerodrom, letališče@
@alarm clock@|@budilka@
@Albania@|@Albanija@
@albeit@|@naj bo...@
@albeit for his own pleasure@|@naj bo za lastno zabavo@
@alcohol@|@alkohol@
@alcoholic@|@alkoholik@
@alive@|@živ@
@all@|@cel, ves, vse@
@all (f)@|@vsa@
@all at once@|@nenadoma@
@all week@|@ves teden@
@allow (to..)@|@dovoliti@
@allow (v)@|@dopuščati@
@allow me to introduce..(pol.frm)@|@naj vam predstavim@
@allow me to introduce.....@|@naj ti predstavim@
@allowance@|@žepnina@
@allowed ( or to be..)@|@smeti@
@allows@|@dopušča@
@almost@|@skoraj@
@alone@|@sam@
@alphabet@|@abeceda@
@alpine skiing@|@alpsko smučanje@
@already@|@že@
@also@|@tudi@
@altar boy@|@ministrant@
@altar girl@|@ministrantka@
@alternator@|@alternator@
@although@|@čeprav@
@always@|@vedno, zmeraj@
@America@|@Amerika@
@American (female)@|@Američanka@
@American (male)@|@Američan@
@amicable@|@prijazen@
@amount@|@vsota@
@amount to (v)@|@znašati, znesti@
@ampere@|@amper@
@amplification@|@ozvočenje@
@amplify (v)@|@ojačiti, ozvočiti@
@amplitude modulation@|@amplitudna modulacija@
@amuse (v)@|@razvedriti@
@and@|@in, pa@
@anew@|@spet, znova, zopet@
@anger@|@jeza@
@angle@|@kot@
@angled@|@poševno@
@animal@|@žival@
@animal droppings@|@živalski iztrebki@
@animal park@|@živalski vrt@
@Ankara@|@Ankara@
@ankle@|@gleženj@
@announcement@|@obvestilo@
@annual@|@letni@
@annuals@|@enoletnice@
@anode (elec)@|@anoda (elek)@
@answer@|@odgovor@
@answer (to..)@|@odgovoriti@
@answer (v)@|@ustrezati@
@ant@|@mravlja@
@ant hill@|@mravljišče@
@antagonism@|@nasprotovanje@
@antenna@|@antena@
@anti glare mirror@|@ogledalo s priklop. prot blešč@
@antibiotic@|@antibiotik@
@any@|@poljuben@
@anything@|@karkoli@
@anyway@|@vsekakor@
@anyways@|@vseeno@
@apartment@|@apartma, stanovanje@
@apartment building@|@blok@
@ape@|@opica@
@ape (coloq)@|@afna@
@apologize (to..)@|@opravičiti se@
@apparant@|@navidezen@
@appeal@|@pritožba@
@appearance@|@nastop, videz@
@appease (v)@|@nasititi@
@appetizers@|@predjed@
@applaude (to..)@|@ploskati@
@apple@|@jabolko@
@apple tree@|@jablana@
@application@|@obrazec, prošnja@
@appraisal@|@ocena@
@approach@|@dostop@
@approach (v)@|@približati se@
@approaching (is) (v)@|@bližati se@
@appropriate@|@pristojen@
@approval@|@odobritev@
@approved@|@opravičen@
@approximately@|@približno@
@apricot@|@marelica@
@april@|@april@
@arbitrary@|@poljuben@
@arch (bow)@|@razpon@
@architect@|@arhitekt@
@area@|@področje@
@area (the..)@|@okolica@
@argument@|@utemeljitev@
@ark@|@barka@
@arm@|@roka@
@arm pit@|@pazduha@
@armchair@|@naslanjač@
@armoir@|@omara@
@army@|@vojaški, vojska@
@army term@|@vojaški rok@
@aromatic@|@dišeč@
@around@|@okoli@
@arrival@|@prihod@
@arrive (to..)@|@prispeti, priti@
@arriving (to be..)@|@prihajati@
@art@|@umetnost@
@arthritis@|@artritis@
@article@|@člen@
@artificial@|@umeten@
@artist@|@umetnik@
@artist (painter)@|@slikar@
@as@|@kakor, kot@
@as a result...@|@torej@
@as a rule@|@praviloma@
@as well@|@tudi@
@ascend (to...)@|@iti gori@
@ascend (v)@|@vzpeti@
@ascent@|@vzpon@
@ascertain (v)@|@ugotoviti@
@ash tray@|@pepelnik@
@ashes@|@pepel@
@ask@|@vprašati@
@ask a question (v)@|@zastaviti vprašanje@
@ask for (to..)@|@prositi@
@asparagus@|@beluš@
@asphalt@|@asfalt@
@aspirin@|@aspirin@
@ass@|@osel@
@ass (vulg)@|@rit@
@assemble (to..)@|@sestaviti@
@assembling@|@sestavljanje@
@assembly area (factory)@|@montaža@
@assembly line@|@tekoči trak@
@assert@|@uveljaviti@
@assess (v)@|@oceniti, ugotoviti@
@assessment@|@ocena, ocenjevanje@
@assign to (v)@|@dodeliti@
@assigned to@|@razporejen@
@assistance@|@pomoč@
@assistant (f)@|@asistentka@
@assistant (m)@|@asistent@
@association@|@pridruževanje@
@assume (v)@|@privzeti@
@assumption of duties@|@nastop@
@assure v.@|@zagotoviti@
@astrology@|@astrologija@
@astronaut@|@astronavt@
@at@|@ob, pri@
@at least@|@najmanj@
@at midnight@|@opolnoči@
@at noon@|@opoldne@
@at that time@|@takrat@
@at the bottom of (eg. mountain)@|@vznožje@
@at the embassy@|@na veleposlaništvu@
@at the helm@|@biti pri krmilu@
@at the same time@|@hkrati, istočasno@
@at the train station@|@na železniški postaji@
@atelier@|@delavnica@
@Athens@|@Atena@
@atmosphere@|@vzduh, vzdušje@
@attache case@|@aktovka@
@attached@|@priložen@
@attachment@|@priloga@
@attack@|@napad@
@attacker@|@napadalec@
@attend (school)@|@obiskovati@
@attention!@|@pozor!@
@attentive@|@pazljiv@
@attic@|@podstrešje@
@attract (v)@|@privlačiti@
@attractive@|@privlačen@
@attribute@|@lastnost@
@au revoir@|@na svidenje, nasvidenje@
@aubergine@|@melancana@
@audience@|@občinstvo, publika@
@audio@|@avdio@
@august@|@avgust@
@aunt@|@teta@
@Australia@|@Avstralija@
@Austria@|@Avstrija@
@Austrian (f)@|@Avstrijka@
@Austrian (m)@|@Avstrijec@
@author (f)@|@avtorica@
@author (m)@|@avtor@
@authority@|@organ@
@authorization@|@dovoljenje@
@authorize@|@dovoliti@
@authorized@|@pooblaščen@
@autobody@|@karoserija@
@automatic@|@avtomatičen@
@automobile@|@avto@
@autoroute@|@avtocesta@
@autumn@|@jesen@
@avantageous@|@ugoden@
@avenue@|@ulica@
@avoid (v)@|@izmikati se@
@avoid v.@|@izogibati@
@awake@|@buden@
@aware of (to be..)@|@vedeti@
@awkward position or state@|@zadrega@
@awning@|@nadstrešek@
@ax (e)@|@sekira@
@baby@|@dojenček@
@back@|@hrbet, nazaj@
@back rest (car)@|@naslonjalo (avto)@
@backbone@|@hrbtenica@
@backdrop@|@ozadje@
@background@|@ozadje@
@backpack@|@nahrbnik, nahrbtnik@
