@English@|@Spanish (Forestry)@
@Author name@|@Álvaro Vallejo@
@Font@|@Arial\12\Arial\12@
@(geographic information system)@|@SIG, (Sistema de Información Geográfica)@
@abstract (of a report)@|@compendio@
@accounting@|@contabilidad@
@acidity@|@acidez@
@acre (0.40 ha)@|@acre (0.40 ha)@
@actinomycetes@|@actinomicetos@
@add@|@sumar@
@additive genetic effect@|@componente genético aditivo, efecto genético aditivo@
@adjustable wrench@|@llave ajustable@
@adobe@|@bahareque@
@aerial fire spotter@|@vigilancia aérea@
@aerial ignition@|@ignición aérea@
@aerial photograph@|@fotografía aérea@
@agriculture@|@agronomía@
@agriculture (& animal husbandry)@|@agropecuaria@
@agro-forestry@|@agro-forestería@
@air dried@|@seco al aire, secado al aire@
@air dry@|@seco al aire, secado al aire@
@air layering@|@acodo@
@air-dried lumber@|@madera secada al aire@
@alder@|@aliso@
@alkaline@|@alcalino@
@allele@|@alelo@
@alligator@|@baba (V), babilla (C), caiman, lagarto@
@allowable cut@|@corte permisible@
@alluvium@|@aluvión@
@alpine forest@|@bosque alpino@
@alternate set (of saw teeth)@|@traba por triscado@
@altimeter@|@hipsómetro@
@ammonium@|@amonio, amónico@
@analysis of variance@|@análisis de varianza@
@anemometer@|@anemómetro@
@angiosperm@|@angiosperma@
@anions@|@aniones@
@annual cut@|@corte anual@
@annual rings@|@anillos de crecimiento@
@annual yield@|@rendimiento anual@
@ANOVA (analysis of variance)@|@ANVA (análisis de varianza)@
@ant@|@hormiga@
@antelope@|@antílope@
@aphid@|@áfido@
@appraisal@|@avalúo@
@arboretum@|@arboretum, arboreto@
@armadillo@|@armadillo, cachicamo (V)@
@articulated skidder@|@tractor articulado, de arrastre@
@ascending@|@ascendiendo@
@ascending order@|@orden ascendente@
@ascomycete@|@ascomiceto@
@ash (from burning)@|@ceniza@
@ash tree@|@fresno, urapán@
@aspen@|@álamo@
@assessment@|@evaluación@
@at@|@arroba (@@)@
