@English@|@Svan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3rd person pronoun@|@ma-@
@a circlet over the fence@|@girg-od-@
@a k. of cherry tree@|@cqaw-, cqew-@
@a k. of footwear@|@zhab-ir@
@a k. of pear@|@cher-šd-öl, cher-št-öl@
@a k. of plant@|@kic, pošdel-@
@a k. of wheat@|@maxar@
@a part of a grapes cluster@|@kwäpx@
@above@|@ži@
@accustom@|@nchq-@
@affirmative particle@|@chu@
@allergic rash on body@|@šdäm, šdom, šdöm@
@angry@|@chqr-@
@ant@|@märšk-, mäšk-@
@apple@|@usg, usgw, wisg, wisgw, wiskw@
@are@|@l-i-x@
@armpit@|@glia@
@arrange@|@cq-@
@arrive@|@h-, mh-, qäd-, qd-, qed-@
@arrow@|@cxwi@
@ash@|@dät, tät, täta@
@ashes@|@qwelp-@
@back of axe@|@qua, quwa@
@bad@|@dar-, dr-@
@badger@|@minchkw-@
@bald spot@|@pxik@
@bark@|@tep-@
@be late@|@gw-aw-@
@be mistaken@|@käd-, kd-@
@be quiet@|@ššw-, šuš-@
@be scared@|@pët-@
@bear@|@däšdw@
@beard@|@qab, wär-e, wer-e@
@beat@|@tqc-@
@beech@|@cipra-@
@bee-hive@|@gob, gweb@
@below@|@chu, le-kwa@
@belt@|@lá-rtq@
@besom@|@chächx, chechx@
@big@|@swr-il, xoša-@
@big stick@|@bizh@
@birch@|@žaqur, žaqw-ra, žaqwär, žaqwer@
@bitter@|@cätx@
@blackberry@|@muqw@
@bloat@|@ši-, šiw-@
@blood@|@zisx-@
@blow up@|@bël-@
@bone@|@zhizhw-@
@borther-in-law@|@chïže@
@bow-backed@|@gurzhäniël, rzh-@
@branches@|@archxal@
@break@|@gil-, gl-, qal-, ql-@
@breast@|@mächwed-, muchod-@
@breath@|@kun-, kwin-, kwn-@
@breathing@|@šwär@
@brood-hen@|@krox-@
@brother@|@zhämil, zhimil@
@brother-in-law@|@me-kwš-ël, me-kwš-ol@
@bull@|@usxw, usxwa@
@butterfly@|@pärpänd, pärpold@
@button of clothing@|@kwep@
@buzzing@|@bzül@
@calm@|@chkwim@
@cane@|@käp@
@castrate@|@chkwr-@
@cat@|@cicw@
@cave@|@kwaba-@
@chamois@|@jerskän, jersken, jerskn@
@cheek@|@gácha, gáchöl@
@cheese@|@qël-@
@child@|@sgej, ske@
@chin@|@kap-räj, ni-kp-a, ni-pk-a@
@chop@|@kap-, kch-@
@clay pan@|@kec-@
@clear sky@|@më-px-e@
@coal@|@šix@
@cobweb@|@bad, bäd@
