@English@|@Swahili@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a@|@katika, ndani ya@
@a lot of@|@ingi@
@aberration@|@kosa@
@able@|@enye akili@
@above@|@juu@
@abrasive@|@kali@
@abroad@|@nje, ugenini@
@absent@|@hako@
@absolute@|@kamili@
@Abyssinia@|@Habeshi@
@accede@|@kubali@
@accept@|@pokea@
@accident@|@tukio baya@
@accompany@|@kwenda na@
@account@|@hesabu@
@across@|@katikati@
@across from@|@juu ya@
@action@|@tendo@
@actor@|@mcheza@
@ad@|@tangazo@
@address@|@anwani@
@adieu@|@kwa heri, kwa herini@
@ado@|@kelele@
@advertisement@|@tangazo@
@advice@|@shauri@
@affair@|@jambo@
@after@|@baada ya, nyuma ya@
@afternoon@|@alasiri@
@again@|@tena@
@against@|@juu ya@
@age@|@umri@
@agree@|@kubali@
@ahead@|@mbele@
@aid@|@msaada@
@air@|@hewa@
@ale@|@pombe@
@alien@|@a kigeni@
@all@|@kila, ote@
@all of a sudden@|@ghafula@
@all over again@|@tena@
@alone@|@tu@
@also@|@pia@
@although@|@ingawa@
@always@|@sikuzote@
@American@|@mwamerikani@
@among@|@kati ya@
@and@|@na@
@anew@|@tena@
@angel@|@malaika@
@animal@|@mnyama@
@another@|@ingine@
@answer@|@jibu@
@antelope@|@paa@
@ape@|@tumbili@
@appellation@|@jina@
@apple@|@tunda la kizungu@
@April@|@Aprili@
@Arab@|@Mwarabu@
@Arabia@|@Uarabu, Ulaya wa Waarabu@
@arm@|@mkono@
@article@|@kitu@
@article of clothing@|@nguo@
@as@|@kama@
@ass@|@punda@
@at all@|@kabisa, o -ote@
@at once@|@sasa hivi@
@at present@|@sasa@
@axe@|@shoka@
@baboon@|@nyani@
@bad@|@baya, bovu@
@badly@|@vibaya@
@bag@|@gunia, mfuko@
@banana@|@ndizi@
@banana plant@|@mgomba@
@banana-plant@|@mgomba@
@bank@|@benki@
@bark@|@ganda@
@basket@|@kikapu@
@bazaar@|@soko@
@bear@|@dubu@
@beard@|@ndevu@
@beast@|@mnyama@
@beautiful@|@zuri@
@because@|@kwa sababu@
@bed@|@kitanda@
@bee@|@nyuki@
@beer@|@pombe@
@before@|@kabla ya, mbele ya@
@behind@|@nyuma, nyuma ya@
@below@|@chini, chini ya@
@beneath@|@chini ya@
@between@|@kati ya@
@Bible@|@Biblia@
@bicycle@|@baisikeli@
@big@|@kubwa@
@bike@|@baisikeli@
@bird@|@ndege, nyuni@
@bitter@|@chungu@
@black@|@eusi@
@blackness@|@weusi@
@blank@|@eupe@
@blind@|@kipofu@
@blood@|@damu@
@bloom@|@ua@
@board@|@ubao@
@body@|@mwili@
@bold@|@nene, nono@
@bone@|@mfupa@
@book@|@kitabu@
@bosom@|@kifua@
@boss@|@bwana, jumbe@
@bottle@|@chupa@
@boutique@|@duka@
@bovine@|@ng'ombe@
@bovine animal@|@ng'ombe@
@box@|@chombo, sanduku@
@boy@|@mtumishi@
@brave@|@hodari@
@bread@|@mkate@
@breast@|@kifua@
@brief@|@fupi@
@broad@|@pana@
@broom@|@ufagio@
@brother@|@kaka, ndugu@
@buffalo@|@nyati@
@bug@|@mdudu@
@bull@|@ng'ombe dume@
@burden@|@mzigo@
@burdensome@|@zito@
@bureau@|@afisi@
@business@|@jambo@
@business deal@|@jambo@
@but@|@bali, lakini@
@butter@|@siagi@
@bye@|@kwa heri, kwa herini@
@cabin@|@kibanda@
@camel@|@ngamia@
@capable@|@enye akili@
@carpenter@|@seremala@
@case@|@jambo@
@cassava@|@muhogo@
@cassave@|@muhogo@
@cat@|@paka@
@centipede@|@tandu@
@certificate@|@cheti@
@chair@|@kiti@
@chamber@|@chumba@
@charge@|@mzigo@
@cheap@|@rahisi@
@cheese@|@jibini@
@chest@|@kifua@
@chicken@|@kuku@
@chief@|@jumbe, kuu@
@child@|@mtoto, mwana@
@Christian@|@Mkristo@
@church@|@kanisa@
@city@|@mji@
@clean@|@safi@
@clerk@|@karani@
@clever@|@erevu@
@clock@|@saa@
@cloth@|@kitambaa@
@clothes@|@nguo@
@coast@|@pwani@
@cock@|@jogoo@
@cocoanut@|@dafu, nazi@
@cocoa-nut@|@dafu, nazi@
@coconut@|@dafu, nazi@
@coco-nut@|@dafu, nazi@
@coconut palm@|@mnazi@
@coconut-palm@|@mnazi@
@coffee@|@kahawa@
@cold@|@baridi@
@colour@|@rangi@
@complete@|@kamili@
@consent@|@kubali@
@container@|@chombo@
@cook@|@mpishi@
@cooking pot@|@chungu@
@cord@|@uzi@
@cork@|@kizibo@
@corn@|@muhindi@
@corpulent@|@nene, nono@
@correct@|@sahihi@
@costly@|@ghali@
@counsel@|@shauri@
@country@|@nchi, ulaya@
@courageous@|@hodari@
@course@|@sahani@
@court@|@ua@
@courtyard@|@ua@
@cover@|@kifuniko@
@crab@|@kaa ya pwani@
@crocodile@|@mamba@
@cross@|@msalaba@
@cunning@|@erevu@
@cup@|@kikombe@
@currently@|@siku hizi@
@custom@|@desturi@
@cycle@|@baisikeli@
@danger@|@hatari@
@dark@|@enye giza@
@darkness@|@giza@
@date@|@tarehe@
@date palm@|@mtende@
@date-palm@|@mtende@
@daughter@|@binti@
@day@|@siku@
@dear@|@ghali@
@December@|@Desemba@
@deep@|@refu@
@design@|@shauri@
@diagram@|@shauri@
@dim@|@enye giza@
@diminutive@|@dogo@
@din@|@kelele@
@disease@|@ugonjwa@
@dish@|@sahani@
@dismal@|@a huzuni@
@distance@|@mwendo@
@doctor@|@daktari, mganga@
@dog@|@mbwa@
@donkey@|@punda@
@door@|@mlango@
@downstairs@|@chini@
@dream@|@ndoto@
@drug@|@dawa@
@dry@|@kavu@
@dung@|@choo@
@dye@|@rangi@
@each@|@kila, ote@
@ear@|@sikio@
@early@|@mapema@
@earth@|@kiwanja@
@east@|@mashariki@
@East@|@mashariki@
@Easter@|@Pasaka@
@easy@|@rahisi@
@egg@|@yai@
@Egypt@|@Misri@
@eight@|@nane, nane@
@eighteen@|@kumi na -nane, kumi na nane@
@eighth@|@a nane@
@eighty@|@themanini@
@elephant@|@ndovu, tembo@
@eleven@|@edashara, kumi na -moja, kumi na moja@
@else@|@ingine@
@eminent@|@bora@
@empty@|@tupu@
@enchanter@|@mchawi@
@enchantment@|@uchawi@
@end@|@mwisho@
@ending@|@mwisho@
@enemy@|@adui@
@engine@|@mashine, mtambo@
@England@|@Uingereza, Ulaya wa Waingereza@
@Englishman@|@Mwingereza@
@enough@|@a kutosha@
@entire@|@zima@
@entirely@|@kabisa@
@equally@|@pia@
@error@|@kosa@
@Ethiopia@|@Habeshi@
@Europe@|@Ulaya@
@European@|@Mzungu@
@evening@|@jioni@
@ever@|@o -ote@
@every@|@kila, ote@
@everyone@|@kila, ote@
@exclusively@|@tu@
@excrement@|@choo@
@expensive@|@ghali@
@eye@|@jicho@
@face@|@uso@
@facile@|@rahisi@
@factory@|@karakana, kiwanda@
@faint@|@hafifu@
@fair@|@soko@
@farewell@|@kwa heri, kwa herini@
@fast@|@epesi@
@fat@|@nene, nono@
@father@|@baba@
@fear@|@hofu@
@feather@|@kalamu@
@February@|@Februari@
@fellow@|@mwanamume@
@fever@|@homa@
@field@|@shamba@
@fifteen@|@kumi na -tano, kumi na tano@
@fifth@|@a tano@
@fifty@|@hamsini@
@fine@|@bora, zuri@
@finger@|@kidole@
@finished@|@tayari@
@fire@|@moto@
@first@|@a kwanza@
@fish@|@kuvua, samaki@
@five@|@tano, tano@
@flour@|@unga@
@flower@|@ua@
@fly@|@inzi@
@folk@|@watu@
@food@|@chakula@
@fool@|@mjinga@
@foot@|@mguu@
@for@|@ili@
