@English@|@Swedish@
@Author name@|@Peter Bondesson@
@Font@|@Arial\12\Arial\12@
@a@|@en@
@a body@|@en kropp, ruttna@
@a few@|@några få@
@a good deal@|@åtskilligt@
@à la carte@|@à la carte@
@a little more@|@litet till@
@a long string of@|@en lång rad av@
@a long time@|@länge@
@a lot of@|@mycket@
@A minor@|@a-minor@
@a pair of tongs@|@tång@
@a posteriori@|@a posteriori@
@abaft@|@akterlig@
@abandon@|@överge@
@abbess@|@abbedissa@
@abbot@|@abbot@
@abdicate@|@abdikera@
@abdomen@|@underliv@
@ability@|@förmåga@
@abjure@|@avsvärja@
@ablaut@|@avljud@
@able@|@duktig, skicklig@
@able-bodied@|@arbetsför@
@ablution@|@ablution@
@abnormal@|@abnorm@
@abode@|@hemvist@
@abolish@|@avskaffa, upphäva@
@abondant@|@ymnig@
@abortifacient@|@abortivmedel@
@abortion@|@abort@
@about@|@cirka, kring, omkring, ungefär, vid@
@about doogs@|@om hundar, vädra@
@above@|@ovan, ovanför, uppe, över@
@above-mentioned@|@ovannämnd@
@abrade@|@abradera@
@abreact@|@avreagera@
@abroad@|@utlandet, utomlands, utrikes@
@abrupt@|@abrupt, burdus, kantig, plötsligt, tvär@
@abscess@|@abscess@
@absence@|@frånvaro@
@absent@|@borta, frånvarande@
@absent-minded@|@disträ, tankspridd@
@absorbed@|@fördjupad@
@abstemious@|@återhållsam@
@abstinence@|@abstinens@
@abstract@|@sammandrag@
@absurd@|@absurd, orimlig@
@abundance@|@ymnighet@
@abuse@|@missbruk, ovett, smäda, smädelse@
@abusive@|@ovettig@
@abysmal@|@avgrundsdjup@
@abyss@|@avgrund, svalg@
@academician@|@akademiker@
@academy@|@akademi@
@accede to@|@tillmötesgå@
@acceleration@|@acceleration@
@accent@|@accent, betoning, brytning, tonfall@
@accentuate@|@accentuera, betona@
@accept@|@acceptera, anamma, antaga, godtaga@
@acceptance@|@accept, antagande@
@access@|@tillgång@
@access time@|@åtkomsttid@
@accessible@|@tillgänglig@
@accessories@|@tillbehör@
@accident@|@olycka, olyckshändelse, slump@
@accidental@|@tillfällig@
@accidentally@|@händelsevis@
@accommodating@|@medgörlig@
@accompany@|@följa, ledsaga, medfölja, åtfölja@
@accomplice@|@medbrottsling@
@accomplish@|@fullborda@
@according to@|@enligt@
@accordion@|@dragspel@
@account@|@mellanhavande, redovisning, räkenskap, räkning@
@accountable@|@tillräknelig@
@accountant@|@kamrer, revisor@
@accredit to@|@ackreditera@
@accumulator@|@ackumulator@
@accupational therapist@|@arbetsterapeut@
@accurate@|@ackurat, noga@
@accusation@|@anklagelse@
@accuse@|@skylla på@
@accuse of@|@beskylla@
@accuse somebody of@|@anklaga någon@
@accustom to@|@vänja@
@accustomed to@|@van vid@
@accysation@|@beskyllning@
@ace@|@äss@
@ache@|@värk, värka@
@achievement@|@gärning, insats@
@Achilles heel@|@akilleshäl@
@acid@|@syra, syrlig@
@acknowledge@|@erkänna@
@acknowledgement@|@erkännande@
@acne@|@akne@
@acorn@|@ollon@
@acoustics@|@akustik@
@acquaintance@|@bekantskap@
@acquainted@|@bekant@
@acquire@|@tillägna sig, vinna@
@acquisition@|@anskaffningskostnad, åtkomst@
@acquit@|@frikänna@
@acre@|@tunnland@
@acrobat@|@akrobat@
@acronym@|@akronym@
@across@|@över@
@acrylic fabric@|@akryl@
@act@|@agera, akt, dåd, göra, handla, verka@
@act of indemnity@|@amnestikungörelse@
@acting@|@spel@
@action@|@aktion, gärning, handling, process, rättegång@
@actionable@|@åtalbar@
@activate@|@aktivera@
@active@|@aktiv, verksam@
@activity@|@aktivitet, verksamhet@
@actor@|@aktör, skådespelare@
@actress@|@aktris, skådespelerska@
@actual@|@verklig@
@actually@|@faktiskt@
@acute@|@akut@
@adapt@|@adaptera, aptera, lämpa, passa@
@adapt to@|@anpassa@
@adaptable@|@anpassbar@
@adaptation@|@adaptation@
@add@|@bifoga, lägga till, summera, tillfoga, tillägga@
@add (up)@|@addera@
