@English@|@Tabassaran@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a big jar@|@gwar@
@a bundle of sheaves@|@xIur@
@a deictic emphatic stem@|@ha-tmu@
@a diminutive suffix@|@-g@
@a k. of berry@|@urx-ar@
@a k. of insect@|@š'ali-p:ep:e@
@a prohibitive particle@|@m-@
@a small thing@|@ketket@
@a sort of barley@|@me'-er@
@a stripe of mown grass@|@marrwal@
@ache@|@ic:-ru xuz@
@adj. substantivator plur@|@-d-ar@
@air@|@hava@
@alder-tree@|@muq:u-n har@
@angel@|@malaik@
@anger@|@qIal@
@angle@|@pip@
@anim. class marker sing@|@d-, r@
@animal@|@häjvanat@
@animated@|@çiwi@
@ant@|@cimc, zimz@
@appearance@|@kuc@
@apple@|@viç, wiç@
@arm@|@hil@
@armful@|@xab@
@armpit@|@rIuç@
@arrow@|@çe', cimir@
@as much as@|@-qan@
@ashes@|@rüq, ruqI:@
@autumn@|@çul@
@axe@|@jekw@
@back@|@jirf-ar@
@back of head@|@xIarta-q-iš@
@badger@|@ušqIar@
@balance@|@richi-qular@
@balcony prop@|@murxil@
@barberry@|@šum-zaz@
@barley@|@muh, mux@
@basket@|@mug@
@battledore@|@kar@
@bear@|@š'e', šwe", x-@
@beard@|@mužri@
@bed@|@çarpas, krovat'@
@bee@|@arf, warf@
@beetle@|@p:ep:e@
@belly@|@fun@
@below@|@asi-k:, asi-q@
@bend@|@cap@
@besom@|@murgul@
@big@|@ähü, axIu@
@billet@|@gakul@
@bind@|@ji=t-@
@birch@|@murxIu-n har@
@bitch@|@kaç@
@bite@|@ranc apub@
@black@|@karu@
@blackberry@|@mer-er@
@blood@|@i-fi, ifi@
@bloodhound@|@barçi@
@blue@|@uku@
@board@|@qul@
@boat@|@lütke@
@body@|@beden, žandak@
@bone@|@jirk:i, jirkk, kurab@
@book@|@kitab@
@bottom@|@kan@
@bow@|@çimir, derk:u@
@bracelet@|@kulix@
@brain@|@ma'@
@branch@|@circ, ciric@
@brave man@|@murgu-ži@
@bread@|@ül@
@breast@|@muxur@
@breath@|@el@
@bride@|@šuš@
@bride-groom@|@žam@
@bridge@|@gäd, rIad@
@bridle@|@furin@
@brother@|@çi, çwe@
@brown@|@rugul@
@bud@|@tur@
@bull@|@jic; buga@
@bundle@|@kunc@
@burdock@|@parqIw@
@burdock's stalk@|@anrIli@
@burn@|@u-g-ub@
@burning@|@çux@
@bush@|@çere@
@butter@|@ç:im, kamu@
@butterfly@|@baItli, ppazippendi, tetrih@
@cabin@|@paž@
@camel@|@deve@
