@English@|@Tagish@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@all of you listen to me!@|@shedìnahsts'à!@
@all of you tell me@|@shedahndï@
@animal@|@xìh@
@are you eating fish?@|@luge nitsedza?@
@are you fine?@|@sho' ahlia?@
@are you fine? (pl)@|@sho ahlia?@
@are you hot?@|@tanizhìlã?@
@are you hungry?@|@dimbeda?@
@are you thirsty?@|@tu yenilia?@
@at home@|@kù' eyû@
@baby@|@dunin'@
@baby rabbit@|@gah, gahã@
@be quiet!@|@tsìn!, tsìne!@
@bear cub@|@shash, shashã@
@beaver@|@chà'@
@black bear@|@shash@
@blackfly@|@konàÿizhe@
@blanket@|@ts'èdè@
@blowfly@|@ch'oh@
@bluff@|@tl'è@
@bring me a rock@|@tsë eshÿàni'à@
@bring me coins@|@dãnà zhãzhe eshÿànilè@
@bring me money@|@dãnà eshÿàni'à, dãnà eshÿànilè@
@bring me the gun@|@k'onk'à' dè', k'onk'à' eshÿàntì@
@bring me the tea@|@dì eshÿànikà@
@brother@|@mendey@
@butterfly@|@dãlèlã@
@caribou@|@wejih@
@coins@|@dãnà zhãzhe@
@come here!@|@ndà!@
@creek@|@tuã@
@did you both hear it?@|@dàhts'egã?@
@did you forget?@|@ninãkòts'edã?@
@did you hear it?@|@dìts'egã?@
@do you speak native language?@|@dene k'èh konindeã?@
@do you understand me?@|@shedìnits'egã?@
@do you understand Tagish?@|@Tàgish denits'à'ã?@
@do you want tea?@|@di yenilia?@
@do you want water?@|@tu yenilia?@
@dog@|@medli@
@dog's sitting behind the house@|@tli' dekù' nãt'ey sedã@
@dog's sitting beside the house@|@tli' dekù t'ã sedã@
@dog's sitting in its house@|@tli' dekù' t'àt sedã@
@dog's sitting on the house@|@tli' dekù' kãge sedã@
@don't touch it@|@loge!@
@drink it!@|@nidã!@
@drying fish@|@luge ch'ehgan@
@duck@|@tude@
@eat!@|@enitsets!@
@Eniht'iya is bringing water@|@Enih'tiya dema ghah tu taseka@
@enough@|@tl'akhù et'ë@
@father@|@meta@
@fish@|@luge@
@fishs lying in the big pan@|@luge ch'a' cho keh sela@
@five@|@kìjin det'ë@
@food@|@mbet@
@four@|@dák'òn et'ë@
@fox@|@nuhtsehe@
@gigve it to me@|@de@
@girl@|@eÿàdènã@
@girl's walking at the road@|@eÿàdèna tene gàh endäl@
@give me a blanket@|@ts'èdè dè@
@give me a rock@|@tsë dè'@
@give me money@|@dãnà dè@
@give me the gun@|@k'onk'à' dè'@
@give me the tea@|@dì dè@
@go ahead; do it!@|@edü weyèh eshndìh@
