@English@|@Taino@
@Author name@|@Nova Saigo@
@Font@|@Arial\12\Arial\12@
@"Forehead of the Lord"@|@Cemi@
@"Great Lord of the Forest and Earth"@|@BO'jike@
@"The Valiant People of the Sacred House@|@BOricu'a (Bo-re-ku-a)@
@"Tree Spirit of the Earth" Little Green Tree Frog@|@Coki'@
@3 point themis in yukahuism@|@toali@
@4 legged stick Stand@|@Barbacoa@
@a@|@Ni@
@A benevolent Spirit of the White Earth Mountain@|@Y'u'kei'o, Y'u'kei'o@
@a board used to grate the yuca for Casabe@|@Guayo@
@A Bold person@|@Manicato@
@a Ceremonial Chieftain Chair@|@Dujo, Dujo@
@A cord or rope@|@Jico, Jico@
@a dressed person@|@naguato@
@a Drum@|@Magu'ey@
@a Fermented Corn Drink@|@Chicha@
@A Fine Place@|@Yarari, Yarari@
@a Fruit Tree@|@Guama'@
@a lot@|@kan@
@a modern day Taino greeting@|@Tau@
@a modern Taino term for a transit@|@Guagua@
@A mountain in the Luquillo or Yunque Rainforest@|@Y'u'kei'o, Y'u'kei'o@
@A Pass between Islands@|@Cayo@
@A persons forhead@|@Cimu'@
@A Sacred Mountain and Forest in Puerto Rico@|@Luki'yo, Luki'yo, Yuke'yo@
@A Shrub@|@Cayaya@
@A soap made from a plant@|@Dijo@
@A title of distinction and high respect@|@Bajari@
@a War Club@|@Macana@
@A Wooden Stick used in Farming@|@Coa, Coa@
@able to@|@patal@
@about or all around@|@te-@
@about or all around sfx@|@te-@
@abundance@|@(a)bo, ao, O@
@Abundance@|@Choreto@
@abundant@|@nim@
@ache@|@k´iinam@
@add femenitivity@|@-ki@
@affection expression to father@|@taita@
@after@|@tu lak´in@
@again@|@ka teem, ka teen, tu ka teem@
@age turns it blac@|@Jagua@
@all@|@ja´ra(-), kis, kiske, pashporo@
@all around or about@|@te-@
@all can be pfx@|@ja'ra@
@allow@|@chaik@
@Almost@|@Werehe@
@already@|@tanili@
@also@|@shan@
@altar@|@ku@
@although@|@kesh@
@Amazon River@|@SHingu@
@an Animal or person that travels alone@|@Baracutey@
@An insult between Tainos@|@Jeiticacu'@
@ancestor@|@oroco@
@ancestor or grandfather@|@oroko@
@ancient@|@uchben@
@Ancient Village of Chief Orocobix in Borike'n@|@Ja'tibonicu', Ja'tibonicu'@
@and@|@tun, yetel@
@anology river with ribbon@|@arike@
@Another name for the Hummingbird@|@Zum-Zum@
@Another name of the Mother of the Earth Spirits@|@Zuimaco@
@answer n and v@|@nu´uk@
@ant@|@sinik@
@Anus@|@Yarima, Yarima@
@anxious@|@taak@
@Any or Some Or Somebody (Maya)@|@Wa Maash@
@Anybody Or Someone (Maya)@|@Wa Maash@
@Anywhere Or Somewhere (Maya)@|@Wa Tu'ush@
@Ape Or Monkey (Maya)@|@Tuucha@
@argue@|@yojkarik@
@arm@|@apoeri@
@arm or hand@|@jue@
@Armadillo (Maya)@|@Wech@
@Armpit (Maya)@|@Yanal Shiik@
@Armpit Or Wing (Maya)@|@Shiik@
@arrive@|@k´uch´@
@arrive or bring@|@yaka@
@arrow@|@pyrywa@
@article with no value@|@tereke@
@as in The Great Spiri@|@Ti'@
@as is am Island or BOhio@|@BO (caps)@
@ashes@|@weere´@
@ask@|@k´aat, kaatik@
@assemble@|@ku(j)pe, kuNpe@
@at@|@po@
@atofo@|@owl@
@Attention@|@Osama@
@Attention people in the village!@|@Yucayeke' Guay!"@
@axe made of stones@|@Manaya@
@baby@|@chaanpal@
@back@|@e´ngaene@
@back (body)@|@yuba@
@bad@|@aiba, k´as, yaewae´, yaewaeme@
@baked@|@pooka´an@
@Ball@|@Batu, Batu@
@ballcourt for yucahuism@|@atey@
@banana@|@ta´as@
@bark@|@piepo@
@bark of the palm tree@|@yagua@
@Barter or exchange@|@Serra@
@basket@|@makuto@
@Basket@|@Jaba@
@Bat (Maya)@|@Soots@
@bath or bathe@|@ichki´il@
@Be Asleep Or Sleep (Maya)@|@Wenel@
@be quiet@|@tetoka@
@beach@|@k´a´anab@
@bead or bead works@|@kakona@
@beafsteak@|@tsabi bak@
@beard@|@me´esh@
@beautiful@|@ki´ichpan@
@beauty@|@htsutsil@
@because@|@beyo, beyo´, tumen@
@because it is very large@|@mayaimi@
@bed@|@k´aan@
@beef@|@wakash@
@Beer@|@Chicha@
@beginning@|@at, thimu@
@beginning of lie@|@ya@
@Beginning or First@|@Bi@
@behind@|@pa´achi@
@behind or last or ass@|@Yarima@
@belly@|@uwembo@
@belongings@|@konike@
@beloved town@|@nio', nio´@
@beneath@|@yaanal@
@big@|@guari, poeto@
@Big@|@Ma, Ma@
@big conch shell@|@kob@
@Big Evil or The Great Evil Spirit@|@Maboya@
@Big Eyes@|@Maku'@
@big head@|@ciguay@
@big land@|@keya@
@big place or big@|@Bana@
@big rock@|@cibukan@
@Big Sea Turtle@|@Caguama@
@Big Snake@|@Maja@
@big stone@|@bothiba, thibabo@
@Big Sun@|@Magu'ey@
@Big Valley or Large Plain@|@Sabana@
@Big Woman of the Great Spirit of the Waters@|@Manati', Manati'@
@bind@|@kyto, my@
@bird@|@chulufi, gua-tibiri, tonoero, wani´@
@bird or humming bird@|@Guani@
@birth@|@Ra@
@birthed god@|@ra(a)pita, rapita@
@birthplace@|@guainia, guania@
@bite@|@aeka@
@bitter@|@k´aah@
@black@|@chuku, kaerai, te´shkaraire@
@black cave@|@cathibajagua@
@Black Dye@|@Jagua, Jagua@
@Black Eyes@|@Jeiticacu'@
@Blend Or Mingle Or Mix (Maya)@|@Sha'aktik@
@blood@|@meenu, moin, mynu@
@blow@|@uero@
@blue@|@liku@
@boat@|@piragua@
@bob cat@|@yaraja@
@body@|@oko@
@BOhio in the Taino womens language.@|@Eracra@
@bone@|@yeepo@
@book@|@u´un@
@bother@|@Catey@
@Bow@|@Baira@
@bowl@|@kanari@
@Bowl made of clay@|@Canari@
@Boy or Small Infant Child@|@Guaili@
@Brain@|@Tso'om@
@brave@|@s(i)@
@brave or bold@|@-s(i)@
@brave or bold sfx@|@s(i)@
@brave or daring men@|@lithei@
@Brave people@|@Caribe@
@Brave Spirit@|@Ri'@
@Bread@|@Casabi@
@breast@|@manaete´@
@breasts or titties@|@toa@
@bring@|@yaka@
@broken@|@chinga´an, kaacha´al@
@broth@|@k´aab@
@brother@|@Natiao, tiao@
@Brother or Brothers as in a family@|@Natiao, Natiao@
@build@|@mas(u)@
@burn@|@koroete´, to´ok@
@Bus or Car@|@Guagua@
@bush@|@hikakos@
@bush country@|@Jiba@
@but@|@k´u, L, l@
@Butterfly@|@Tanama@
@buy@|@maan, maanik@
