@English@|@Tamil (spoken language)@
@Author name@|@Vikram@
@Font@|@Arial\12\Arial\12@
@a little@|@kondjam@
@above@|@maelae@
@address@|@vilAsam@
@after noon@|@madyAnam@
@after to morrow@|@nAl annaikki@
@again@|@maRumbediyum@
@all@|@aellArum@
@always@|@aeppevum, aeppOdum@
@and@|@-um@
@any@|@aedAvudu@
@bad@|@mosamAne@
@bag@|@pai@
@banana@|@vAlapajam@
@beautiful@|@ajagane@
@belly@|@vayiru@
@big@|@periye@
@bird@|@kuruvi, paraevae@
@blood@|@rattam@
@boy@|@paiyan@
@but@|@AnnA@
@buy@|@vAngu@
@calm@|@amaedi@
@candle@|@maejuguvatti@
@celebration@|@vijA@
@chair@|@nAkAli@
@child@|@kujandae@
@cissors@|@katterikkol@
@clothes@|@ADae, uDae@
@coconut@|@taengAy@
@cold@|@kuLir@
@colour@|@niRam@
@confidence@|@nambikkae@
@conversation@|@uraeyADal@
@convinient@|@vasediyAne@
@cough@|@irumel@
@country@|@nADu@
@courage@|@tuNiccel@
@cow@|@pasumADu@
@damp@|@iiremAne@
@danger@|@abAyam@
@dark@|@iruTTane@
@daughter@|@magae@
@day@|@nAL@
@decision@|@muDivu@
@detail@|@vibaram@
@differnce@|@vityAsam@
@diifculty@|@kaSTam@
@diificult@|@kaSTmAne@
@dirty@|@asuttemAne, suttam illade@
@dog@|@nAy@
@door@|@kadavu@
@downside@|@kiijae@
@drone@|@VaNDu@
@drug@|@marundu@
@dust@|@tUsi@
@each@|@ovvoru@
@ear@|@kAdu@
@egg@|@muTTae@
@elder brother@|@aNae@
@elder sister@|@akkA@
@elephant@|@yAnae@
@empty@|@kAliyAne@
@enough@|@pOdum@
@everywhere@|@aengaeyum illae@
@expensive@|@vileae uyernde@
@eye@|@kaNNu@
@face@|@mugam@
@family@|@kuDumbam@
@farmer@|@vivasAyi@
@farming@|@vivesAyam@
@fast@|@vaegemAne@
@fault@|@tappu@
@fear@|@bayam, bayeppaDu-@
@fellow@|@AL@
@fever@|@kAccel@
@field@|@vayel@
@finger@|@viral@
@fire@|@tiipaeTTi@
@fish@|@miin@
@flower@|@pUnDu@
@fly@|@ii@
@forest@|@kADu@
@friend@|@naNber@
@from who@|@yArODe@
@fruit@|@paJam@
@gand mother@|@pATTi@
@garlic@|@pUnDu@
@gently@|@maeduvA@
@girl@|@poNNu@
@goat@|@ADu@
@good morning@|@vaNakkam@
@grand father@|@tAttA@
@grass@|@pul@
@hair@|@mayir@
@half@|@pAdi@
@hand@|@kai@
@happy@|@sandoSamAne@
@head@|@talae@
@health@|@uDal nalam@
@heart@|@irudayam@
