@English@|@Tamil@
@Author name@|@Raamesh Gowri Raghavan@
@Font@|@Arial\12\Arial\12@
@(Lion-tailed) Macaque@|@Arakkan@
@3-striped Palm Squirrel@|@3 Kōdu Ańīl@
@4-horned Antelope@|@Nālkombu Mān@
@5-striped Palm Squirrel@|@5 Kōdu Ańīl@
@A And B@|@A-um B-um@
@A Book of 1339 Kurals@|@Thirukkuŗaļ@
@A Boring Thing@|@Aruvai@
@A Chettiyar Lady@|@Āchī@
@A Dark Brown Jewel@|@Vaidūriyam@
@A Fat Man@|@Guńdan@
@A Fat Person (colloquial)@|@Ānaikkutti@
@A Fat Woman@|@Guńdachchi@
@A Fish Species Around Pondicherry@|@Idimīn@
@A Kind of Fish@|@Thūŗumīn@
@A Kind of Sea Fish@|@Thaļapāŗŗumīn@
@A Long Story@|@Pūrāńam@
@A Measure of Distance@|@Mańdalam (S)@
@A Purana@|@Thiruvilayādal@
@A Tamil Saint@|@Āńdāļ@
@Ability@|@Thiŗamai, Thiramai@
@Abominable@|@Abāńdamāna@
@Aborigine@|@Ādhidhirāvidar, Kuŗavan@
@Aboriginess@|@Kuŗathi@
@Aborogine Hunter@|@Vēdan@
@About-to-be@|@Varungāla@
@Above@|@Mēla@
@Absolutely New (Colloquial)@|@Puththam Pudhiya@
@Accident@|@Vibaththu@
@Acme@|@Thilagam@
@Across The River@|@Akkaŗai@
@Actor@|@Nadigar@
@Actress@|@Nadigi@
@Adam@|@Ādhām@
@Address@|@Mugavari, Vilāsam (S)@
@Adjectival suffix@|@-āna@
@Administration@|@Amaichchu@
@Adverbial suffix@|@-ā@
@Affect Adversely@|@Bādhikka@
@Affection@|@Anbu, Inbam, Pāsam@
@Africa@|@Ā:pirika (E)@
@Afternoon@|@Madhdhiyānam (S)@
@Again@|@Marupadi, Mīńdum@
@Age@|@Vayasu@
@Agony@|@Thudippu@
@Agriculturalist@|@Vivasāyi@
@Agriculture@|@Vivasāyam@
@Aim@|@Latchiyam (S)@
@Air@|@Kāŗŗu@
@Aircraft@|@Vimānam@
@Akka's/Aththai's Husband@|@Aththimbēr@
@Alas!@|@Ai(ai)yō!@
@Algol@|@Mīra Natchaththiram (S)@
@All@|@Sagaļa (S)@
@Almanac@|@Panjāngam (S)@
@Almond@|@Bādhām Paruppu, Mundhiri@
@Alone@|@Thaniyāga@
@Alright@|@Sari@
@Altogether@|@Ellām Chērndhu@
@Always@|@Enŗenŗum, Enŗum@
@Ambergris@|@Chemmīn Vairam@
@Amla@|@Nellikkāy@
@an Auspicious Object@|@Puńarmīn@
@An Exalted person@|@Uyirandhavar@
@Anachronism@|@Apasvaram (S)@
@Anarchy@|@Arājagam@
@And@|@Maŗŗum@
@Andromeda@|@Dhēvayānai (S)@
@Anger@|@Kōpam (S)@
@Angular Gourd@|@Pīrkangāy@
@Animal@|@Pasu@
@Anklet (Informal)@|@Goļusu@
@Anna (One-Sixteenth Of A Rupee)@|@Ańā@
@Answer@|@Badhil@
@Ant@|@Erumbu@
@Anuradha@|@Pańaimīn@
@Anywhere@|@Engum@
@Applause@|@Kai Thattu@
@Apple Of The Eye@|@Rāsa@
@Approximately@|@Kittathatta@
@Aquarius@|@Kumbam (S)@
@Aries@|@Mēsham (S)@
@Arithmetic@|@Kańakku@
@Armed Force@|@Dhalam (S)@
@Army@|@Sēnai (S)@
@Arrangement@|@Amaippu@
@Arrow@|@Ambu@
@Art@|@Kalai (S)@
@Arthropod@|@Pūchchī@
@Artist@|@Kalaignar, Kalainjar@
@Arundhati@|@Chiŗumīn, Uththaramīn@
@Asafoedita@|@Perungāyam@
@Ash@|@Chāmbal@
@Ashadhanakshatra@|@Kuļamīn@
@Ashwini@|@Ādimīn, Nāńmīn@
@Ashy Swallow-Shrike@|@Madam Purā@
@Ass@|@Kałudhai@
@Assembly@|@Sabā (S), Vai@
@Assistant@|@Udhavāļar@
@Association@|@Peravai@
@Astrologer@|@Jōthisiyar (S)@
@Astrology@|@Jōthisiyam (S)@
@Astronomy@|@Vāńmuŗai@
@At Early Dawn (Informal)@|@Vitta Vidiya@
@At Leisure@|@Sāvakāsam (S)@
@Atheist@|@Nāsthigan (S)@
@Atta Nakshatra@|@Kaimmīn@
@Attention@|@Gavanam@
@Audience@|@Nēyargaļ@
@Aunt@|@Māmmi@
@Auriga@|@Sārathi (S)@
@Auspicious Time@|@Nallagālam, Nallanēram@
@Author@|@Ełudhiyavar, Ełuthāļar@
@Avenue@|@Vīdhi@
@Avocet@|@Kūni Arichichan@
@Awe Of The Enemies@|@Parachakrakōlāhala (S)@
@B as in 'B'ag@|@B (Tamil same latter as P)@
@Babbler@|@Huni@
@Back@|@Pin@
@Backside@|@Pinpakkam@
@Backyard@|@Pinpakkam@
@Bacteria@|@Kirimi@
@Bad@|@Ketta, Kettamāna@
@Bad (Character)@|@Mōsamāna@
