@English@|@Tanacross@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a ball is rolling@|@ch'ukeg almeth@
@a bow@|@ts'ehtii@
@a bridge crosses the water@|@yaanâan xtsiil kenin'ah@
@a comb@|@tthixuuseel@
@a creek@|@ch'endá', ndîig, tlandíig@
@a crippled person@|@ts'idint'eh@
@a cup of tea is on the table@|@ldîil k'ech'ii'aadl k'et eekaa@
@a dance@|@ch'edzes@
@a different direction@|@ch'ítduug@
@a different manner@|@ch'ít-tsedz@
@a different person@|@ch'ítshuun@
@a different thing@|@ch'ítshuuy@
@a dog is growling@|@lii ch'utnehxonh@
@a dog is harnessed@|@lii dadíndah@
@a drunk person@|@neexel@
@a file@|@ch'iik'agh@
@a fishnet is set@|@tee'ehndiik@
@a flock of birds flew up@|@naadóg tsúgaay yaníshaa@
@a frog is hopping@|@naaxey atkek@
@a gap in something@|@nilk'ée xúu'aa@
@a herd is moving@|@naltl'éy ná'al'és@
@a hide@|@ch'ethéth@
@a hole in something@|@xdú@
@a kind of bug@|@ts'aketl'aag@
@a knot in wood@|@ch'ethuch'enn'@
@a lamp@|@neldzeey@
@a little farther@|@xnihk'ôdl@
@a lot of caribou are moving@|@wudzih ndlaan xúh ah'és@
@a mammal@|@nûun@
@a mushroom@|@ch'eneyy'@
@a needle for sewing cloth@|@ulsûud@
@a new thing@|@k'ah dú' éltsiin@
@a nice person@|@mesuuxúht'eey@
@a paddle@|@taat'ôgh@
@a partition@|@xdanint'eey@
@a place for fun@|@dexos k'ée@
@a portion of@|@ch'ehlaad@
@a pounding noise@|@xdeldón'@
@a pregnant animal@|@wugaay xtéelé'@
@a scent marking@|@wuk'eh@
@a short while ago@|@k'adídá'a@
@a situation@|@tidaxghintthet@
@a small creek@|@hên@
@a steep river bank@|@dzendaax@
@a stump is drifting along@|@ch'aachenn' tadahtiil@
@a tanned skin@|@ch'ethéth tatnit-tthogh@
@a ticklish feeling@|@exeedh@
@a tree fell over@|@ts'ôgh xúninxées@
@a tree is slanted@|@nak'áay ts'í' dídétaan@
@a tree stump is floating down@|@ch'achenn' tadaatiil@
@a while ago@|@k'adîidá'a@
@abandonded@|@kón' k'ée@
@about@|@gha@
@above me@|@shtthíit'aag@
@abrasive@|@ch'et-ts'iits@
@according to@|@gha@
@according to what he said@|@xutney gha sítnih@
@across toward@|@yaanáan'@
@actually@|@lá'a ch'e le', xúu' ch'e le'@
@added on@|@wuk'et deetaan@
@adipose fin@|@wut'ogh'@
@adolescents@|@ch'ilkeey@
@adult@|@ch'endëddh'@
