@English@|@Telugu@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@oka@
@a beer; please@|@daya chesi oka beer istara@
@a blow@|@ãtu@
@a brave man@|@ur_iya@
@a child@|@patti@
@a dark alley@|@oni-kattu@
@a disputatious person@|@penapari@
@a dry measure@|@adda@
@a fall@|@patu@
@a flood@|@par_ada, par_ata, par_ati, par_ava@
@a funeral pile@|@oliki@
@a grain-pit@|@pãt-ar@
@a kind of bird@|@par_ika@
@a kind of drum@|@pamba@
@a kind of honey bee@|@perayïga@
@a low ground@|@paduva@
@a lump@|@ada@
@a pitfall@|@pátampi@
@a range@|@ogi@
@a row@|@oja@
@a royal tiger@|@bebbuli@
@a run@|@parugu, paruvu, parvu@
@a screen@|@addu@
@a secret@|@olavu@
@a shed@|@paadali@
@a shelter@|@olamu@
@a shield@|@addanamu@
@a sort of ear-ring@|@ontu@
@a sort of ornament@|@patteda@
@a stair@|@padi-kattu@
@a start@|@adiri-pãtu@
@a stone@|@paduku@
@a stroke@|@adupu@
@a struggle@|@penãgu, penãkuva@
@a total@|@ot't'u@
@acridity@|@or_r_a@
@action or the verb@|@kriya@
@adopted@|@pempudu@
@adoption of a child@|@pempakamu@
@affection@|@perima@
@agreeableness@|@oppidamu@
@air@|@gali, vayuvu@
@Alstonia scholaris@|@palagaruda@
@an impudent@|@pengke@
@an oath@|@ottu@
@an upper garment@|@olliya@
@and@|@mariyu@
@angel@|@devaduta@
@animal@|@jamtuvu, prani@
@anklet@|@pendäramu, pendemu, pendëramu@
@ant@|@chima@
@anvil@|@patteda, pattika@
@apple@|@kaya, pamdu@
@arm@|@bahuvu, bhujamu, cheyyi@
@army@|@pálemu@
@arrogance@|@adatu@
@arrow@|@ambu, banamu@
@ash@|@bhasmamu, budide@
@astringent taste@|@ogaru@
@attention@|@pattimpu@
@autumn@|@akulu rale kalamu, mudo butuvu, pamdla kalamu@
@axe@|@goddali@
@back@|@peda@
@back of the head@|@pedatala@
@backyard of a house@|@pedalu@
@bad@|@chedu@
@bandy legs@|@panggati-kaallu@
@bank@|@addakatta@
@bar@|@baar@
@bar of spar of wood@|@patte@
@bark@|@patta, pattamu@
@barley@|@barlibiyyamu@
@base@|@panda@
@basin for water@|@pádi, pádu@
@battle@|@padhava@
@be alarmed@|@adalu, adalu, pelukur_u@
@be patient@|@orucu@
@be pounded as rice@|@danggu, dhanggu@
@beach@|@biich@
@bear@|@bhallukamu, eluggoddu@
@beautiful girl@|@chiluka@
@beauty@|@oppamu@
@become@|@agu@
