@English@|@Tlingit@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@aground@|@kux, kúx-dei@
@already@|@déi@
@also@|@tsú@
@and you@|@wa'e@
@and you?@|@wa'e de?@
@are you cold?@|@isewu'at' gi?@
@are you happy?@|@i tuwu gi yak'e?@
@are you hungry?@|@i it gi yan uwaha?@
@at home@|@nel yi@
@Athabaskan@|@Ghunana@
@baby@|@t'ukaneyi@
@back@|@khuxh, khúxh-dei@
@be quiet!@|@k'al k'atl'ak, sh ilk'atl'!@
@be sure not to@|@tsé@
@be sure to@|@x'wán@
@bear@|@s'ik@
@beaver@|@s'igedi@
@berry@|@tlekhw@
@big@|@tlen@
@black@|@tuch'@
@black bear@|@s'ik@
@black hat@|@tuch' s'axw@
@blanket@|@x'uw@
@blue@|@s'uw@
@blue hat@|@s'uw s'axw@
@blueberry hill@|@l'axh' luwu t'uli@
@boy@|@yadak'w@
@brown@|@s'igwat@
@brown hat@|@sigwat s'axw@
@bullets@|@tuteyi@
@butterfly@|@tlelu@
@cane@|@wutsagha@
@caribou@|@watsix@
@chest@|@yuwnka@
@child@|@adetx'i@
@clothes@|@na'at@
@clouds@|@gus'@
@come here!@|@hagu!, hat yi'a!@
@contrary@|@khaju, xhaju@
@cup@|@gux'a@
@do you have firewood?@|@gan gi i jiwu?@
@do you have matches?@|@khas' gi i jiwu?@
@do you know Tlingit?@|@Lingit gi xh'iya'axhch?@
@do you live in the bush?@|@et gutux' gi khiya'u?@
@do you see any sheep?@|@tawe gi iyatin?@
@do you see any wolves?@|@ghuch di iyatin?@
@do you understand me?@|@ida gi ya khusisige?@
@do you want some fish?@|@xhat gi i tuwa sigu?@
@do you want tea?@|@di gi i tuwa sigu?@
@do you want water?@|@hin gi i tuwa sigu?@
@dog@|@ketl@
@dog is sitting in its house@|@du hidi yit a we ketl@
@dog is sitting on its house@|@du hidi kat a we ketl@
@dog is sitting under its house@|@du hidi tayit a we ketl@
@dog's sitting behind its house@|@du hidi t'et a we ketl@
@dog's sitting beside its house@|@du hidi t'ikat a we ketl@
@don't@|@li@
@down below@|@(di-)yée, (di-)yee-naa, (di-)yín-dei@
@downstream@|@éex, íx-dei, ix-kée, ixi-naa@
@dry meat@|@dliyn xuk@
@duck@|@gaxw@
@ear@|@guk@
@elder@|@wudishani@
@elder man@|@wudishani kha@
@elder woman@|@wudishanishawat@
@even@|@ch'ú@
@eye@|@wakh@
@face@|@ya@
@father@|@ish@
@fire@|@shut@
@fireweed is growing@|@lul awe ya kana'en@
@first@|@s'é@
