@English@|@Tofa@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old elk@|@doš@
@a k. of musical instrument@|@xobus@
@a pinch@|@šymžym@
@acid@|@ažyh@
@alive@|@dirig@
@anger@|@ö'kpe@
@animal's hair@|@dük, tük@
@arm@|@qol@
@armour@|@qujaq@
@ashes@|@xül@
@autumn@|@küs@
@awl@|@bis@
@back@|@a'rt, sy'rt@
@badger@|@borsuq@
@bald@|@tas@
@bark@|@chö'prää@
@be startled@|@beling-ne-@
@beak@|@tun'chuq@
@beard of grain@|@xylhan@
@belly@|@xyryn@
@big@|@uluh@
@birch bark@|@dos@
@birch tree@|@qadyng@
@bird@|@qu'š@
@bird's breast@|@böksek@
@black@|@qara@
@black-cock@|@hü'rtü@
@blood@|@xan@
@blue@|@kök@
@bold@|@titim@
@bone@|@sök@
@bow@|@cha@
@brain@|@mäa@
@branch@|@šybyq@
@brave man@|@nït@
@breast@|@döš@
@breast strap@|@hömündürük@
@bridge@|@kö'prig@
@broad@|@chalbaq@
@buck@|@möng-@
@bucket made of birch bark@|@sö@
@buds@|@šomur@
@bull@|@buxa@
@button@|@ök@
@calf of leg@|@baldyr@
@camel@|@tebe@
@camel's pack-saddle@|@xom@
@cap@|@bö'rt@
@cartilage@|@kežir@
@cedar@|@böš@
@chalk@|@bor@
@child@|@uruh@
@chin@|@erin@
@clay@|@ba'lxaš@
@clotted blood@|@de's@
@cloud@|@bulut@
@cold@|@söq@
@comb@|@dyrhaq@
@community@|@toj@
@copper@|@ches@
@corncrake@|@tarhat@
@corner@|@bulung@
@courage@|@chürek@
@crane@|@durujä, turuja@
@criss-crossing@|@šalyšqaq@
@crow@|@qarhan@
@crush@|@so'q-@
@currant@|@qazylhan@
@curse@|@qarha-@
@daughter-in-law@|@helin, henni-@
@deep@|@dereng@
@desert@|@šöl@
@distant@|@yraq@
@dog@|@y't@
@doubt@|@sezik@
@downwards@|@qudu@
@dream@|@düš@
@drop@|@tam-dy@
@dry@|@qurhah@
@duck@|@ödrek@
@dung@|@moq, myjaq@
@ear@|@qulaq@
@edge@|@chaha@
@edible root@|@aj@
@egg@|@numurxa@
@elder brother@|@aha, aš'a, aža@
@empty@|@bo'š@
@entertain@|@sy-ha-@
@evening@|@keže@
@evil@|@ba'q@
@eye@|@qaraq@
@eyebrow@|@qabaq, xaš@
@face@|@alyn@
@fang@|@azyh@
@fat@|@semis@
@fate@|@chol@
@father@|@ada@
@female maral@|@myjhaq@
@fire@|@ot@
@fish@|@balyq@
@fish trap@|@duh@
