@English@|@Tok Pisin@
@Author name@|@Nils R. Bull Young@
@Font@|@Arial\12\Arial\12@
@"born in the bush"@|@bastat@
@"that's right!"@|@tru@
@(+ nouns > plural sign)@|@ol@
@(common preposition) to@|@long@
@(comparative marker) "than" + adjective@|@long@
@(completive aspect of verbs)@|@pinis@
@(durative of verbs) -ing@|@stap@
@(indirect object sign)@|@long@
@(intentional aspect)@|@bai@
@(mechanical) jack@|@jek@
@(specifically Tahitian chestnut)@|@galip@
@a@|@wanpela@
@a few@|@wan wan, wanpela wanpela@
@a kind of@|@samkain@
@a little@|@liklik@
@a long time@|@longtaim@
@a long time ago@|@longbek@
@a piece@|@hap@
@abandon@|@lusim@
@able@|@inap@
@about@|@baut, inap, klostu, nabaut, nabaut@
@about (a place)@|@nabautim@
@about them@|@en (long+em)@
@above@|@antap, antap long@
@abscess@|@sua@
@acacia tree@|@akas@
@accordingly@|@olsem na@
@accuse@|@kotim, putim hevi@
@actually@|@tru@
@address@|@adres, atres@
@adhesive tape@|@plasta@
@administrative@|@gavman@
@admire@|@amamas long, mangalim@
@adornment@|@bilas@
@advance@|@goan@
@Advent (religious season)@|@Adven@
@advise@|@skul@
@afraid@|@guria, pret@
@Africa@|@Afrika@
@after@|@behain@
@after a while@|@bambai@
@after sundown@|@ivening@
@afternoon@|@apinum@
@afterwards@|@behain@
@again@|@gen@
@age group@|@lain@
@aged@|@lapun@
@agenda@|@minits@
@agitator@|@hambakman@
@ago@|@bipo long, i-lus, long-bek@
@agree@|@orait long, yes long, yesa long@
@agreeable@|@orait, swit, switpela@
@agreement@|@kontrak, sekan@
@ahead@|@pas@
@aimless@|@nabaut@
@air@|@hava, win@
@airplane@|@balus@
@airport@|@ples balus@
@alarm clock@|@klok belo@
@albino@|@waitskin@
@alcohol@|@alkohol, Spirit, spirit, wiski@
@alike@|@wankain@
@all@|@ol, olgeta, olpela@
@all citrus fruit@|@muli@
@all day@|@olde@
@all kinds@|@olkain@
@all kinds of@|@olkain@
@all of you@|@yupela olgera@
@all relatives from the mother's side@|@kandere@
@all siblings@|@bratasusa@
@all the time@|@oltaim@
@all who live in one house@|@wanhaus@
@allegory@|@tok bokis@
@almost@|@klosap@
@alone@|@tasol, wanpela, wanpis@
@along with@|@tupela@
@alongside@|@abris, arere, klostu long@
@also@|@tu@
@altar (religious)@|@alta@
@altogether@|@olgeta@
@always@|@oltaim@
@amen@|@tru@
@America@|@Amerika@
@American@|@Amerika@
@among@|@namel long@
@amplifier@|@bikmaus@
@an@|@wanpela@
@ancestor@|@man blong bipo@
@ancestors@|@tumbuna@
@ancestral figures; ceremonial masks@|@tumbuan@
@ancestral spirits@|@tambaran@
@ancestral worship@|@tambaran@
@ancestry@|@lain@
@anchor@|@anka@
@and@|@na, wantaim@
@and so@|@na, olsem na@
@and then@|@na@
@angel@|@ensel@
@anger@|@belhat@
@angry@|@kros, pes@
@anima@|@spirit@
@animal@|@animal, binatang@
@animist spirits@|@masalai@
@announcer@|@haloman@
@another@|@naranpela@
@another (of a sort)@|@narapela@
@another kind@|@narakain@
@another kind; different@|@arakain@
@another one@|@arapela@
@answer@|@ansa, tokbek@
@ant@|@anis@
@antiseptic@|@marasin blong klinim sua@
@anxious@|@guria@
@anything@|@olgera samting, samting@
@apart from@|@abrus long@
