@English@|@Tongan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a bend@|@afe@
@a bit better@|@olioli@
@a coconut@|@niu@
@a crack@|@mafahi@
@a crawling plant@|@fue@
@a farm@|@faama@
@a hundred and five@|@teau ma nima@
@a hundred and one@|@teau ma taha@
@a kiss@|@'uma@
@a lei of 'kakala'@|@nusi@
@a pet@|@pele@
@a ring@|@mama@
@a sister of a brother@|@tuofefine@
@a tense sign for past tense@|@na'e@
@a test@|@sivi@
@a tissue@|@holoholo@
@a tribe@|@afa@
@a walking stick@|@tokotoko@
@abdomen@|@kete@
@abdominal pains@|@langa kete@
@about to try@|@ene@
@above@|@'i 'olunga, 'olunga@
@abrupt@|@motuki vave@
@abscess@|@hangatamaki@
@accident@|@fakatu'utamaki@
@account (in a store)@|@'akauni, mo'ua@
@ache@|@langa@
@acid@|@mahimahi@
@activities@|@ouau@
@admire@|@sai'ia@
@adopt@|@pusiaki@
@adopted child@|@pusiaki@
@adored@|@'ofeina@
@adultery@|@tono@
@aeroplane@|@vakapuna@
@affected@|@lavea@
@affirmation@|@fuakava@
@Afghanistan@|@'Afukanisitani@
@afraid@|@ilifia@
@Africa@|@'Afilika@
@afternoon@|@efiafi@
@Agatha@|@Akata@
@agenda@|@'asenita@
@agree with (monarch only)@|@hoifua@
@agriculture@|@ngoue@
@air@|@'ea@
@aircraft@|@vakapuna@
@airmail@|@'eameili, 'li ha tohi@
@airport@|@mala'evakapuna@
@Albania@|@Alipenia@
@Albert@|@'Alipate@
@Alfred@|@'Alifeleti@
@Algeria@|@'Asilia@
@all@|@kotoa@
@Aloysius@|@'Aloisio@
@Alphonsus@|@'Alefosio@
@ambulance@|@kolosikula@
@amen@|@'emeni@
@American Samoa@|@Ha'amoa Amelika, Pangopango@
@amoke@|@'ahu@
@amputate@|@tu'usi@
@an examination@|@sivi@
@an oath@|@fuakava@
@anaesthetic@|@fakamohe, fakaongonoa@
@and@|@mo, pea@
@and may you answer our wish@|@mo ke tali homau loto@
@and the love to Tonga@|@mo e 'ofa ki Tonga@
@Andrew@|@'Anitelu@
@angry@|@'ita@
@animals@|@manu@
@ankle@|@fasi 'ava 'e@
@Anna@|@ane@
@Anne@|@'Ana, Ane@
@annoint@|@pani@
@annointed@|@pani@
@announce@|@ofongi@
@annoy@|@'ingo@
@annoyed@|@'ingo@
@ant@|@lo@
@Antarctica@|@'Anitatika@
@anthem@|@'anitema@
@antiseptic@|@faito'o tamate@
@Antony@|@'Atonio@
@anus@|@mata 'itungaiku@
