@English@|@Tsakhur@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@0@
@1t class marker (suff.)@|@-r@
@2d class marker@|@j, r@
@4th class marker@|@d, j@
@a common word for sheep@|@nabag@
@a prohibitive particle@|@m-@
@a small thing@|@kerket@
@above@|@ali-d@
@Adam's apple@|@xyrtam@
@adverbial suffix@|@b, w@
@affective@|@-kle@
@an intoxicating liquor@|@wyxIna@
@anger@|@qIal@
@ant@|@semsälä@
@apple@|@ech@
@arm@|@guch@
@ashes@|@jyqI, sera@
@ass@|@aImale@
@autumn@|@cuwul, cywyl@
@autumn wool@|@arxl@
@awn@|@gam@
@axe@|@jakw@
@back@|@jyqI@
@bag@|@xab-gä@
@barberry@|@syna@
@barefooted@|@xyl'-cejr@
@barley@|@xyta@
@bear@|@=uxa-, so@
@bed-bug@|@šin@
@bee@|@tot@
@belly@|@wuxun@
@big@|@xIe-r-na@
@bind@|@i=tal-@
@birch@|@woxI@
@birch bark@|@lukon@
@bird@|@šit@
@birth-mark@|@kuda@
@bitch@|@gože@
@black@|@kary-n@
@blind@|@byrqIy-na@
@blood@|@e-b, eb@
@boar@|@wok@
@board@|@quwa@
@boiled fat@|@jyxI@
@bone@|@barkw@
@bottom@|@kan, xane@
@boundary@|@gor@
@bracelet@|@läxa@
@brain@|@mahI@
@bread@|@kuka@
@break@|@eta-@
@bride@|@sos@
@bride-groom@|@cuma@
@bridge@|@jyghI@
@brook@|@goma@
@brother@|@cho-ž@
@brothers' wives@|@qIa-jam-ar@
@bunch@|@cec@
@burdock@|@meg@
@burn@|@q-oka-s@
@butter@|@kamu, xynál@
@buttock@|@xIydyxI@
@button@|@kych@
@calf@|@qyka@
@cane@|@nac@
@caraway@|@cant:araj ješ@
@cat@|@bis:i@
@cattle-shed@|@jica, maxi@
@cauldron@|@kunkum@
@cavern@|@wuqna@
@ceiling@|@qurek@
@ceiling planking@|@rak@
@chaff@|@coqI, naqw@
@charcoal@|@gadyr@
@cheek@|@dan@
@cheese@|@nis:e@
@chin@|@qac@
@choose@|@ghI-a=x:Ia-@
@clean@|@maIt:y-n@
@cliff@|@qul@
@clitoris@|@kachani@
@close@|@gas:an-@
@cloud@|@gumyl'@
@coagulate@|@qlyqla-@
@cock@|@dadal@
@cold@|@mykana@
@collar@|@xIow@
@colostrum@|@da@
@conditional@|@-e, -xe@
@conjunctive@|@-xi@
@copper@|@jux:wa@
@corner@|@wut@
@cornfield@|@nek@
@cow's dung@|@xIyn@
@crow@|@qIan@
@crumb@|@xIywa@
