@English@|@Tujia@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@(enclosure) wall@|@a3pi2@
@(name of person)@|@yi3luo2pai3@
@10 Chinese feet (c.3.3 metres)@|@zang1@
@10 litres (dry measure)@|@po2@
@12-hour period@|@dui2si3@
@12th month of lunar calendar@|@la2ye1@
@1st day of the month (lunar calendar)@|@cu1yi2@
@1st month (in lunar calendar)@|@zeng1ye1@
@23rd day of the 12th month (lunar calendar)@|@ci1bi2@
@a bit quicker@|@kuai2dian1@
@a certain place@|@si1ke1@
@a little@|@-li1, -li1la1di3, -li1lian1di3, dian2, dian2kui1, la1@
@a long while@|@la2xie1@
@a lot@|@hao1duo1, heng1duo1@
@a traditional small flute@|@dong3dong3kui1@
@a traditional Tujia musical entertainment@|@da1liu1zi1@
@a while@|@la1@
@ability@|@beng4si3@
@about@|@ba1, zai2@
@above@|@-sang1@
@achieved@|@-duo3liao3, -za3lie3@
@adjectiviser@|@-ga1ca3, -ga2@
@adult@|@luo4ci1ba1@
@adviser@|@si1ye3@
@after@|@yi1hou2@
@after all@|@dao2di1@
@again@|@zai2@
@age@|@nian3ji3@
@agent@|@duo3@
@agricultural work@|@ai1ka2se1pa2@
@all@|@du1, duo3, yi2si1, yi2xi1@
@all along@|@yi2zi1@
@all right!@|@xing3liao3@
@also@|@bai4, be2, ye1@
@altar candle@|@seng3deng3@
@altar to earth god@|@tu1di2tang3@
@although@|@sui1rang3@
@altogether@|@zong1gong2@
@always@|@hong3huan4, huan2@
@ancestor@|@nie3ti3ge1ti1@
@ancient traditional dance@|@mao3gu3si1@
@ancient Tujia citadel@|@lao1si1ceng3@
@ancient Tujia citadel (near Yongshun)@|@tu1si1ceng3@
@and@|@nie1@
@annals@|@zi2@
@another@|@bie2di1, tuo2ni1@
@anyhow@|@huan3zeng4@
@apex@|@liao1kuo1qi1@
@appearance@|@xiao1huo3zi@
@approximately@|@da2kai1@
@around@|@zou1@
@as a household@|@la1cuo1la1lai1@
@as if@|@hao1qian2@
@as thin as paper@|@zi1zang1zi1bo3@
@at@|@-lie1@
@at night@|@lang3cei1, lang3qi1@
@at that time@|@dang1si3, leng3si3@
@autonomy@|@zi2zi1@
@ba1@|@about@
@back@|@ta1nie1@
@back leg@|@ji3pa2@
@back yard@|@cuo4ni3@
@backbasket@|@bei1luo3, wo3, wo3sa3@
@backwards@|@song1@
@backyard@|@yan3gu2@
@bag@|@luo2tie1@
@'baishouwu' dance@|@se1ba1@
@'baishouwu' temple@|@ye3cuo3@
@bamboo@|@mu4nie3@
