@English@|@Turkish@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@abandon@|@terketmek bırakmak@
@abash@|@utandırmak@
@abbess@|@başrahibe@
@abbey@|@manastır@
@abdicate@|@vazgeçmek istifa etmek@
@abdomen@|@karın karnın altı@
@abduct@|@adam kaçırmak@
@abhorence@|@nefret tiksinti@
@abide@|@kalmak durmak@
@abject@|@alçak sefil@
@abolish@|@kaldırmak iptal etmek@
@abominable@|@iğrenç nefret verici@
@abound@|@bol olma@
@abreast@|@yan yana@
@abridge@|@kısaltma özet@
@abrupt@|@ani sert@
@absence@|@yokluk bulunmayış@
@absolve from@|@beraat ettirmek@
@abstain from@|@çekinmek@
@abuse@|@suistimal kötüye kullanma@
@accent@|@vurgu şive ağız@
@acclimatize@|@alıştırmak@
@accomplice@|@suç ortağı@
@accrue@|@artmak çoğalmak@
@accursed@|@lanetli uğursuz@
@accusation@|@suçlama itham etme@
@accustom@|@alışkın@
@acknowledge@|@kabul etme tanıma@
@acquaint@|@bildirmek tanıtmak@
@acquire@|@elde etmek, kazanmak@
@acute@|@şiddetli keskin akıllı@
@addicted to@|@_e düşgün olmak@
@adjacent@|@komşu bitişik@
@administrator@|@idareci yönetici müdür@
@admirable@|@takdire değer@
@admission@|@itiraf kabul giriş@
@admittedly@|@itiraf edildiği gibi gerçekte@
@admonition@|@ihtar tenbih@
@adopt@|@benimsemek kabul etmek@
@adore@|@çok sevmek tapmak@
@adorn@|@süslemek@
@adroit@|@usta mahir@
@adversary@|@düşman muhalif@
@affectation@|@yapmacık gösteriş@
@affinity@|@yakınlık benzeşme@
@affirm@|@tasdik etmek@
@affix@|@bağlamak takmak@
@affluence@|@bolluk@
@affront@|@hakaret@
@afire@|@tutuşmuş yanan@
@afresh@|@yeniden tekrar@
@afterwards@|@sonradan@
@aggregate@|@toplu bütün toplamak@
@agile@|@çevik faal@
@agony@|@şiddetli acı ızdırap@
@ahead@|@ilerde ileriye@
@aid@|@yardım(etmek)@
@aim@|@hedef amaç nişan@
@alert@|@uyanık dikkatli@
@alight@|@ateş içinde yanan inmek@
@alike@|@benzer aynı@
@aliment@|@yiyecek gıda@
@alimony@|@nafaka@
@all the better@|@daha iyi ya@
@allege@|@ileri sürme iddia@
@alleviate@|@azaltmak@
@alley@|@dar sokak ağaçlıklı yol@
@alliance@|@ittifak birlik@
@allocate@|@bölüştürmek dağıtmak@
@allowance@|@müsaade gelir maaş@
@allude to@|@ima etmek anıştırmak@
@allure@|@çekmek cezbetmek@
@ally@|@müttefik@
@almighty@|@herşeye gücü yeten@
@alms@|@sadaka@
@aloft@|@yukarıda@
@altar@|@kilise mihrabı@
@although@|@bununla_birlikte, gerçi@
@amalgamate@|@karıştırmak bileştirmek@
@amass@|@yığmak toplamak@
@amber@|@kehribar@
@ambiguous@|@belirsiz iki anlamlı@
@ambush@|@pusu(da beklemek)@
@amiable@|@hoş tatlı@
@amicable@|@dostça dostane@
@amiss@|@eksik yanlış bozuk@
@ammunition@|@cephane mühimmat@
@amnesty@|@genel af@
@ample@|@geniş bol@
@amputate@|@kesmek@
@amulet@|@tılsım nazarlık@
@amuse@|@eğlendirmek güldürmek@
@analogy@|@kıyas benzerlik@
@ancestor@|@ata dede@
@anchor@|@çapa gemi demiri(atmak)@
@angle@|@açı köşe, balık tutmak@
@angry at@|@_den dolayı kızmış@
@angry with@|@_e gücenmiş@
@anguish@|@ızdırap keder@
@animosity@|@düşmanlık@
@ankle@|@ayak bileği@
@annex@|@ekleme katma ilhak@
@annihilate@|@yok etmek@
@annotation@|@çıkma dipnot@
@annoy@|@kızdırmak taciz etmek@
@annul@|@yürürlükten kaldırmak@
@ant@|@karınca@
@anthem@|@ilahi milli marş@
@anticipate@|@önceden görmek sezmek bekleme@
@antler@|@geyik boynuzu@
@anyhow@|@her nasılsa her halde@
@apart from@|@_den başka@
@apathetic@|@hissiz ilgisiz@
@aperture@|@aralık delik açık@
@apex@|@zirve tepe@
@apiece@|@her biri, beher@
@apoplexy@|@inme felç@
@apostasy@|@dininden dönme@
@apostle@|@havari misyoner@
@apparent@|@açık belli görünen@
@appeal@|@yalvarma başvurma temyiz@
@appear@|@görünmek meydana çıkmak@
@appease@|@yatıştırmak hafifletmek@
@applause@|@alkış@
@appliance@|@cihaz@
@applicant@|@istekli@
@apportion@|@paylaştırmak@
@appreciate@|@takdir etmek kıymetini anlama@
@apprehend@|@yakalamak tutuklamak anlamak@
@apprehensive@|@çabuk kavrayan korkan@
@apprentice@|@çırak stajyer@
@appropriate@|@uygun münasip tahsis ayırma@
@approval@|@beğenme uygun görme@
@apron@|@önlük@
@apt@|@uygun yerinde@
@aptitude@|@yetenek eğilim@
@arbitrary@|@keyfi@
@arch@|@cilveli açıkgöz, kemer tak@
@archaic@|@eskimiş eski@
@archer@|@okçu@
@ardent@|@ateşli heyecanlı@
@argue@|@ispat tartışma münakaşa@
@arid@|@kurak çorak@
@arise from@|@(_den)kalkmak çıkmak doğmak@
@ark@|@tahta sandık@
@armament@|@silahlanma@
@armistice@|@ateşkes@
@armpit@|@koltukaltı@
@arouse@|@uyandırmak canlandırmak@
@arrears@|@geri kalan(ödenmemiş borç)@
@arrest@|@tutuklama durdurma@
@arrogance@|@kibir gurur@
@arson@|@kundakçılık@
@artful@|@kurnaz@
@artificial@|@suni yapay@
@artillery@|@topçuluk@
@artless@|@doğal saf sade@
@as late as@|@ancak artık@
@as well as@|@gibi@
@ascend@|@çıkmak tırmanmak@
@ascendancy@|@üstünlük nüfuz@
@ascertain@|@soruşturmak öğrenmek@
@ascribe@|@affetmek@
@ashcan@|@çöp tenekesi@
@aspect@|@görüş görünüş@
@aspire to@|@arzu etmek istemek@
@assail@|@saldırı hücum@
@assassin@|@katil@
@assassination@|@suikast@
@assault@|@saldırı taarruz@
@assemble@|@toplamak birleştirmek kurmak@
@assent@|@kabul onama@
@assess@|@değer biçmek takdir etmek@
@assiduous@|@çalışkan gayretli@
@assign@|@ayırmak tahsis etmek@
@assignment@|@tayin atama@
@assimilate to@|@_e benzetmek uydurmak@
@associate@|@birleştirmek ortaklık@
@assorted@|@çeşitli@
@assumption@|@üstüne alma zan kibir@
@assure@|@söz vermek sigorta etmek@
@astonish@|@şaşırtmak hayrete düşmek@
@astute@|@kurnaz zeki@
@asunder@|@ayrı ayrılmış@
@asylum@|@sığınak barınak@
@at best@|@olsa olsa@
@atone for@|@telafi etmek gönlünü almak@
@attain to@|@varmak yetişmek@
@attend@|@hazır bulunmak refakat@
@attendance@|@bakım hizmet@
@attitude@|@tavır davranış@
@attribute@|@sıfat özellik simge@
@auction@|@artırma ile satış mezat@
@audible@|@işitilebilir@
@augment@|@art(ır)mak@
@auxiliary@|@yardımcı@
@avail@|@faydalı,yararlı olmak@
@avarice@|@hırs tamah@
@avenge@|@öc almak@
@averse@|@muhalif karşıt@
@aviation@|@havacılık@
@avow@|@itiraf etme kabul etme@
@aware@|@bilmek farkında olmak@
@awe@|@korku sakınma@
@awkward@|@beceriksiz biçimsiz sıkıntılı@
@awry@|@eğri yan ters@
@babble@|@saçmalamak@
@bachelor@|@bekar@
@backbite@|@iftira@
@bacon@|@domuz pastırması@
@badge@|@nişan rozet@
@baffle@|@şaşırtma bozma@
@bail@|@kefalet@
@bait@|@yem@
@bakery@|@fırın ekmekçi@
@bald@|@kel@
@balk@|@kiriş engel kaçırma@
@ballot@|@oy(vermek)@
@balustrade@|@trabzan korkuluk@
@ban@|@yasak(lamak)@
@banish@|@sürgün@
@banisters@|@trabzan korkuluk@
@bankrupt@|@iflasetmiş@
@banquet@|@şölen ziyafet@
