@English@|@Tutchone (Northern)@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a mushroom is growing@|@dlay nji neji@
@ant@|@dajyal@
@are they laughing together?@|@lehi hedlawa?@
@are you cold?@|@hindlia?@
@are you hungry?@|@dinmbada?@
@arm@|@ugal@
@at eldred's home@|@eldred uku zhat@
@at last it is night@|@tl'aku tenru hutsin@
@at last i've made the bannock@|@tl'aku lyoch'o hitsin@
@baby@|@dunen, dunen zra@
@baby rabbit@|@ge zra@
@bannock@|@lyoch'o@
@be quiet@|@tsen@
@bear@|@sra@
@beaver@|@tse@
@big@|@cho@
@bird@|@dzua@
@black@|@denet'ro@
@black bears@|@sra denet'ro@
@blanket@|@ts'at@
@blue@|@denintl'rum@
@boy@|@dek'ana@
@branches@|@dintth'in@
@brown@|@dettho@
@bull moose@|@denjik@
@bullets@|@tthi@
@butterfly@|@lala@
@cane@|@to@
@caribou@|@hudsi@
@chest@|@udzedhel@
@child@|@dunen@
@christmas day@|@najan cho@
@clothes@|@nde@
@clouds@|@k'o@
@come here@|@ani@
@cow moose@|@dezra@
@cranberry@|@gukhyo, intl'at@
@crawling@|@anaju@
@creek@|@tagia@
@crying@|@etsay@
@cup@|@k'uk'a@
@day@|@dzenu@
@do you have firewood?@|@tso inch'ina?@
@do you have matches?@|@tl'yal inch'ina?@
@do you hear me?@|@sedintth'aya?@
@do you see any sheep?@|@mbay nin'ina?@
@do you see any wolves?@|@egay nin'ina?@
@do you speak native language?@|@dan ki huninjia?@
@do you undestand native lang.@|@dan dintth'aya?@
@do you want fish?@|@lu yenindhana?@
@do you want soup?@|@tedaw yeenindhana ek'e?@
@do you want tea?@|@di nindhana?@
@do you want water?@|@chu nindhana?@
@dog@|@tlin@
@dog is sitting in the house@|@tlin dekum hut'at hede@
@dog is sitting on the house@|@tlin dekun huka hede@
@dog is sleeping on the rug@|@tlin k'e tya kah shenetin, udlin tya' kak senetin@
@dog's sitting behind the house@|@tlin dekum hut'a hede@
@dog's sitting beside the house@|@tlin dekum huma hede@
@dog's sitting in front of home@|@tlin dekum hudan dede@
@dog's sitting under the house@|@tlin dekum hut'e hede@
@don't@|@law@
@duck@|@chat@
@ear@|@nindzay@
@enough@|@tl'aku@
@eye@|@enda@
@face@|@enin@
@father@|@ete@
@firewood@|@tso@
@fish@|@lu@
@five@|@hulak'o@
@fly@|@ts'o@
@flying@|@aanet'e@
@foot@|@ninki@
@fork@|@syal@
@four@|@leninch'i@
@fox@|@nutthi@
@frying pan@|@kagan@
@girl@|@eyenjyala@
