@English@|@Tutchone (Southern)@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@aishihik girl@|@asheyi ghajela@
@ant@|@dajel@
@april@|@sal zhra@
@are you cold?@|@indlia?@
@are you hungry?@|@dimada?@
@arm@|@ugal, uzeddhel@
@at home@|@ku yu@
@august@|@nanethan zhra@
@axe@|@shakhwa, shawkha@
@baby@|@bibia@
@bannock@|@sunen ch'u@
@be quiet!@|@sen!@
@beaver@|@sa@
@big@|@shaw@
@big lake freeze-up@|@man tan shaw@
@black@|@janech'ur@
@black bears@|@shar zhi@
@blanket@|@ts'at@
@boy@|@dek'ana@
@branches@|@ditth'i@
@brother@|@anaya@
@brown@|@jenthyu@
@bullets@|@the, tthe@
@bush@|@kwata@
@butterfly@|@gwala@
@cane@|@tu@
@child@|@dunen, dunen ghra, dunena@
@christmas day@|@dekenkaw zenu, ut'akwadinch'e zenu@
@clouds@|@k'u@
@cloudy@|@k'u@
@come here@|@n-da, nda@
@creek@|@tagaya@
@cup@|@guk'a@
@daytime@|@dzemu@
@december@|@unan taatlay zhra@
@digger is asleep on the rug@|@digger t'akay nechi@
@do you guys understand me?@|@shajanatth'aa?@
@do you have firewood?@|@sur ninch'ia?@
@do you have matches?@|@tl'el n-ch'ia?@
@do you know?@|@uyenjia?@
@do you see any sheep?@|@ak'a mbay ni'i?, may ni'ia?@
@do you see any wolves?@|@agay n'ia?, ak'a agay ni'i?@
@do you speak native language?@|@dan k'e kwinjea?@
@do you understand tutchone?@|@dan janttha'aa?@
@do you want fish?@|@lu yannlia?@
@do you want tea?@|@di yanlia?@
@do you want water?@|@chu yanlia?@
@dog@|@tli@
@dog is sitting in its house@|@tli deku t'at eda@
@dog is sitting on its house@|@tli deku kay eda@
@dog is sitting under house@|@tli deku t'ay eda@
@dog's sitting beside its house@|@tli deku kwak'u eda@
@don't understand it very well@|@aju shawthan dan janitth'a@
@drink it@|@nda'@
@dry meat@|@athan gan@
@duck@|@chut@
@eagle@|@thay@
@ear@|@azay@
@eat@|@ntthu@
@enough@|@tl'aku@
@eye@|@anday@
@face@|@ani@
@father@|@ata@
@february@|@thay zhra@
@fire is burning really good@|@kwan sothan dik'a@
@firewood@|@sur@
@fish@|@lu@
@fish camp@|@lu ts'agan yu@
@flowers@|@nakhela@
@fly@|@ts'ur@
@foot@|@ake@
@girl@|@aghajela@
@give me the baby@|@bibia aghanche@
@give me the blanket@|@ts'at aghannshu@
@give me the bullets@|@gunk'a tthe aghanle@
@give me the dog@|@tli aghanche@
@give me the gun@|@gunk'a aghanchi@
