@English@|@Tuvaluan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@125@|@se lau lua ngafulu ma lima@
@a direction@|@take@
@a good canoe@|@se vaka lelei@
@a stick@|@Te lakau@
@A very big man indeed@|@Te tangata tomua i te lasi@
@a village@|@fakakai@
@about what?@|@Ki te a?@
@above@|@lunga, maua, maualunga, naua lunga@
@all@|@katoa@
@an@|@a, se@
@and@|@maa, mo@
@at@|@a, ana, i@
@at what time?@|@a fea?@
@at what time? (past)@|@ana fea?@
@belly@|@alo, kona, koopuu, manava@
@below@|@lalo@
@big@|@lahi@
@bird@|@manu lele@
@blood@|@toto@
@boar@|@puaka tangata@
@bone@|@ivi@
@branch@|@aakau, laalaa@
@breast@|@uu@
@bring me a drinking nut for me@|@Aumai se pi maku@
@bring me a green coconut@|@Aumai se pi moku inu ake@
@Bring me a piece of pearl shel@|@Aumai se potu tifa@
@child@|@tamaliki@
@cold@|@moko, mokotia@
@correct@|@tonu@
@daughter@|@tamafine@
@day@|@aho, ao@
@dirty@|@palapala@
@dog@|@kulii@
@don't give...@|@Sa tuku@
@Don't touch me there!@|@Se puke aku!@
@dry@|@maloo@
@dust@|@efu, pa@
@E a ai lakau konei?@|@Whose is the stick?@
@E oti mafea?@|@when will it be finished?@
@E vau a fea tou taina?@|@when is your sister coming?@
@each separately@|@Takitasi@
@ear@|@taliga@
@earth@|@kele@
@egg@|@fua@
@eight@|@valu, valu@
@eleven@|@angafulu ma tasi, sefulu tasi@
@every single child@|@Tamaliki takitokotasi@
@eye@|@mata@
@far@|@mama`o@
@fat@|@hinu@
@father@|@tama, tana@
@feather@|@fulu@
@female@|@-fine, fafine@
@fire@|@afi@
@fisk@|@ika@
@five@|@lima@
@for@|@ma, mo@
@for Penaia@|@Mo Penaia@
@for the comparative degree@|@aka, ake, atu@
@for the superlative degree@|@ki, sili, tomua@
@for what is that house?@|@Mo a te fale na?@
@for what?@|@I te a?, Mo a?, mo te a?@
@four@|@fa, faa@
@fourty@|@fa ngafulu@
@from@|@mai@
@from upon@|@mai lunga i@
@fruit@|@fua@
@full@|@nui@
@give@|@Tuku@
@give it to him@|@Tuku ki a ia@
@Give it to Penaia@|@Tuku ki a Penaia@
@grass@|@mauku@
@green@|@moto@
@growth@|@tupunga@
@hair@|@fulu, lauulu@
@hand@|@lima@
@have you a paddle there?@|@E isi sau foe na?@
@have you come?@|@Ko vau koe?@
@he@|@ia@
@he gave@|@Ne tuku ne ia@
@he gives@|@A ia ko tuku, E tuku ne ia@
