@English@|@Tuvin@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old elk@|@tohdu, toš@
@2 wave@|@chalhyjaq@
@a 2-year-old maral@|@sara-daq@
@a castrated camel@|@adan@
@a k. of buckwheat@|@ürgene@
@a k. of falcon@|@sary@
@a k. of millet@|@xö-tarä@
@a k. of salmon@|@bel@
@a little@|@as@
@a pinch@|@šymchym@
@a producent reindeer@|@chary@
@acacia@|@qarahan, xarahan@
@acid@|@ažyh@
@acolyte@|@šavy@
@additionally@|@dä@
@adze@|@keržek@
@after@|@sö, song@
@age@|@chylhy, öj@
@air@|@agaar@
@alarmed@|@yndynnyh@
@alive@|@dirig@
@also@|@bile@
@an ending of the 2d person@|@-ng@
@and@|@baza, bile, bolgash@
@angel@|@angel@
@anger@|@ö'kpe, ökpe, öš@
@animal@|@amitan, mal@
@animal body@|@qong@
@announcement@|@char@
@ant@|@kymyskaiak, qymysqajaq@
@antelope@|@chëren@
@apple@|@iablok@
@aquila fulva@|@bürgüt@
@area covered with stones@|@saaryh@
@arm@|@xol@
@armour@|@qujaq@
@around@|@xaj-@
@arrol@|@sogyn@
@arrow@|@o'q@
@arrow head@|@sohun@
@as well@|@baza@
@ash@|@iïba, xÿl@
@ashes@|@xoq, xül@
@asp tree@|@šarlan@
@attack@|@xunä-@
@aunt@|@ava@
@autumn@|@küs, kÿs@
@awl@|@bis@
@axe@|@ba'ldy, baldy, sÿge@
@back@|@a'rt, sirt@
@bad influence@|@saldar@
@badger@|@morzuq@
@bag@|@chanchyq@
@bald@|@tas@
@barb of the fish-fork hook@|@atqaq@
@bark@|@chövüree@
@barley@|@arbai, köje@
@barrel@|@täqtyg@
@barren cow@|@qyzyr@
@barren mare@|@qyzyraq@
@basket@|@ügek@
@bat@|@cha'sqy@
@bay@|@sep@
@be frozen@|@dong-@
@be in doubt@|@aläq-@
@be lazy@|@chažy-@
@beak@|@dumchuq, xäj@
@bear@|@adig@
@beard@|@segel sali@
@become old@|@myny-@
@become pale@|@ong-@
@bed@|@orun@
@bee@|@ari, ary, hary@
@beer@|@pivo@
@bellows@|@xörük@
@belly@|@i'žin, xyryn@
@belt@|@qur@
@belt for fastening loads@|@södürge@
@big@|@ulug, uluh@
@big needle@|@tevene@
@bind feet@|@xülü-@
@birch bark@|@tos@
@birch tree@|@xadyng@
@bird@|@kuš, qu'š@
@bird's breast@|@böksek@
@black@|@kara, qara@
@black-cock@|@kürtü@
@blanket@|@chörhan@
@blood@|@xan@
@blue@|@kök@
@boar@|@xavan@
