@English@|@Ubykh@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a certain young man@|@zanaynshwgwara@
@a demonstrative stem@|@-da, -da, a-, aj-da, jä-, n-@
@a heap of sheaves@|@qIabIá@
@a k. of thorny bush@|@marär-mädzä@
@a laugh@|@shwacha@
@a man@|@tät@
@a ram slaughtered@|@nächä'@
@accompany@|@k'adá@
@adject. approximative@|@-qwa@
@an interrogative stem@|@da-, dra-@
@annoy@|@swä'q'a@
@ant@|@z'ängwá@
@anus@|@pša@
@any musical instrument@|@twanä@
@apple@|@m'a@
@approach@|@q'a-dzä-@
@arable field@|@txwa@
@armpit@|@näqI@
@army@|@La@
@arrow@|@ša@
@as much@|@g'a:fä'@
@ashes@|@txwa@
@attain@|@La@
@baby@|@nanáw@
@bake@|@žwa-@
@barefoot@|@Lapc'ä'@
@barley@|@xwa@
@barrel@|@swandä-r@
@basket@|@bächä'@
@be@|@-tw-, -twä-@
@be quiet@|@qIwäz@
@bear@|@mäšwá@
@beaver@|@c'aca@
@become@|@šä-@
@bee@|@dz'adz'@
@belly@|@näkwä@
@berad@|@ahzk'á@
@better@|@chal@
@between@|@bLa-@
@big@|@gädza@
@bird@|@rwändwä rwädwä@
@birth@|@ghIäLa@
@bitch@|@qabzä'@
@black@|@ža@
@blood@|@La@
@blue@|@ghIa-qá@
@body hair@|@q'Iwä@
@book@|@šwäq'á@
@bosom@|@mäqá@
@bottom@|@-ca@
@box@|@cha@
@bravery@|@tL'äghá@
@bread@|@swä-bIa@
@breath@|@bäwa@
@breathe@|@psá-xwä-@
@bride@|@sasa@
@bride(groom)@|@shasha@
@broach@|@gh'agh'ä'@
@brother@|@žä-Lá@
@brother-in-law@|@sha'qwa@
@brow@|@ch'afá@
@bull@|@cwä@
@bullet@|@sha@
@bunch@|@cwäkwá@
@burn@|@ca-@
@burrow@|@ghwa@
@by means of@|@awn, awnä@
@by side of@|@dza-@
@calf@|@laq'ä'@
@calf of leg@|@La-gáca@
@call@|@mä'sa@
@cane@|@pqácha@
@cap@|@bIaq'Iä'@
@cat@|@gatä@
@catch@|@qwa-@
@cattle enclosure@|@dza@
@Caucasian hat@|@b'aq'ä'@
@cauldron@|@dza:pxa@
@causative@|@d-, gha-@
@cavern@|@qIwa@
@chest@|@pLä-fá@
@child@|@mäzä@
@chin@|@dzámra@
@class marker in participles@|@d-@
@claw@|@-žwa@
@clean@|@pca@
@cloud@|@šawädá@
@cock@|@táqa@
@cold@|@chä@
@conceal@|@wadz'á, wandz'á@
@conditional suffix@|@-ba@
