@English@|@Udi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a deictic emphatic stem@|@ha-ke, ha-me@
@a prohibitive particle@|@ma@
@a thin round stone@|@bachI@
@A torturing fire@|@sa zulum arux@
@ablative@|@-xo@
@above@|@ala@
@Adam's apple@|@xirtäj@
@adessive@|@-s-t:a@
@allative@|@-ch:@
@anger@|@xuj@
@answer@|@dzugab@
@ant@|@iz-ak:@
@apple@|@eIš@
@arc@|@k:int:i, kinti@
@ashes@|@iq:@
@ass@|@elem@
@at home@|@k'ua@
@bare@|@k:ach:i-n@
@barley@|@mu@
@barrel@|@k:ud@
@bear@|@bix-sun, šuje@
@beard@|@k:azh-ux@
@become@|@bak-e-ne-i@
@bed@|@mas@
@behind@|@qo-š@
@belly@|@buq:un@
@below@|@oq:a@
@bent@|@k:och:I@
@besom@|@mugul@
@big@|@kala@
@black@|@maIjin@
@blood@|@p:i@
@boar@|@boq:I@
@bone@|@uq:Iejn@
@boy who stands there is blind@|@t'ya churp-i ghar k'ach'i-ne@
@brain@|@maI@
@bread@|@sum@
@brother@|@wichi@
@bunch@|@ghuma@
@burn@|@bok:-sun@
@butter@|@ch:äin@
@butterfly@|@päpäläk@
@buttermilk@|@naq:@
@by stealth@|@muq:in@
@cake@|@k:ok:oli@
@called@|@k'alpi@
@carry@|@axa-jesun@
@cat@|@piši-k:@
@cattle@|@bele@
@causative@|@-nk, -nkena@
@chaff@|@neq@
@character@|@qe.le.g@
@clear sky@|@much:ur@
@cloud@|@haso@
@cock@|@dadal@
@cold@|@chax, mi, sori@
@color@|@gon@
@colostrum@|@chIain@
@comb@|@ox@
@coming@|@egha-lo@
@comitative@|@-xo-l@
@conjunctive@|@-q:a-n@
@corner@|@dündzh@
@cow@|@chur@
@crow@|@ghIaina@
@darkness@|@b-eIinq:@
@dative@|@-a, -e, -o, -x@
@dawn@|@kaj@
@day@|@ghi@
@deer@|@muq:I@
@demonstrative pronoun@|@me@
@denominative nominal@|@-en, -la, -pun, -pun, -un@
@dense@|@b-ochIu, ghaIm@
@deverbative nominal@|@-i@
@dew@|@xo@
@dirt@|@ch:em, ochIi@
@disrupted@|@ze.g@
@dog@|@xa', xIa@
@done@|@bi@
@donkey@|@eghelen@
@dream@|@nep:@
@drinking@|@u'ghsa@
@drop@|@k:at:@
@dry@|@q:ari@
@dung@|@paIp@
@eagle-owl@|@c:iIlghiIt@
@ear@|@imux@
@ear and stalk@|@šIum@
@earth@|@ochIal@
@eat@|@ukes@
@egg@|@qoqla@
@eight@|@mugh@
