@English@|@Udmurt@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a certain quantity@|@kwa-mën, kwa-min, kwa-mïn@
@a certain time@|@chož@
@a curved body part@|@miš, mišk-@
@a k. of animal@|@chunë, chuni@
@a k. of berry@|@molë, muli, mulï, palez, palež@
@a k. of bird@|@cúlco, kïj-kaj@
@a k. of disease@|@miž, mïž@
@a k. of duck@|@suli, sulì, vaci, vati@
@a k. of fir-tree@|@nël-pë, nil-pu, nïl-pu, nules@
@a k. of fish@|@karei, paja, son, son-chorig@
@a k. of metal@|@kärtni-waž, ši-waž, ši-wož@
@a k. of mushroom@|@pangk, pangx, pangxät-, pongk pangkäl-@
@a k. of pallet@|@jijol, jižol, jižow, žëžol@
@a k. of plant@|@gïzen-pu, guzem-pu, guzem-pu, gužem-pu, zer, zir@
@a k. of thin meal@|@šëd, šid, šïd@
@a k. of tree@|@kipi, kïpï, sir-pu@
@a k. of vessel@|@dúz@
@a k. of vessel made of birch@|@langes, langez@
@a k. of wild duck@|@gurdo chež, kwasi, suk gurdo@
@a k. of willow@|@bad-pu@
@a k. of woodpecker@|@kir@
@a large animal@|@val@
@a musical instrument@|@kërez, kirej, krez@
@a small fly@|@nimi@
@alder@|@lul-pu@
@already@|@ni@
@an onion-like plant@|@kumiz, kumiz'@
@annual ring@|@si@
@ant@|@kujili, kut, kuzili@
@armpit@|@kunël, kunul@
@arrow@|@pukëš, pukich, pukiš@
@arrow with a blunt tip@|@pukïch@
@ashes@|@pen, penm-, penmal-@
@asp@|@pi-pë, pi-pu@
@autumn@|@sizel, sizil, sizïl@
@axe@|@tiš, tišk-@
@axle@|@vaiž, vajij, vajiž, vajïž, vajj, vajž, važ@
@bald@|@kuš@
@bark@|@chärnä, chärnä, chärnä, kir, ku, kur, sal@
@barley@|@chužjem@
@basket@|@kudo@
@be slippery@|@nël, nel-, nëlal-, nëld-, nilal-, nild-@
@be suffocated@|@ped-, pedi-@
@be torn@|@kuakal-, kvakal-, kwachkal-, kwachkat-@
@beaver@|@mij, mïj, miji@
@become@|@vël-, vil-, vili-@
@bee@|@muš, múš@
@behind@|@ber@
@belly@|@ket, kot@
@bend@|@cukges@
@bent@|@kichil@
@berry@|@uzë, uzi, uzï@
@birch bark@|@tuj, túj, tujis@
@birch tree@|@këch-pë, kich-pë, kij-pu, kis-pë, kiz-pu@
@birdcherry@|@lem, lom@
@bitter@|@keš, kurit, kurït@
@black@|@sin-, sinomi-, sïnomï-@
@black-cock@|@tur@
@blackjack@|@nuchï, nušë, nuši@
