@English@|@Uyghur@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@15 divided by3 equals 5@|@15ni 3ke bolsek 5 bolidu@
@1-year-old kid@|@chivich@
@2 dollar and 50 cents@|@Ikki som ellik tiyin@
@2 kilometers@|@2 kilometir arlikhta@
@3 days ago@|@üq kündin burun@
@A barking dog doesn't bite!@|@Kavxighan ixt qixlimes@
@a cross-bred horse@|@ahun, arhun@
@a few hundred@|@yüzler@
@a fried chicken leg@|@bir toho putini ghizalidim@
@a k. of berry@|@bölžügän, bölžürgän@
@a k. of cloak@|@chapan@
@a k. of grass@|@buja, jekän@
@a k. of musical instrument@|@qowuz@
@a k. of upper clothes@|@bel-qers, chäkmän, qol-qers@
@a little@|@az, azrakh bilimen@
@a lot of friends@|@nurghun dostlirim bar@
@A lovely day; isn't it?@|@Gulzel kun boldi; xundakhmu?@
@a measure of capacity@|@küre@
@a pen like yours@|@khelimingdek@
@a pinch@|@chymdim@
@A small glass of whisky@|@Wiskidin bir romka ekiling@
@abandon@|@qoj-@
@abdomen@|@kherin, khosakh@
@about 100@|@yüzqe@
@About 15 minutes@|@Belkim 15 minut@
@About 2 kilometers away@|@2 kilomitirdek yirakhlikhta@
@about 60@|@atmix etrapida@
@about age@|@yax toghrisida@
@About Belongings@|@Moluk Toghrisida@
@About Dates@|@Kun Toghrisida@
@About Introduction@|@Tonuxturux@
@About Language@|@Til Toghrisida@
@About Marriage@|@Toy khilix toghrisida@
@about music and literature@|@muzika ve edibiyat toghrisida@
@About Visits@|@Yohlax Toghrisida@
@above@|@juqari, ör@
@Absolutely right@|@Qukhum toghra@
@addition@|@sep@
@additionally@|@texi@
@adze@|@keke, kerke@
@afraid@|@äjmän-@
@after@|@song@
@After you@|@Sizdin kelsun@
@afternoon@|@qüxtin keyin@
@again@|@jana@
@age@|@žilqa, žilqi, žiqa@
@agriculture@|@dëhkhanqilikh@
@air@|@hawa@
@alive@|@tirik@
@all@|@barichä@
@All right@|@Bolidu@
@all the way home@|@öygiqe@
@alligator@|@timsakh@
@Allow me@|@Men khilayqu@
@almonds@|@badam@
@also@|@bilän@
@America is the land of freedom@|@Amerika erkin zimin@
@an ending of the 2d person@|@-ng@
@ancient@|@eski, öski@
@and@|@we@
@And she?@|@Uqu?@
@And You?@|@siz chu ?@
@angel@|@perishte@
@anger@|@öch, öpkä@
@animal@|@hayvan@
@animal's hair@|@tük@
@ankle@|@ayakh biligi@
@ankle joint@|@ošuq@
@ankle-bone@|@topuq@
@announcement@|@žar@
