@English@|@Uzbek@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10 to 15@|@o'n-o'n beshta@
@100000@|@Bir yuz ming@
@16 kg. weight@|@pud@
@2.250@|@Ikki ming ikki yuz ellik@
@4601@|@qirq ming olti yuz bir@
@a bird of prey@|@itälgü@
@a bride's arrival@|@kelintushdi@
@a charitable fund@|@Navro'z@
@a cloven hoof@|@sihraq@
@A hundred and two@|@Bir yuz ikki@
@a k. of cloak@|@chopon@
@a k. of duck@|@torhoq@
@a k. of falcon@|@sor@
@a k. of grass@|@jäkän, mija@
@a k. of musical@|@qubiz@
@a k. of reed@|@qoha@
@a k. of short coat@|@želäk@
@a k. of upper clothes@|@chakmon@
@a light textured bread@|@gijda@
@a little@|@biroz, oz-moz, ozgina@
@a man who excavates@|@quzuvchi@
@a man's wife's younger sister@|@boldiz@
@a mass of hair or wool@|@žabiqa@
@a pinch@|@chimdi-m@
@a prize in horse-race@|@bajraq, pajgä@
@a small yellow plum@|@tog'olcha@
@a white-eyed dunbird@|@chahir-qanot, chahir-qanot@
@a wish@|@tilak@
@a.k.ok weasel@|@as@
@abandon@|@qoj-@
@abhor@|@jirgän-, žirgen-@
@about@|@haqida@
@above@|@juqori, or@
@absolutely@|@tim@
@absolutely dark@|@tim qora@
@acacia@|@qorohon@
@ache@|@og'ri@
@acid@|@achchi, ochchi@
@add to@|@daq-, taq-@
@adhere@|@yuq@
@afraid@|@ijmän-@
@after@|@keyin, song@
@after becoming accustomed@|@ko'nikkach@
@after lighting@|@yoqqach@
@again@|@jana, tahin, yana@
@age@|@jilqi@
@agronomist@|@agronom@
@ah@|@ufff@
@alive@|@tirik@
@alkaloid@|@alkoloid@
@all@|@boricha, hamma, har, top, top@
@all of this@|@hamma-hammasi@
@all right@|@Mayli@
@almond shaped eyes@|@bodomqovoq@
@also@|@bilan, ham@
@alum@|@achiqtosh@
@aluminum@|@aluminiy@
@always@|@doim, hamma vaqt@
@Am I well?@|@Men yaxshimanmi?@
@an earthenware dish@|@tahar@
@an ending of the 2d person@|@-ng@
@an opera@|@Dilorom@
@ancient@|@eski@
@and@|@va@
@and you?@|@sen-chi@
@anger@|@och, opka@
@angle@|@mujuš, mujyš@
@animal pen@|@molqo'ra@
@ankle-bone@|@topiq@
@anniversary@|@yubiley@
@announcement@|@e'lon, žar, žar@
@answer@|@javob@
@ant@|@chumoli, qumursqa@
@any longer@|@borgan sari@
@aorta@|@aorta@
@apricot@|@o'rik, orik, orik@
@aquila fulva@|@burgut@
@architect@|@me'mor@
