@English@|@Venetian@
@Author name@|@Bruce Olby@
@Font@|@Arial\12\Arial\12@
@a bad fall@|@ramenón@
@a bit that juts out from a building such as a porc@|@protiro@
@a group@|@scàpo@
@a little@|@fhià, scànta@
@a lot@|@pasto@
@a nice small female cat@|@na bea gatea@
@a nice small male cat@|@un bel gatel@
@a type of helmet@|@morione@
@after a canal that once went through the area behi@|@Birri@
@already@|@inxamò, xa@
@also a scam@|@marón@
@ambassador@|@bailo@
@amber@|@anbra@
@angel@|@anzolo@
@annoying person@|@petenè£a@
@anoint@|@ónxar@
@anyway@|@instéso@
@apothecary@|@spezieria@
@Arab chief@|@gaffer@
@arch or vault@|@volto@
@armourers@|@corazzieri@
@arrow@|@frìxa@
@arrow makers@|@frecce, frezze@
@asphalt@|@ludrón@
@astrologer@|@strologo@
@autentic@|@scéto@
@bad corner@|@malcanton@
@baker@|@pistor@
@ball@|@bala, baloni@
@barber@|@barbier@
@barely@|@indomè@
@barrel maker@|@boter@
@barrel-makers@|@botteri@
@barrow@|@cariole@
@be in a confusion@|@confóndar@
@beadle@|@nonzolo@
@beak@|@bèko@
@beams laid across boats or gondolas@|@trasti@
@bear@|@orso@
@beard@|@barba@
@beauty@|@bela@
@behind@|@drìo@
@believe@|@crédar@
@bellows@|@màntexa@
@belts@|@corregge@
@beret makers@|@baretteri@
@besides@|@intrà@
@between@|@mèdho, mèxo@
@big nose@|@nasòpia@
@biscuit@|@pandò£o@
@blacksmith@|@favri@
@blanket maker@|@coltri@
@blind@|@òrbo@
@boat@|@batelo@
@book of regulations@|@mariegole@
@boot@|@stivaleto@
@borrowings@|@inprèstiti@
@bottle-makers@|@bottiglieri@
@bottom of bottle@|@patùgo@
@bowl@|@scuela@
@box (in a theatre)@|@lalaj@
@braider@|@passamanere@
@brandy merchants@|@acquavitai@
@brass@|@£atón@
@bread shop@|@panataria@
@broken@|@xlòso@
@broom@|@skóa@
@brotherhoods@|@fraglie, frataglie, fratellanze@
@bunch@|@ròso@
@burned (a fire broke out here)@|@brusa@
@bush@|@gavàso@
@butcher@|@beccaio, masìn@
@buttress sticking out over the pavement@|@barbacani@
@by now@|@indormài@
@cage@|@cheba, kèba@
@caliph@|@gaffer@
@canal@|@canalem@
@canal that drives a water mill@|@bierum, biria@
@candies@|@£ekési@
@candle makers shop@|@cereria@
@canvas vendor@|@telariol@
@capuchin nuns@|@capuzine@
@card (type of wire brush)@|@garzo@
@carders@|@garzoti@
@carpenter@|@marangón@
@carriages@|@carozze@
@cat@|@gate@
@catch@|@brinkàre@
@caulkers@|@calafati@
@chair@|@caréga@
@charcoal@|@brónsa, carbon@
@chart or chariot@|@carro@
@cheek@|@papòta@
@cheese@|@caserie, fhormàyo@
@cheese market@|@casaria@
@cheese-makers@|@casari@
@chew with the mouth open@|@cupegàre@
@child@|@putè£o@
@chin@|@xbéso£a@
@church servant@|@nonzolo@
@circular piece of art@|@tondo@
@clean@|@netar@
@close@|@rénte@
@closed@|@sarà@
@cloth covering gondola cabins@|@rascia, rassa@
@clumsy@|@sakanhón@
@cobblers shop@|@zavater@
@cockroach@|@kefàro@
@cold@|@frédha@
@colt@|@puliéro@
@column@|@colone@
@confraternities@|@fraglie, frataglie@
@coppersmith@|@caldere@
@corn@|@muneghe@
@cotton@|@bambace, bonbaxón@
@cotton sellers@|@bombasseri@
@craftsmen who polished ir@|@lustraferre@
@cramp@|@xgrànfho@
@crate maker@|@casseller@
@crossing of several calles@|@crosera@
@crucifix@|@cristi@
@crum@|@frégo£a@
@curves on a road@|@bisabòbo£e@
@dad@|@popà@
@dandelion@|@pisakàn@
@diamond worker@|@diamanteri@
@ditch@|@fossa@
@donkey@|@muso@
@doorstep@|@ùso@
@down@|@dhó@
@drain@|@gorne@
@dried chestnut@|@kistìnkene@
@drink@|@bévar@
@drop@|@jósa@
@dumb@|@òko, senpioldo@
@dung@|@luàme@
@dyers@|@tintori@
@eagle@|@£agùia@
@eighteen@|@dixdòto@
@elbow@|@gunbio@
@elder tree@|@jéo£o@
@empty stomach@|@xlangorìo@
@enchanted@|@inmagàrse@
@enclosed garden@|@brolo@
@evil@|@biastema@
@example@|@exénpio@
@exclamation@|@cò@
@faded@|@xmarìo@
@fake egg to put on hen's nest@|@ìndese@
@fat person@|@pantasón@
@father@|@pare@
@father in law@|@sànto£o@
@feel@|@sentir@
@female pig@|@luya@
@fencing@|@scherma@
@ferry@|@traghetto@
@filthy@|@ludro@
@finger@|@déo@
@finger nail@|@ónja@
@finish@|@finir@
@fireflies@|@cicendelae@
@flabby@|@òfhio@
@flea@|@pólde@
@footprint@|@pèka@
@fork@|@pirón@
@fox@|@bólpe@
@Friday@|@vènare@
@fruit seller@|@frutariol@
@full@|@pien, xjónfo@
@funeral@|@òbito@
@funnels@|@pirie@
@gate@|@gatàro@
@George@|@Dhòrdhi@
@gerbil@|@nanarè£a@
@german@|@dhermàn@
@gilder@|@indorador@
@glass@|@gòto@
@glass bead make@|@margaritera@
@glass bead stringers@|@impiraresse@
@goat@|@béko@
@goats@|@bechi@
@goblet@|@calice@
@goblin@|@salbanè£o@
@goldsmiths@|@aurifices, orefici@
@gondola yard@|@squero@
@gossiper@|@xbétega@
@grapes@|@ùa@
@grungy@|@xlamegón@
@gums@|@dhandhìvi@
@gun@|@scòpo@
@gutter@|@górna@
@hard strike@|@xìxo£a@
@harrow -farm utensile@|@scavìna@
@hat shop@|@capelera@
@he cries@|@El pianze@
@he is@|@El xe@
@hedge@|@scéve@
@hemorrhoids@|@maruè£e@
@hemp-spinners@|@filacanevi@
@here@|@kive@
@hiccup@|@sanjùto@
@hide and seek@|@cupaskóndare@
@hill@|@montagnola@
@him@|@£u, lu@
@hind quarter of beef@|@nomboli@
@hip@|@galón@
@hoe@|@zappa@
@hole@|@buso@
@honeybee@|@ava@
@hook@|@ranpìn@
@hooligan@|@£énsa@
@horrible face@|@moleca@
@hunchback@|@gobbo@
@hunchbacked@|@gufo@
@Hungarian@|@óngaro@
@hurry@|@prèsia@
@hyperactive kid@|@sanbè£o@
@I wouldn't have been speaking@|@No sarìa mìa stà drio parlarte@
@ice@|@giazzo, jaso@
@icon@|@ancona@
@immorality@|@biastema@
@in between@|@mèdho@
@index@|@endegàro@
@innkeeper@|@osti@
@inside@|@drénto@
@insipid@|@desavìo@
@intestine like (i.e.long)@|@buello@
@iron@|@fero@
@ivy@|@èlira@
@jacket@|@yakéta@
@Jew@|@zudio@
@jeweller@|@gioiellieri@
@joker@|@bago£ón@
@judgement@|@yudìsio@
@July@|@luyo@
@kid@|@bòca, bòca@
@kind of doughnut with ladder type markings@|@scaleter@
@kind of stew@|@sguazzetto@
@knee@|@dhenòco, xenòco, zenòco@
@lad@|@tosàt@
@ladder@|@£òtara@
@lamb@|@nhèl@
@lame@|@cónpo@
@land with tunnels used for rinsing cloth@|@purgo@
@lantern makers@|@feraleri@
@large cargo barge@|@piata@
@larger than a gondola@|@burchielli@
@lazy@|@pe£andrón@
@leaf@|@fhòya@
@lean@|@£aìn@
@leather@|@pele@
@leather warehouse@|@curame@
@leather workers@|@pellizzeri@
@left@|@thanka@
@leg@|@£aka@
@light fever@|@nhànhara@
@lightning@|@xjantìso@
@lights that resembled@|@cesendeli@
@like a small harbour@|@sacca@
@loaf@|@còpa@
@loggia@|@lòxa@
@long@|@£óngo, lóngo@
@loose@|@pèrdar@
@low surgeons who dealt with corns etc.@|@stueri@
@mad@|@corlo@
@magistrate or chamberlain@|@camerlengo@
@magpie@|@kéka@
@makers of squele@|@scudeleri, squeieri@
@makers of the beam across boats and gondolas@|@traste@
@market@|@markà@
@marsh@|@piscina@
@matches@|@piànperi@
@mattress maker@|@stramazer@
@maybe@|@fhursi@
@medicine with many ingredients@|@teriaca@
@mercenaries@|@condottiere@
@microphone@|@brinkavóxe@
@middle@|@mezzo@
@midwife@|@comare@
@milk vendor@|@pestrin@
@mint (coins)@|@zecca@
@money@|@skèi@
@monkey@|@simia@
@moon@|@luna@
@morir@|@die@
@mortified@|@baxùo@
@moss@|@ìspio@
@mother@|@mare@
@mouse@|@moréja@
@mouth@|@bóka@
