@English@|@Welsh@
@Author name@|@Robert Bassford@
@Font@|@Arial\12\Arial\12@
@a bad turn@|@tro sâl@
@a bit@|@ychydig@
@a bit of@|@mymryn@
@a certain@|@rhyw, rhyw@
@a considerable blow@|@yn gryn ergyd@
@a fter@|@ar ôl@
@a little@|@ychydig@
@abbey@|@abaty@
@ability@|@gallu@
@able@|@galluog@
@able bodied@|@abal@
@abode@|@preswyl@
@abolition@|@dilead@
@about@|@am, am, tua, tua, yngl^yn â, yngl^yn â@
@above@|@uwchlaw@
@abruptly@|@yn swrth, yn swta@
@absence@|@absenoldeb@
@absent@|@absennol@
@abundance@|@toreth@
@academic@|@ysgolhaig@
@accelerator@|@sbardun@
@accent@|@acen@
@accept@|@cymryd@
@accident@|@damwain@
@accompaniment@|@cyfeiliant@
@accompany@|@hebrwng@
@accomplish@|@cyflawni@
@according to@|@yn ôl@
@account@|@adroddiad@
@accounts@|@cyfrifon@
@accusation@|@cyhuddiad@
@accuse@|@beio, cyhuddo@
@ache@|@gwy^n@
@achieve@|@cyflawni@
@acid@|@sur@
@acknowledge@|@cydnabod@
@acknowledged@|@cydnabyddedig@
@acorn@|@mesen@
@acre@|@erw@
@across@|@ar draws, dros, dros@
@act@|@act, actio, gweithredu@
@actor@|@actor@
@actress@|@actores@
@adapt@|@addasu@
@add@|@adio@
@add to@|@ychwanegu at@
@additional@|@ychwanegol@
@address@|@annerch, cyfeiriad@
@adhere@|@glynu wrth@
@adjective@|@ansoddair@
@adjust@|@addasu@
@administrative@|@adweinyddol@
@admiration@|@edmygedd@
@admire@|@edmygu@
@admit@|@cyfadde, cyfaddef@
@adornment@|@addurn@
@adults@|@oedolion@
@advantage@|@mantais@
@advantageous@|@manteisiol@
@adventure@|@antur@
@adverb@|@adferf@
@advice@|@cyngor@
@advise@|@cynghori@
@advisory@|@ymgynghorol@
@aerobics@|@aerobeg@
@affect@|@effeithio, mennu ar@
@affectation@|@maldod@
@affectionately@|@yn serchog@
@affirm@|@cadarnhau@
@affirmative@|@cadarnhaol@
@afford@|@fforddio@
@after@|@ar ôl, wedi@
@after that@|@wedi hynny@
@afternoon@|@pnawn@
@afterwards@|@wedyn@
@again@|@eto@
@against@|@erbyn, yn erbyn@
@age@|@cyfnod, cyfnod, oed, oes, oes@
@ageing@|@heneiddiol@
@agency@|@asiantaeth@
@agent@|@asiant@
@agitate@|@corddi, cynhyrfu@
@agitation@|@cyffro@
@agonies@|@ingoedd@
@agree@|@cydsynio, cyfateb, cytuno@
@agreement@|@cytundeb@
@agricultural@|@amaethyddol@
@agriculture@|@amaethyddiaeth@
@aid@|@aed@
@aim@|@anelu@
@aim at@|@anelu at@
@aim for@|@anelu am, anelu at@
@aimlessly@|@yn ddiamcan@
@alarm clock@|@cloc larwm@
@alien@|@estron@
@all@|@cwbl, cyfan@
@all right@|@o'r gorau@
@all the rage@|@yn y ffasiwn@
@all the way@|@bob cam@
@all this@|@hyn oll@
@allow@|@caniatáu, gadael@
@alloy@|@aloi@
@almost@|@bron, bron, ymron@
@almost ten@|@cryn ddeg@
@already@|@eisoes@
@also@|@hefyd, heyfd@
@alternate@|@bob yn ail@
@alternately@|@bob yn ail@
@always@|@bob amser, wastad@
@ambulance@|@ambiwlans@
@American@|@americanwr@
@amongst@|@ymhlith, ymysg@
@amongst them@|@yn eu plith@
@amusing@|@masw@
@analysis@|@dadansoddiad@
@anchor@|@angor@
@ancient@|@cynoeswr, hen@
@and@|@a, ac@
@and so on@|@ac ati@
@and then@|@ac eto@
@angel@|@angel@
@anger@|@gwy^n@
@angry@|@blin, crac, dig, milain@
@anguish@|@gwewyr@
@animal@|@anifail, mil@
@announce@|@cyhoeddi@
@announcement@|@cyhoeddiad@
@annoy@|@cythruddo@
@answer@|@ateb@
@anthem@|@anthem@
@anvy@|@llynges, llynges@
@anxiety@|@gofal, pryder@
@anxious@|@pryderus@
@any more@|@mwyach@
@anyone@|@unrhywun@
@anything@|@dim, unrhywbeth@
@anyway@|@beth bynnag, ta beth@
@ape@|@epa, simach@
@apologise@|@ymddiheuro@
@apparently@|@mae´n ymddangos@
@apparition@|@drychiolaeth@
@appeal@|@apelio@
@appeciation@|@gwertfawrogiad@
@appetite for@|@archwaeth at@
@applause@|@cymeradwyaeth@
@apple@|@afal@
@applied linguistics@|@iethyddiaeth gymwysedig@
@apply for@|@ceisio am@
@apply oneself@|@ymroi@
@appoint@|@apwyntio, penodi@
@appointment@|@apwyntiad@
@appreciate@|@gwerthfawrogi@
@appreciative@|@gwerthfawrogol@
@apprentice@|@prentis, prentisio@
@apprenticeship@|@prentisiaeth@
@approach@|@agosáu, nesáu, nesu, nesu at@
@appropriate@|@priodol@
@April@|@Ebrill@
@archbishop@|@archesgob@
@architect@|@pensaer@
@area@|@ardal, ardal, rhanbarth@
@argue@|@dadlau, dadlau@
@argue about@|@dadlau am@
@argue with@|@dadlau ag@
@argument@|@dadl, dadl@
@aristocracy@|@pendefigaeth@
@arm@|@braich@
@armed@|@arfog@
@armpits@|@ceseiliau@
@arms@|@breichiau@
@army@|@byddin@
@around@|@amgylch, o amgylch, o gwmpas@
@arrange@|@lluniaethu, trefnu@
@arrangement@|@trefniad@
@arrest@|@arestio@
@arrive@|@cyrraedd, cyrraedd@
@arrogance@|@traha, trahaus@
@arrow@|@saeth@
@arson@|@llosg@
@art@|@celfyddyd, celfyddyd@
@article@|@ysgrif@
@artificial@|@celfyddydol@
@as@|@â, cyn, fel, wrth@
