@English@|@West Yugur@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a little@|@az@
@a measure of capacity@|@k'or (10.35 l)@
@abandon@|@quz-@
@above@|@ür@
@advice@|@kengis@
@after@|@song@
@alive@|@terik@
@also@|@bile, bilen@
@an ending of the 2d person@|@-ng@
@anger@|@ökpe@
@arm@|@qol@
@arrow@|@ja, oq@
@art@|@art-@
@ashes@|@kül@
@autumn@|@kuz@
@aware@|@saqa@
@awl@|@puz-, pyz-@
@back@|@ard, arqa, art, harqa@
@bad@|@jaman, jus@
@bad darling@|@Yus Artaq@
@badly@|@çimig@
@bark@|@qazdyq@
@barren mare@|@qysyraq@
@be brought together@|@qawys-@
@beak@|@tymsyq@
@before@|@p'uryn@
@belly@|@hižigy, qaryn@
@belt@|@qor, qur@
@big@|@bezyk@
@bind feet@|@k'ul-@
@bird@|@Gus@
@bird of prey@|@sar@
@black@|@Gara@
@blessing@|@alqys@
@blood@|@qan@
@blue@|@kük@
@body@|@poz@
@bone@|@symyk@
@bosom@|@qoin@
@brave man@|@jigit, jigyt, jygyt@
@breast@|@gös, köküs, tös@
@bridle@|@juhyn@
@brown@|@qula@
@bull@|@puqa, ut@
@butter dirt@|@Yakhïr@
@butter frog@|@Yagh Paqa@
@butter malachite@|@Yaghjis@
@buttocks@|@qongqyr, qongyr@
@camel@|@te, ti@
@camel stallion@|@pyrha@
@camping-site@|@jurt@
@cap@|@perik, pörük@
@cat@|@miš, mišik@
@cheek@|@jangaq, jyngaq@
@child@|@mle, myla@
@claw@|@därmaq@
@clean@|@aryh@
@cloud@|@pylyt@
@coagulated milk@|@johurt, juhurt@
@cold@|@soq, tot@
@community@|@toj@
@copper@|@paqyr, žes@
@coral@|@Marjan@
@courage@|@jörek@
@cow@|@enek, inek@
@croup skin@|@sahyr@
@crush@|@soq-@
@cry@|@jihla-@
@dark brown@|@qongyr@
@daughter-in-law@|@kelin@
@deed@|@is, ys@
@deer@|@jiger, jihyr, sohun, suhun, žiger, žihyr@
@demolish@|@juz-, jüz-@
@desert@|@çöl@
@destroy@|@puz-@
@dirty malachite@|@Qïrjis@
@distant@|@jiraq, jüryq@
@dog@|@yšt@
@donkey colt@|@syp@
@downwards@|@qozy, quzu, quzy@
@dry@|@quruh, quruq@
@duck@|@jürdek@
@dusk@|@inger, jingyr@
@dust@|@tos@
@ear@|@qulaq@
@ear-ring@|@syrqa@
@edge@|@qyzyh, uç@
@egg@|@jomut, oja, uja@
@elder brother@|@aqa@
@elder brother's wife@|@ingge, jengge, jingge@
