@English@|@Wolof@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1000@|@junne, junni@
@10000@|@fukki junni@
@100000@|@téeméeri junni@
@1000000@|@million, tamndareet@
@101@|@téeméer ak benn@
@106@|@téeméer ak juróom-benn@
@110@|@téeméer ak fukk@
@1100@|@junni ak téeméer@
@1600@|@junni ak juróom-benni téeméer@
@200@|@ñaari téeméer@
@2000@|@ñaari junni@
@300@|@ñetti téeméer@
@3000@|@ñetti junni@
@400@|@ñeenti téeméer@
@4000@|@ñeenti junni@
@500@|@juróomi téeméer@
@5000@|@juróomi junni@
@600@|@juróom-benni téeméer@
@6000@|@juróom-benni junni@
@700@|@juróom-ñaari téeméer@
@7000@|@juróom-ñaari junni@
@800@|@juróom-ñetti téeméer@
@8000@|@juróom-ñetti junni@
@900@|@juróom-ñeenti téeméer@
@9000@|@juróom-ñeenti junni@
@a baby@|@neene@
@a barely touch@|@cof@
@a bench@|@bang, tooj@
@a blow@|@fita@
@a bottle@|@buteél@
@a bundle@|@say@
@a carrer@|@mbootu@
@a cat@|@muus@
@a child@|@xale@
@a comb@|@peñe@
@a dance@|@fécca@
@a dancer@|@féccakat@
@a dead@|@jëf@
@a ditch@|@kamba@
@a drink@|@naan@
@a faint@|@ximaleku@
@a favor@|@njukka@
@a few@|@tuuti@
@a fluke@|@juux@
@a great deal@|@jaloore@
@a hole in a ship@|@kal@
@a hypocrite@|@waane@
@a joke@|@caaxaan, kaf@
@a joker@|@caaxaankat, kafkat@
@a knot@|@pas@
@a lady's name@|@yaay@
@a lie@|@day, gat@
@a light cooking pan@|@kasiloor@
@a line@|@rëdda@
@a little@|@kallentaan@
@A little@|@tuuti@
@a locally woven cloth@|@sër@
@a loft@|@sax@
@A lot@|@lu bari@
@a lump@|@donja@
@a mads belt@|@geño@
@a man@|@goór@
@a mistery@|@umpa@
@a muslim@|@julit@
@a naughtly child@|@mbal@
@a palm wine@|@kaana@
@a pile@|@jal, say@
@a port@|@teeru@
@a pouch@|@gafaka@
@a present@|@njukka@
@a purse@|@kalpe@
@a reward@|@neexal@
@a royal servant@|@dag@
@a sachet@|@gafaka@
@a scrubber@|@Njampe@
@a shaft of light@|@jéneer@
@a sieve@|@seegukaay, tame@
@a sitting position@|@gapareku@
@a slice@|@dog@
@a small jar@|@këlla@
@a splinter@|@feelit@
@a stone wall@|@tabax@
@a strip@|@rëdda@
@a stub@|@meego@
@a stumbling block@|@tëxa-tëxa@
@a tapper@|@jamkat@
@a tear@|@xar-xar@
@a thief@|@jëlkat@
