@English@|@Xavante@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@bïci@
@a big house@|@'ri za'êne@
@a group of men@|@aibâ norï@
@a house which is big@|@'ri ïsa'êne@
@a kind of bird@|@wa'ri tire@
@a kind of fish@|@pe:pa, pejaj'y@
@a kind of fruit@|@'a'odo@
@a lot@|@ahâ na@
@a new path@|@bâdâdi té@
@a pathe which is new@|@bâdâdi ïté@
@a person's eye@|@dato@
@a person's substitute@|@da'upana@
@a small person@|@wahi@
@a snake bite Topto@|@Toptö wahi matê titsa@
@adult@|@ïprédu@
@afraid@|@robjawidi@
@after@|@sa'u, sidâpâsi, za'u@
@again@|@apâ@
@airplane@|@haiwi@
@all@|@'ajhidï, 'ubu:re, da¯o'uma@
@all cough@|@wa wa'a'a za'ra ni@
@all right@|@ïhe rowë di@
@all right with you?@|@r rowë di@
@all they give to him@|@te za tãma sõmri za'ra@
@all we give to him@|@wa za tãma sõmri za'ra ni@
@all we like to work@|@wa te romhuri ze za'ra di@
@all you are coughing@|@te ai'a'a za'ra wa'wa@
@all you give to him@|@te za tãma Ïsõmri za'ra wa'wa@
@all you like to work@|@romhuri ze za'ra wa'aba di@
@among them@|@danhipai u@
@ananas@|@'apaci'rã@
@ancient times@|@duréi pese@
@and@|@-be, -jabä, dure@
@and the yours?@|@ate hã bété@
@angel@|@hâiwa ãma romhuri'wa@
@ant eater@|@paadi@
@arc@|@'ubji'ã, umnhi'ã@
@are you cold?@|@E hâ di@
@are you weeding?@|@E te ïwazâri za'ra wa'wa.@
@Are you weeding?@|@E te æwazâ@
@are you working?@|@e te ïromhu@
@are you writing?@|@E te ærob'ui'é@
@arrow@|@ti, wajhijïcu@
@artery@|@danhorõ@
@arupua bee@|@ub'rã@
@as@|@'e: bãrï-dã, 'e: tiha-dã, 'e:dïha@
@ash@|@'ru@
@aunt; of whom is the arc?@|@ïïtebe; e 'wa te; umnhi'ã hã@
@axe@|@hëtëra@
@Babati's mother@|@Babatihi na@
@back@|@daba@
@back soon@|@We aimorï su'u za@
@bad@|@wë-'ö-re:-di@
@bamboo@|@ti@
@banana@|@pa'o@
@bark of tree@|@ïh'@
@basket@|@abazizé, si'õno@
@beans@|@uhi@
@beard@|@dawatasu@
@bee@|@pi'u@
@before@|@ïwana, õ ré, wana@
@behind@|@sarina, zarina@
@belly@|@dadu, dapé@
@big@|@ca'ete:-di, dadza1ëne, sa'åtå na@
@bird@|@ci-, sire, tsi@
@black@|@'rã:dë'ë-di@
@black bee@|@nhanarã@
@bleu parrot@|@sõte@
