@English@|@Xhosa@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a child@|@umntwana@
@a man@|@indoda@
@and how are you?@|@nina ninjani?, wena unjani?@
@and you; are you well?@|@nina niphila njani?@
@April@|@UTshazimpunzi@
@are you still well?@|@wena usaphila?@
@Are you still well?@|@Nisaphila (na)?, Usaphila (na)?@
@are you well too?@|@nina nisaphila?@
@Are you well?@|@Niphila njani?@
@August@|@EyeThupha@
@be happy@|@ukujabula@
@be well@|@ukuphila@
@children@|@abantwana@
@computer@|@ikhompyutha@
@danger@|@ingozi@
@December@|@EyeMnga@
@Do you speak english?@|@Uyasithetha isiNgesi na?@
@Don't touch me there!@|@Ungandiphathi kuloo ndawo!@
@eight@|@bhozo@
@eighteen@|@lishumi elinesibhozo@
@eleven@|@lishumi elinanye@
@e-mail@|@iposi yeinthanethi@
@emergency@|@ungxamiseko@
@excuse me@|@Uxolo@
@February@|@EyoMdumba@
@fifteen@|@lishumi elinantlanu@
@fifty@|@ngamashumi amahlanu@
@five@|@ntlanu@
@four@|@ne@
@fourteen@|@lishumi elinane@
@Friday@|@Lwesihlanu@
@Good blood; bad blood@|@Axdes uqhiv; pkjoyadg uqhiv@
@Good luck@|@Yanga ungaphumelela@
@Good morning@|@Molo@
@Goodbye@|@Hamba kakuhle (go well), Sala kakuhle (stay well)@
@hello@|@Bhota, Sawubona, yebo@
@hello- (more than one person)@|@Molweni@
@hello (to one person)@|@Molo@
@help@|@Nceda@
@how are you?@|@Ninjani, Unjani?@
@How are you?@|@Uphila njani?@
@how are you? (plural)@|@Ninjani?@
@how is it with you?@|@wena uphila njani?@
@How much money?@|@Malini na?@
@How old are you?@|@Unangaphi?@
@how?@|@njani?@
@How's it going?@|@Kunjani kini?, Kunjani?@
@how's it with you?@|@kunjani kini?, kunjani kuwe?@
@how's yours@|@ngicela kini?@
@how'yours?@|@sicela kini?@
@hundred@|@likhulu@
@I also am glad@|@Nami ngiyajabula@
@I am fine@|@Ndiyaphila@
@I am glad to hear that@|@Ngiyajabula ukuzwa loko@
@I am going home now@|@Ndiyagoduka ngoku@
@I am lost@|@Ndilahlekile@
@I am pleased to know you@|@Ngiyathokoza ukukwazi@
@I am sorry@|@Ndicela uxolo@
@I am well@|@Ndiphilile@
@I don't know@|@Andiyazi@
@I don't understand@|@Andikuva, Andiqondi@
@I go by bus@|@Ndihamba ngebhasi@
@I love you@|@Ndiya kuthanda@
@I want...@|@Ndifuna...@
@I'm fine@|@Ndiphilile@
@I'm glad@|@Ngiyajabula@
