@English@|@Yugh@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a delved boat@|@dyltij@
@a device for catching fish@|@be, bë@
@a k. of bird@|@chogula@
@a k. of boots@|@ki'n, kineng@
@a k. of duck@|@fl'n, fl'r, tamat, ulan, ulan, ulanyng@
@a k. of fish@|@de:, dei@
@a k. of grey duck@|@kyksi, kyksin@
@a k. of net@|@u:n@
@a k. of salmon@|@b'tn, b'tnäng@
@a k. of tubular plant@|@e:ht, eding@
@a k. of vessel@|@u'n@
@a k. of wild duck@|@blntän@
@a large boat@|@aso:r, asoryng, asour, asouryng@
@a musical instrument@|@kãchi@
@a piece of fish@|@bin@
@a pit@|@ky'l, ky:hl, ky:l@
@a small bird@|@bã, ba:, ba:n@
@a wood bird@|@olang, olangyn@
@Adam's apple@|@klgyr, klgyryng@
@afterwards@|@ke@
@alive@|@e:ht, eting@
@all@|@bylla@
@along@|@a:hs@
@an agglomeration of worms@|@kin@
@an anthropomorphic idol@|@àllál@
@arm@|@klgdat@
@arrow@|@dlambok, dlmbokng, dlmok@
@asp tre@|@yfyl, yfyling@
@awl@|@du't, dutyng@
@axe@|@cho:hk, chok@
@axe-handle@|@chogul, choguläng@
@bachelor@|@lfyl@
@bark@|@y:n@
@be born@|@si-g-ba-ta:hx@
@be in debt@|@argit@
@beach@|@igdéj@
@beads@|@klnyng@
@beard@|@kül, küläng@
@beater of the shaman drum@|@fadbyl@
@being there@|@ïng@
@belch@|@klngej, ky'ng@
@bellows@|@afe:j, ãfej, ãfejeng@
@belt@|@eaqta, eaqtãn, extangyn@
@berry of currant@|@ljfy@
@between@|@ba'r, bar@
@bifurcation@|@ábys@
@bird@|@dyl-tym. dyl-tymyn@
@bird-cherry@|@banyr, banyryng@
@black woodpecker@|@kyrym, kyrymyng@
@blind@|@útpang@
@blue-berry@|@efyr@
@bone@|@a't, adyng@
@boot made of deer skin@|@che:hs, chesyng@
@bosom@|@ofyj, ofyjeng@
@braid of hair@|@blbylyng, bljbyl@
@brain@|@do'ng, do'ng, ko'@
@branch@|@'b:x, lxyn@
@bread@|@ne'n@
@brother@|@bise'p@
@burbot@|@kasn, kes@
@calf of an elk@|@ollás@
@calf of leg@|@kíladyng, kílat@
@callosity@|@uraj, urajäng@
@catch@|@atanüarget, datanüabet, datanuörbet@
@cedar@|@fa'j, fing@
@chain@|@e, eg e:hng, ej@
@child@|@dyl@
@children@|@kitej, kl't@
@chipmunk@|@ko'p, kofyn@
@churn@|@falgufyn, falgup@
@claw@|@i:hn, ining@
@clear@|@e:ht@
