@English@|@Yugur@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of plant@|@žüregene@
@a musical (string) instrument@|@xür@
@a pinch@|@chimke@
@above@|@dïd, dïre@
@abrasion@|@därë@
@afternoon@|@ude@
@agreement@|@Gor, xur@
@air@|@kï@
@all@|@dajär@
@ancestor spirit@|@onggo@
@anger@|@ür@
@animals@|@žilžaGan@
@answer@|@xaru@
@antelope@|@görösën@
@armful@|@tewer@
@armour@|@xujaG@
@armpit@|@sü@
@arrow@|@sëmën@
@ashes@|@henesën, nesën@
@ash-grey@|@säral@
@awl@|@šëwahe@
@axe@|@sëge@
@bad@|@burü, mü@
@bad omen@|@jor@
@be afraid of@|@sazi-, šaži-@
@be heated@|@hï-@
@be located@|@bai-@
@beautiful@|@saixGan@
@become cold@|@därä-@
@become wet@|@debte-@
@bell@|@xongGo@
@below@|@duGür, düra@
@belt@|@pëse@
@besom@|@šür@
@big@|@šge, šige@
@big span@|@tü@
@bind together@|@xolbo-@
@birch tree@|@xus@
@bird@|@šün@
@bitter@|@Gašün@
@black@|@xara@
@blade@|@hir@
@blind@|@soGor@
@blood@|@chüsën, chusun@
@bone@|@jasën@
@boot-top@|@ture@
@bosom@|@ebchong@
@bow@|@nëmën, tongGö-@
@bracelet@|@boRopchi@
@bran@|@këwë@
@branch@|@sal-, sala@
@breast@|@chïž, wër@
@bridle@|@chëlbür, Gadar@
@broth@|@chëtang@
@brother-in-law@|@kure dün@
@bushes@|@but@
@buttock@|@bëgse@
@button@|@tobžë@
@cage@|@tor@
@camel@|@temen@
@careful@|@këchïl@
@cemetery@|@kür@
@centre@|@Gol@
@chaos@|@xemral@
@chart@|@kösnüg@
@cheap@|@këmdo@
@chest@|@xairžaG@
@chute@|@gobi@
@clay@|@šëbar@
@clean@|@arün@
@cold@|@küten@
@collect@|@tü-, xurä-@
@colour@|@önggö@
@conceal@|@nü-@
@coral beads@|@surë, šurë@
@corner of the mouth@|@žawäžë@
@cousin@|@bulai@
@cow@|@nïn@
@craftsman@|@uran@
@crest@|@del@
@crops@|@tarälžin@
@cross (a mountain)@|@dawa-@
@crosswise@|@köndölön@
@cushion@|@dere@
@cycle year@|@žël@
@dark brown@|@kureng@
@darkening@|@burRoloG@
@dawn@|@ojir@
@day@|@udur@
@deaf@|@delï-@
@debt@|@örë@
@deep@|@gung@
@defect@|@seb@
@defective@|@žemteg@
@dense@|@kör@
@descendant@|@hure@
@desert@|@këre@
@different@|@ondön@
@diligence@|@gobtë@
@direction@|@šog@
@disorder@|@samün@
